EUR_o..Mstb.,Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,Top_Zone,Deepest_Zone,Type,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
76.856,0,0,454000,211000,153500,2,2,4,2009,3,1,3,454000,3,7,3,9138,8,3,17,6.06545849318017
41.33660355,614000,26000,645000,98000,50000,6,14,1,2011,3,5,7,0,2,1,3,9750,3,3,4,6
32.056,0,5250,195443,55036,137747,2,27,4,2007,5,3,3,0,1,5,3,7569,11,3,15.0950499958504,6
71.68747308,0,17052,303492,286440,897700,3,13,2,2008,3,3,1,0,2,1,3,8079,11,3,15.6999739444071,6.05150155343746
63.79352249,0,14500,926900,912400,763000,2,10,4,2006,3,4,1,0,3,7,3,7312,11,3,14.3766975223866,5.38338289124868
30.31861183,0,7560,588630,581070,846560,6,13,3,2010,1,3,1,0,3,7,3,6124,6,3,9,8.25790614726093
45.276,0,5000,201636,23277.5,0,5,27,1,2003,5,3,3,0,3,7,1,6839,1,2.99999998188569,11,5.99999996153852
28.208,146719.714662874,16396.8164921802,649373.532052467,253362.193229977,0,6,18,3,2011,4,3,8,85343.4709225313,3,7,3,8116,1,3.36611131556731,11,6.57588880130508
22.844,122000,26000,452000,122000,95000,6,14,1,2011,3,5,6,0,2,1,3,9506,3,3,3,6
52.592,0,13500,1296000,1015224,827268,2,27,4,2012,2,4,3,0,3,1,3,9253,11,3,9,8.4008600265413
22.828,0,6000,223988,51788,140070,6,27,1,2008,4,3,4,0,3,5,3,6506,11,3,18.4621210176237,6
41.71257753,285928,10000,295928,43064,18751,2,13,2,2003,4,1,4,0,3,7,1,10107,9,3,9,5.99999986525806
56.172,0,15000,468844,85198,33337,1,2,2,2006,3,3,6,0,3,7,3,9817,6,3,18.7346515029675,6
36.568,0,13500,1165066,855820,573189,4,27,1,2011,1,3,3,0,1,7,3,8664,11,3,20,7.2097534836437
42.468,0,0,243264,243264,290750,5,2,3,2003,3,3,1,0,3,7,3,6382,6,3,9,6
18.384,365500,0,365500,123750,61500,6,2,3,2006,3,3,2,0,1,7,3,7705,9,3,16.4880052225777,6
64.6,0,12012,153212,256880.735140175,473900,2,10,2,2010,1,3,1,0,5,1,3,9010,6.40938956710151,3,12.4177672760224,6.21199676168726
34.664,0,5250,200888,55997,134955,6,27,3,2006,4,3,3,0,3,5,3,6341,11,3,14.6848806664944,6
53.41442894,0,14000,774000,760000,927236,1,24,2,2004,4,1,1,0,2,7,3,8357,6,3,13.8063853648321,6.24275244129963
42.43844071,0,0,367506,139916,139000,5,2,3,2004,3,3,2,0,3,7,3,7895,6,3,9,6
50.444,0,0,1335348,1231011.6,808500,1,10,2,2011,4,4,1,0,3,1,3,7870,6,3,9.87662740472149,5.35159115080403
107.22,0,13500,1280136,604086,439946,3,27,2,2012,3,3,4,0,2,1,3,10485,11,3,9,9
39.956,365484,0,365484,123732,61500,6,2,3,2007,3,4,2,0,1,7,3,7368,3,3,15.7954315087306,6
57.444,0,17750,1408201.2,81665,18412,3,27,2,2006,4,3,6,0,2,7,3,9804,6,3,14.2626351534182,6
29.684,342682,0,342682,45806,118243,1,15,2,2003,3,3,4,0,2,7,3,8396,9,3,9,5.58698999101866
41.876,218000,26000,664000,108000,50000,4,14,1,2011,3,1,8,0,2,4,3,10700,3,3,4,6
15.003,0,17000,297889,46621,22525,1,27,2,2008,3.06172633927137,3.32809420713696,4,0,5,7,3,9500,6,3,14.0774137526198,6
22.072,383200,0,383200,131800,49250,5,2,3,2005,4,2,2,0,3,7,3,7910,9,3,17,6
5.083,0,0,1351602,1231011.6,107600,2,3,2,2011,4,3,1,0,3,1,3,7950,11,5,16.5739466650409,6.1312160260648
46.372,368508,0,368508,126084,60750,5,2,3,2006,4,3,2,0,1,7,3,7975,9,3,17,6
42.264,383200,0,383200,131800,49250,6,2,1,2006,3,3,2,0,1,7,3,7641,9,3,17,6
37.312,1075580.1,16500,1408201.2,195714,120471,4,27,1,2011,3,1,4,0,3,1,3,10200,3,3,3,9
58.35854761,865116,11004,876120,865116,539130,6,13,3,2011,1,4,1,0,5,1,3,7592,3,3,9,7.73504023744062
42.728,0,21500,552316,60085,177463,3,27,2,2007,3,4,6,0,2,7,3,8362,11,3,16.5685398982438,6
28.54388452,0,3200,195181,23277.5,0,3,27,2,2003,4,2,4,0,3,7,1,7205,1,2.98900866408755,12.0986649415312,5.87121383771858
128.3355706,0,0,920354,143501,66000,2,2,4,2012,3,3,6,0,1,6,3,10310,11,5,20,6.1625717388654
19.83325601,0,6500,228689,75529,173059,3,27,2,2003,3,4,3,0,2,7,3,8186,11,3,13.9419768868116,6
56.828,71919.0949337275,9938.33226322251,444346.566927328,23277.5,0,6,18,3,2011,3,1,1,3381.12273002474,3,7,1,5922,1,2.98365026455465,11,6.62195665659898
17.03591569,0,0,220506,92916,135000,5,2,3,2004,3,2,2,0,1,7,3,7677,11,3,9,6
34.8,0,1000,695000,23277.5,0,4,2,1,2012,3.22772802469781,3.3974654214128,7,245500,3.68629428914768,4.45338435712788,1,10777,1,2.584666766908,1,5.93828494472096
49.91380818,155148,0,472542,74886,122900,1,9,2,2006,4,4,5,0,3,7,3,7822,3,3,14.588047393499,6
90.536,0,14500,922900,908400,763000,2,10,4,2006,3,4,1,0,3,7,3,7315,11,3,16.1123808268007,5.8432391426692
57.7418352,0,10000,289226,68876,17249,1,13,2,2004,3,4,4,0,2,7,3,10106,6,3,9.10193017758271,5.99999989726596
11.228,122069.066299257,21229.4681813821,501298.456846511,127574.414691626,0,6,18,3,2010,4,2,8,0,3,7,3,8396,1,2.999999969172,11,6.38677897192133
49.468,0,16500,988801,54050,147647,2,27,4,2008,3,3,10,0,3,7,3,7412,11,3,20,6
54.56512178,0,5000,200787,23277.5,0,4,27,1,2003,3,3,3,0,1,7,1,6816,1,2.99999996787496,11,5.96394174838905
57.424,1041852,0,1041852,1041852,927236,4,6,1,2011,3.44779294629128,2.99818564268119,1,0,2,1,3,7436,3,3,10.9754368602151,6.23001616671805
87.312,170819.631500174,6507.94463195201,458403.509217649,367863.718458199,110000,6,4,1,2011,3.51191725183557,3.39153572002621,1,84881.9436365486,3.14450024126904,5.57367900202997,3,7202,5.67402150534533,3,14.3074090736759,7.02879244170681
10.636,1075580.1,15120,1105860,1090740,905898,6,13,1,2011,4,4,1,0,2,4,3,7080,3,3,10.2585018669758,7.3606022987334
28.812,13161.7838579384,20867.4547407436,485756.745327835,86484.4010523336,0,6,18,3,2010,4,3,7,16135.9991015253,3,7,3,8336,1,2.99999996355877,11,5.9999999250956
36.416,509250,0,509250,260232,98929,6,2,3,2006,4,4,2,0,3,7,3,7575,9,3,14.5882526420033,6
27.74933842,100021.093269425,8581.13516176993,698235.34028932,182352.94578552,0,6,18,3,2011,3,1,8,152622.126027724,3,7,3,8056,1,2.69393051867477,11,5.99999983785882
57.8056949,0,5000,212551,58044,135080,5,27,1,2003,1,3,3,0,3,7,3,6816,11,3,15.6566682970758,6
31.73182787,0,14250,374212,23277.5,0,3,2,1,2006,3,3,5,0,3,7,1,6923,1,2.95979903567769,12.5777830728849,5.82656033077946
36.764,383200,0,383200,131800,49250,5,2,3,2005,2,2,2,0,1,7,3,8011,9,3,17,6
27.84973229,0,3500,153212,65806,176029,3,27,2,2003,3,2,2,0,2,7,3,7762,11,3,17.5440651590738,6
30.184,0,5500,198104,52338,133314,2,27,4,2006,1,3,3,0,3,7,3,7533,11,3,13.7574684960293,6
10.56,0,16500,468007,72210,183837,4,2,1,2007,4,3,5,0,1,7,3,6900,11,3,16.0136616177186,6
14.912,222933.501253872,5802.61681979344,713964.25067455,541416,669121,6,18,3,2011,3,3,2.09229540626932,21097.848315455,1,7,3,5811,3,3,3,12
32.723344,0,0,367506,139916,140000,5,2,3,2004,3,3,2,0,3,7,3,8001,6,3,13.3758113672666,6
72.612,0,11500,896390,884890,741000,2,10,4,2007,3,5,1,0,2.91409213844215,6.13746855523231,3,7753,11,3,16.3067254208556,6.01729837595061
97.788,0,15000,1198084,65002,147768,2,27,4,2010,3,1,9,0,2,7,3,8246,11,3,20,6
38.58,136000,26000,602000,136000,101000,6,14,1,2012,3.10563865078171,4.42701916713059,7,0,2.46082671561464,2.8000925999085,3,9528,3,3,3,6
48.756,0,12000,1049823,131632,101884,3,27,2,2011,3,4,4,0,2,6,3,10571,11,3,20,9
26.532,58107.6693124281,5652.96489327006,287994.647455478,51998.5400363927,0,6,18,3,2009,4,3,7,175.555652991388,3,7,3,7812,1,2.99999995464229,12,5.78197042263269
13.684,0,3000,153212,87638.4080664399,18170,3,2,1,2007,4,3,5,0,1,7,3,9556,7.0699098950687,3,14.7800342633309,6
3.256,256481.475747271,7886.7727437521,736811.916284976,600293.770535407,413219.380416478,6,4,1,2012,4,5,1,89798.5203187311,2,1,3,6804,6.3718181269381,3.22275720758648,12.4528576981314,6.99666419230681
82.47706427,0,12000,651482,639482,585000,2,10,4,2009,4,4,1,0,3,7,3,7639,11,3,15.3592045350798,6.03890489579432
66.556,1075580.1,18000,1194000,1176000,927236,3,20,2,2009,3,4,1,0,3,7,3,7394,9,3,13.6513001447052,4.90662071889747
42.724,0,7500,404136,62508,144000,3,27,2,2008,3,2,5,0,3,7,3,7135,11,3,20,6
40.04565233,0,5000,194252,23277.5,0,4,27,1,2003,1,2,3,0,1,7,1,6806,1,2.99999998127615,11,5.78080307967397
14.66478303,317940,0,317940,317940,386540,2,13,2,2003,4,1,1,0,3,7,3,7704,3,3,13.3134599240343,5.91598325605646
56.71657701,569772,0,569772,569772,600900,2,13,2,2006,4,4,1,0,2,7,3,8371,3,3,16.5587458411872,6.06867820243422
40.024,0,10000,293927,76686,30500,2,13,2,2004,2,4,4,0,2,7,3,10133,6,3,9.92660440223192,5.99999988574278
39.92984664,0,0,367506,139916,140000,5,2,3,2004,3,3,2,0,3,7,3,7910,6,3,9,6
39.916,606396,0,606396,606396,550420,1,13,2,2006,4,5,1,0,2,7,3,8577,3,3,17,6
72.148,0,22000,835204,78834,99918,2,17,4,2012,1,4,11,0,2,1,3,10983,11,3,20,11
54.99745852,0,10000,298768,80824,31384,2,13,4,2004,4,4,4,0,2,7,3,10115,6,3,9,6.31048233893463
44.716,351468.912512937,5364.52433436397,518719.717077604,337697.808504356,0,6,18,3,2010,3,2,3.23711444897496,0,3,7,1,5836,1,2.99999996776138,11,6.97715577584482
57.53896741,3000,6000,305337,24700,68628,2,13,2,2004,4,1,4,0,2,7,3,8318,6,3,9,5.45353168994258
19.024,0,0,183782,70894,135000,5,2,3,2004,3,3,2,0,3,7,3,7710,6,3,12.0596189121151,6
18.522,0,5000,206474,57414,136200,3,27,4,2003,1,3,3,0,1,7,3,6972,11,3,11.0855896700298,6
60.648,0,4000,341722,56616,135840,3,27,2,2004,4,2,4,0,1,7,3,7063,11,3,16.684101187614,6
13.56,0,0,383200,131800,49250,5,2,3,2005,4,3,2,0,3,7,3,7751,6,3,9,6
50.748,0,13750,466922,80943,17185,3,27,2,2006,3,1,6,0,2,7,3,10136,11,3,12.6097421384638,6
107.56,1075580.1,0,1092882,1092882,586160,2,25,4,2012,3,2,1,0,5,4,3,9430,3,3,10.7360649147686,8.46194823077482
