WellID,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,CLEARFORK..MAP.,SPRABERRY_U..MAP.,SPRABERRY_L..MAP.,WOLFCAMP..MA,WOLFCAMP_L..,WFMP_ATB..MA,CLINE..MAP.,STRAWN..MAP.,ATOKA..MAP.,BEND..MAP.,ATOKA_L..MAP,MISSISSIPPIA,WOODFORD..MA,DEVINOAN_UNC
2,NA,6804,7377,8402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930.49,6809.76,7379.71,8399.03,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13
3,NA,6835,7373,8396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5929.27,6838.67,7388.88,8396.13,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15
5,5716,6778,7378,8348,8619,8981,9811,10222,NA,NA,NA,NA,NA,NA,5714.71,6835.16,7383.86,8359.82,8611.11,8983.29,9809.59,10194.6,10268.8,10275.69,10297,10622.81,10815.38,10866.76
7,5266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5262.63,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28
10,5792,6829,7366,8390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5875.23,6821.08,7375.53,8391.07,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25
11,5809,6805,7355,8351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5880.48,6811.54,7368.41,8366.8,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48
13,5544,6604,7163,8184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5628.51,6615.26,7173.02,8186.17,8470.36,8917.12,9907.24,10241.4,10365.25,10455.57,10577.12,10771.5,10926.3,10975.57
14,5691,6686,7245,8267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5790.62,6685.92,7243.89,8265.53,8524.7,8980.57,9956.08,10289.24,10413.24,10511.71,10691.05,10836.67,10993.99,11046.85
16,5792,6806,7363,8380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5878,6811.19,7368.6,8374.45,8644.63,9024.64,10003.75,10319.78,10464.22,10553.93,10695.7,10931.85,11070.67,11140.54
17,5404,6507,7064,8092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5467.07,6507.66,7066.13,8091.79,8390.28,8813.81,9836.58,10157.58,10288.63,10383.75,10442.59,10677.06,10826.65,10877.01
22,5767,6824,7383,8384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5822.45,6827.65,7382.3,8387.6,8645.26,9069.25,10012.76,10329.78,10474.25,10560.65,10708.1,10946.22,11084.91,11153.86
23,5785,6801,7362,8368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5856.56,6804.57,7365.4,8370.63,8613.99,9041.67,9992.98,10310.65,10450.67,10544.29,10700.25,10905.7,11049.25,11115.65
25,5780,6827,7365,8387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5881.46,6837.24,7380.14,8396.78,8640.93,9080.87,10013.49,10331.66,10475.74,10560.28,10709.59,10949.6,11088.11,11156.23
26,NA,6101,6640,7741,8102,NA,9463,9812,9922,NA,10090,NA,10335,10368,5186.98,6111.3,6646.1,7745.83,8108.96,8355.75,9463.06,9820.46,9928.99,10032.39,10090.88,10242.92,10343.23,10373.83
31,5800,6729,7304,8335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5833.97,6733.16,7299.27,8331.38,8582.83,9037.3,10000.67,10344.57,10481.8,10553.94,10745.01,10912.94,11077.5,11127.92
32,5306,6370,6940,7979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5454.77,6365.86,6924.53,7975.92,8254.76,8625.25,9704.92,10008.04,10163.68,10269.29,10299.03,10520.28,10655.54,10703.38
33,5257,6368,6921,7972,8271,8763,9691,9999,NA,NA,NA,NA,NA,NA,5570.96,6362.39,6906.03,7955.43,8314.15,8751.32,9683.74,9986.2,10105.53,10216.97,10292.59,10427.58,10550.25,10598.53
35,5249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248.59,6183.43,6749.49,7816.16,8116.98,8445.07,9538.95,9924.18,10046.33,10127.76,10120.4,10386.26,10488.34,10517.45
36,5363,6310,6903,7958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5469.36,6312.84,6898.06,7953.06,8201.05,8516.96,9611.63,9945.25,10080.15,10205.13,10258.11,10425.6,10536.96,10592.5
37,5293,6290,6861,7935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5420.55,6293.95,6855.01,7926.15,8203.43,8525.57,9647.05,9960.42,10087.82,10160.27,10292.17,10424.58,10552.23,10598
38,5390,6269,6804,7890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5384.34,6265.59,6798.64,7883.8,8085.7,8424.93,9576.1,9904.71,10029.58,10112.72,10199.44,10345.02,10447.88,10513.94
40,5316,6266,6868,7926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5438.48,6273.04,6858.94,7914.22,8187.06,8510.99,9615.52,9943.57,10074.94,10177.76,10257.68,10412.16,10527.4,10582.79
42,5506,6350,6912,7974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5482.5,6340.85,6900.68,7960.6,8207.88,8522.56,9620.5,9954.74,10092.13,10208.98,10255.09,10435.68,10549.95,10605.49
44,5897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5896.65,6887.69,7452.09,8452.8,8724.97,9132.71,10045.89,10342.67,10488.73,10545.02,10670.79,11051.68,11144.87,11230.85
45,5886,6886,7433,8442,8732,9146,NA,NA,NA,NA,NA,NA,NA,NA,5884.85,6911.98,7470.24,8454.19,8730.35,9144.53,10041.12,10331.81,10477.65,10532.01,10653.58,11047.2,11142.2,11230.29
46,5930,6902,7466,8451,8732,9124,NA,NA,NA,NA,NA,NA,NA,NA,5908.25,6902.47,7471.43,8443.42,8736.07,9126.17,10034.97,10324.96,10471.53,10520.65,10640.78,11044.73,11144.97,11234.36
48,6067,6854,7418,8411,8677,9111,NA,NA,NA,NA,NA,NA,NA,NA,5924.58,6857.92,7423.37,8415.74,8684.23,9111.89,10016.85,10324.86,10474.26,10562.89,10683.26,10951.72,11080.46,11155.13
49,6065,6846,7408,8405,8692,9087,NA,NA,NA,NA,NA,NA,NA,NA,5921.04,6854.6,7415.59,8412.5,8673.89,9081.49,10007.72,10316.66,10465.98,10555.15,10677.49,10942.57,11072.19,11146.48
52,5985,6898,7478,8473,8748,9259,NA,NA,NA,NA,NA,NA,NA,NA,5984.64,6910.29,7480.82,8471.98,8754.42,9257.69,10082.49,10394.66,10543.6,10611.98,10750.54,11079.23,11191.98,11270.73
53,6014,6908,7450,8474,8780,9180,NA,NA,NA,NA,NA,NA,NA,NA,6013.32,6961.53,7510.62,8508.45,8798.18,9184.05,10117.51,10425.25,10575.86,10641.31,10782.21,11129.09,11242.02,11323.32
54,5994,6898,7455,8438,8740,9259,NA,NA,NA,NA,NA,NA,NA,NA,5994.38,6931.95,7481.28,8468.8,8764.83,9260.74,10091.98,10403.36,10553.31,10620.47,10758.97,11093.18,11207.59,11286.93
55,5412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5412.14,6278.55,6836.13,7892.45,8177.89,8541.46,9647.18,9975.91,10118.67,10211.43,10225.08,10463.59,10595.48,10634.23
58,5747,6635,7202,8199,8476,NA,NA,NA,NA,NA,NA,NA,NA,NA,5822.34,6644.07,7208.3,8204.57,8475.64,8904.1,9911.81,10212.41,10302.61,10412.86,10595.73,10716.37,10854.8,10915.06
59,NA,6569,7105,8113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5786.42,6593.14,7139.21,8147.82,8439.73,8868.57,9890.38,10188.91,10295,10369.86,10583.37,10704.81,10868.15,10939.18
60,5941,6844,7432,8400,8686,9081,NA,NA,NA,NA,NA,NA,NA,NA,5940.45,6865.32,7428.12,8425.27,8707.43,9080.01,10037.45,10349.6,10498.31,10570.53,10705.54,11019.85,11133.35,11211.43
61,5902,6862,7411,8394,8704,9106,NA,NA,NA,NA,NA,NA,NA,NA,5902.32,6864.37,7420.77,8417.8,8682.18,9104.23,10011.24,10319.72,10467.96,10541.32,10669.89,10988.86,11098.31,11177.32
63,5265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5264.72,6199.98,6756.98,7825.65,8122.74,8458.62,9544.59,9927.35,10053.69,10132.91,10131.66,10394.14,10502.32,10528.5
64,5960,6846,7416,8411,8681,9029,NA,NA,NA,NA,NA,NA,NA,NA,5960.23,6849.79,7418.94,8414.12,8688.37,9038.33,10032.62,10348.44,10495.79,10575.36,10712.27,10992.15,11119.08,11192.72
