EUR_o..Mstb.,WellID,Fluid...Total..lbs.,Operator,Completion.Date,Additive,Mesh.Size
12.164,40,383600,30.9602993241277,38827,48.2778773651852,30.0654791250809
10.876,42,374500,30.9602993241277,38842,48.3521039747772,30.0654791250809
19.20842649,48,326653,30.9602993241277,39131,26.7910026866456,30.0654791250809
14.8,49,358519,30.9602993241277,39049,28.422541326518,30.0654791250809
18.328,53,279747,30.9602993241277,39128,20.2695937157143,30.0654791250809
13.684,54,3000,30.9602993241277,39133,39.0264678410521,30.0654791250809
13.624,60,426297,30.9602993241277,39106,22.4295128962448,30.0654791250809
12.671,64,361845,30.9602993241277,39159,20.2695937157143,30.0654791250809
6.904,66,273394,44.6803777705063,39196,39.3845902957291,30.0654791250809
15.424,72,366450,30.9602993241277,39091,47.8987383608924,30.0654791250809
20.11541731,74,602308,32.5096331541667,39253,43.8061551296078,30.0654791250809
20.072,76,633108,32.5096331541667,39263,20.072,30.0654791250809
17.63959573,86,417479,30.9602993241277,39534,35.1317339938306,30.0654791250809
10.56,90,468007,30.9602993241277,39404,28.4196058367653,30.0654791250809
8.086191594,93,383661,30.9602993241277,39568,31.4326712012701,30.0654791250809
8.808,94,398382,30.9602993241277,39545,32.3054106072904,30.0654791250809
21.94799122,97,571036,44.6803777705063,39624,43.2651727596227,30.0654791250809
9.735,98,417946,30.9602993241277,39522,31.0475615742956,30.0654791250809
11.934,99,466207,30.9602993241277,39494,33.8455333605443,30.0654791250809
15.55114674,114,238412,44.6803777705063,39568,36.3363967169626,30.0654791250809
16.768,118,589219,30.9602993241277,39776,38.629993985298,30.0654791250809
17.38,121,697906,44.6803777705063,39760,43.8061551296078,30.0654791250809
14.11666124,124,574026,44.6803777705063,39957,43.8061551296078,30.0654791250809
19.24918288,131,767718,44.6803777705063,39777,43.8061551296078,30.0654791250809
16.288,138,520460,44.6803777705063,39836,43.8061551296078,30.0654791250809
18.724,150,615580,44.6803777705063,39945,43.8061551296078,30.0654791250809
19.788,160,768857,32.5096331541667,40356,53.6048203855556,33.1804456256934
13.372,196,20034,34.1348240084615,40512,43.3548700325534,34.0330805938348
9.968,210,22000,34.1348240084615,40753,40.8970810375091,32.1191882959142
