EUR_o..Mstb.,WellID,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Operator,Completion.Date,Surface.Latitude,Depth.Total.Driller..ft.,Deepest_Zone,Depth.Base,Mesh.Size,Total.Height
26.8747488,472,301870,356635,90486,40456,46.2963897998985,37778,31.7036,10515,8,10267,46.9293624628734,2464.08
21.75125213,476,155899,225837,102393,40668,46.2963897998985,37806,31.801,10515,4,9934,40.3640673618634,1002
23.53290545,481,313940,192330,52122,118440,53.2499693383333,37662,31.72589,9000,4,7435,39.7709898476838,1553
28.54388452,484,472170,195181,200,0,53.2499693383333,37629,31.75071,8970,4,7407,42.7004575482515,1577.54
19.40387603,514,472700,197620,500,0,53.2499693383333,37781,31.74117,9080,4,7471,40.9691181661532,1581
14.66478303,527,386540,317940,317940,386540,46.2963897998985,37755,31.70266,10700,4,10613,39.9646912557069,1515.3
26.49440013,536,462698,369788,85376,28027,53.2499693383333,37847,31.80119,10500,4,9688,39.7709898476838,1014.65
25.85262153,538,507220,291226,45738,128332,53.2499693383333,37836,31.80377,10500,4,7645,39.7709898476838,1576
28.908,552,490430,275319,74510,17500,53.2499693383333,37822,31.93618,9265,4,8990,39.7709898476838,2533
29.12342212,554,388890,361856,77788,179639,53.2499693383333,37910,31.75038,10500,4,8409,39.7709898476838,893
15.893,556,370431,303571,71089,17787,53.2499693383333,37921,31.74802,10590,4,9847,39.7709898476838,943
19.84023768,562,370520,287922,76692,191919,53.2499693383333,37884,31.82287,10590,4,8454,39.7709898476838,1011
20.972,579,170985,292313,22745,72253,46.2963897998985,37838,31.794,10515,4,8829,41.5895046455669,1012
25.848,586,335480,142405,1000,0,53.2499693383333,37881,31.69468,8750,4,7953,40.9691181661532,983
27.84973229,587,335540,130206,65806,176029,53.2499693383333,37881,31.7097,8750,4,7992,39.7709898476838,993
28.99923783,593,469510,199720,67326,168320,53.2499693383333,37908,31.8153,8598,4,8533,39.7709898476838,1505.87
29.28650586,594,168000,288672,65449,18500,46.2963897998985,37893,31.8296,10520,4,10376,41.9425392198948,1007.81
23.092,596,470600,197045,500,0,53.2499693383333,37881,31.72739,9050,4,7476,40.9887592938253,2435
29.356,599,173000,286301,68007,18500,46.2963897998985,37899,31.7789,10525,4,10225,40.7634434680199,919
31.67528813,626,173000,284131,68601,18000,46.2963897998985,38006,31.7354,10515,4,10265,39.7709898476837,987
23.48530212,630,170000,265364,38028,18000,46.2963897998985,37986,31.8236,10503,4,10283,41.5115486959561,951.940000000001
9.608,645,200270,175750,90000,54450,26.6393001194074,38200,31.91882,8905,4,8776,39.7709898476838,986
31.45750307,663,452250,366408,366408,452250,46.2963897998985,38198,31.80361,10100,4,9993,39.7709898476837,985
28.392,673,149500,290146,75408,20500,46.2963897998985,38042,31.6878,10497,4,10210,40.3520940717532,1016
14.85059152,675,168500,276796,67623,17500,46.2963897998985,38087,31.7145,10535,4,10241,39.9646912557069,1020
23.763,678,175000,288534,69172,19500,46.2963897998985,38072,31.8175,10529,4,10101,42.9420521167154,1017
31.02059944,684,352040,326352,326352,352040,46.2963897998985,38149,31.77534,11000,4,10581,40.5504052128634,2267.66
25.503,691,312000,14000,156307.926666667,312000,44.52772543375,38122,31.79786,11000,4,10556,43.8150633871684,1006
30.336,693,473760,200972,54726,138109,53.2499693383333,38179,31.79926,8955,4,7318,39.7709898476838,1582.22
17.58,704,175460,222985,95036,46022,46.2963897998985,38328,31.7225,10510,4,9979,40.5697420599967,1003
23.75980535,708,186700,289110,72835,31000,46.2963897998985,38248,31.7204,10500,4,10266,39.9646912557069,1009
28.016,711,575000,220000,80000,216000,28.016,38104,31.89854,8962,4,8928,39.7709898476838,1536
27.19189199,720,370580,461832,461832,370580,46.2963897998985,38289,31.75465,11100,4,10607,39.7709898476837,1010
27.688,738,190780,304159,80707,30524,46.2963897998985,38390,31.7093,10520,4,10263,40.1583926637301,932
17.388,759,169384,215341,95114,45931,46.2963897998985,38482,31.7223,10513,4,10138,41.5502223902227,1502
11.199,761,181757,297175,81172,30640,46.2963897998985,38560,31.737,10520,4,10305,40.1703659538402,1008
27.99322887,763,349430,407484,407484,349430,46.2963897998985,38347,31.78249,11005,4,10542,39.9338976664329,780.860000000001
29.68,780,188421,295717,79913,29909,46.2963897998985,38377,31.70681,10515,4,10174,39.9646912557069,945
25.23054799,781,337440,141530,71868,181700,53.2499693383333,38565,31.78416,8985,4,8144,39.7709898476838,1010
29.26985004,809,350660,463554,463554,350660,46.2963897998985,38610,31.79904,11015,4,10663,39.7709898476838,968.24
25.465,827,630500,611730,611730,630500,46.2963897998985,39079,31.74388,10621,4,10368,39.7709898476837,1526
20.72,830,600100,579726,579726,600100,46.2963897998985,38824,31.78545,10713,4,10638,39.7709898476838,787.85
21.948,832,422040,459354,74718,231940,46.2963897998985,38626,31.8385,10530,4,8494,39.7709898476837,999
23.084,833,544020,457406,3150,194293.835,53.2499693383333,38771,31.81577,10515,4,10088,41.1824607018485,963.9893
27.448,836,667460,451860,45988,31008,53.2499693383333,38734,31.80842,10526,4,10102,39.7709898476838,1015.9
21.7819457,839,589080,510972,510972,589080,46.2963897998985,38930,31.8173,10817,8,10762,39.7709898476838,2469.98
17.98007424,841,486900,277793,55136,136020,53.2499693383333,38977,31.92039,9426,4,7707,39.7709898476838,1608
28.836,856,633024,466247,65360,71459,53.2499693383333,38754,31.78182,10510,4,10387,39.7709898476838,1010
22.82628719,885,736180,371080,55985,135840,53.2499693383333,38831,31.8801,10255,4,7944,39.7709898476838,2401.57
31.912,887,645488,442545,58652,135197,53.2499693383333,38978,31.8785,10168,4,7915,39.7709898476838,1545
26.9138779,894,403220,477059,79330,180906,53.2499693383333,39048,31.72489,10532,4,8421,39.7709898476838,1004
