EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Subarea,Operator,Completion.Date,Surface.Latitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,Deepest_Zone,Depth.Base,Fluid.Type,Additive,Treated.Stage.Height,Total.Height
17.685,1533,0,0,138440,290080,83.1471471471472,174.222222222222,31.0822746668166,28.7435445124554,37780,31.46918,8250,34.5591944596218,29.3086427363303,1,0,4,7992,32.6831244593204,31.546449633907,1665,1564.99
21.03030391,1541,0,0,192696,290230,114.224066390042,172.039122703023,31.0822746668166,28.7435445124554,37645,31.49026,8225,27.1641634838889,32.7095334436842,1,0,4,8127,32.6831244593204,31.4914543142372,1687,1571.46
15.7871887,1553,0,0,172536,289760,104.567272727273,175.612121212121,31.0822746668166,28.7435445124554,37753,31.4905,8252,30.9649256690123,32.7095334436842,1,0,4,8122,32.6831244593204,31.6014449535767,1650,2541.01
21.976,1554,0,5000,212020,127716,307.943925233645,596.803738317757,31.0822746668166,35.077404580155,37964,31.59362,8700,27.9264454507692,32.7095334436842,3,0,4,7088,35.6141918974286,35.1727043229567,214,2513
21.748,1581,0,4000,218452,0,2.94117647058824,0,31.0822746668166,35.077404580155,37754,31.64919,8440,30.9649256690123,32.7095334436842,3,0,4,6796,35.595766371938,35.2738148487903,170,2672
22.30126664,1595,0,0,153212,290310,92.2963855421687,174.885542168675,31.0822746668166,28.7435445124554,37796,31.45166,8200,36.9369363917544,32.7095334436842,1,0,4,8154,32.6831244593204,31.4914543142373,1660,1561.55
17.03591569,1596,0,0,220506,135000,422.345454545455,613.636363636364,31.0822746668166,28.7435445124554,38212,31.44537,8154,34.5591944596218,29.3086427363303,2,0,4,7897,35.6141918974286,31.4914543142373,220,2538.15
17.94,1600,0,0,220506,135000,400.5,581.896551724138,31.0822746668166,28.7435445124554,38189,31.51953,8306,34.5591944596218,32.7095334436842,2,0,4,8166,32.6831244593204,31.4914543142372,232,2526.77
11.52,1605,0,0,90365,135000,52.2643146327357,78.0798149219202,31.0822746668166,28.7435445124554,37864,31.43354,8184,34.5591944596218,32.7095334436842,1,0,4,8093,32.6831244593204,31.4914543142373,1729,2500.84
17.30257449,1607,0,0,90365,135000,50.6530269058296,75.6726457399103,31.0822746668166,28.7435445124554,37875,31.45807,8208,34.5591944596218,32.7095334436842,1,0,4,8041,32.6831244593204,31.6143108352748,1784,2423
15.1832191,1628,0,0,220506,350000,133.802184466019,212.378640776699,31.0822746668166,28.7435445124554,38103,31.4719,8260,27.1641634838889,32.7095334436842,1,0,4,8068,32.6831244593204,31.8764215519255,1648,1579.88
19.024,1637,0,0,183782,135000,274.782945736434,523.255813953488,31.0822746668166,28.7435445124554,38123,31.49518,8206,34.5591944596218,32.7095334436842,2,0,4,7968,32.6831244593204,32.0090325917209,258,1572.08
20.668,1643,0,0,220506,215000,132.354771784232,223.029045643154,31.0822746668166,28.7435445124554,38189,31.50933,8237,30.9649256690123,32.7095334436842,2,0,4,7396,32.6831244593204,31.4914543142373,964,1578.01
