EUR_o..Mstb.,WellID,Proppant...Total..lbs.,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Base,Treated.Stage.Height
29.3341376,2264,470870,-101.95213,9305,7629,173
27.11062516,2266,471980,-101.94454,9313,7617,188
28.8424161,2267,470700,-101.96039,9240,7668,183
28.698,2270,474721,-101.82832,8920,7288,197
28.074,2271,473590,-101.82143,8881,7252,185
33.648,2274,116000,-102.049,10502,10208,98
32.264,2279,472150,-101.91047,9080,7459,212
27.552,2285,187351,-101.9777,10515,10237,53
28.94866663,2288,470820,-102.07952,9455,7917,167
25.244,2304,800820,-102.0355,10599,10267,2515
34.5821022,2315,351380,-102.10366,12554,10481,1302
32.056,2325,476670,-102.02548,9203,7762,193
36.984,2342,365875,-101.96478,10000,9871,764
39,2343,365875,-101.95957,10035,9859,810
34.05661012,2344,359875,-101.96911,10000,9860,759
19.3364338,2346,365875,-101.96831,10011,9823,765
38.624,2351,671000,-102.10353,10620,10185,2411
26.32,2353,837980,-101.9307,10010,7530,167
15.496,2357,416707,-101.91452,8454,7417,164
26.56,2361,356750,-101.96728,10033,9987,541
32.132,2367,479800,-101.91536,8468,7443,176
28.50589361,2380,36500,-102.02449,10403,10330,1153
37.07602193,2381,418000,-102.03477,10316,10184,975
34.36550187,2387,883105,-101.97049,10658,7542,174
36.45196917,2392,36500,-102.03133,10081,10027,853
5.68,2402,720000,-102.07431,10110,9896,68
37.424,2405,818300,-102.0606,11327,10920,176
26.59581059,2407,447474,-102.14444,10312,10170,1080
21.748,2459,572500,-102.10293,12700,12246,3064
31.468,2467,884126,-102.06218,10907,10786,3079
17.686,2473,877586,-102.00778,10772,7778,166
35.896,2483,730000,-102.05608,10140,9936,20
22.884,2501,619627,-101.91607,10786,10696,1704
39.636,2510,470600,-102.1578,10745,10604,1440
13.406,2541,725465,-101.90492,10829,10707,626
11.04,2545,659375,-101.91028,10825,10715,265
35.784,2554,1080119,-102.00983,10882,10728,1364
40.5,2570,728484,-102.07544,10763,10666,222
29.91337288,2579,657000,-102.05204,10665,10520,2750
18.912,2583,778674,-101.99914,11103,11018,2270
28.628,2585,508000,-102.1214,10492,10220,2250
25.588,2591,927500,-102.11949,11159,11020,3060
39.652,2613,1258004,-101.9599,10900,10652,1556
11.184,2620,922100,-101.91437,10899,10739,3375
25.36517554,2646,792212,-102.0815,10945,10570,2805
27.04989817,2660,298750,-101.98907,10983,10624,962
6.809624121,2663,150000,-102.07267,11584,11320,2280
13.405816,2664,762000,-102.07788,11500,11390,3405
23.064,2697,1417920,-102.0078,12161,11900,2866
26.44,2701,618812,-102.13045,10635,10290,1925
13.24119333,2710,126000,-102.07745,11400,11207,3159
41.028,2711,1303430,-102.10265,11364,11150,20
39.86,2715,1367375,-102.02111,10928,10629,1435
18.56,2718,879500,-102.11975,11460,11210,3260
34.92,2728,1317273,-101.96061,10953,10534,1377
46.25148171,2265,469940,-101.95141,9520,9065,209
56.128,2275,551000,-102.052,10520,10213,47
54.99745852,2282,190460,-102.0473,10500,10193,78
41.41698122,2295,523720,-101.94534,9614,9535,28
52.712,2331,207348,-101.95725,10010,9905,2464
50.01729324,2339,317200,-102.04286,10767,9205,87
46.4913173,2355,849260,-101.99463,10540,7611,165
44.856,2359,645000,-102.06958,10550,10499,416
49.9394299,2370,827900,-102.07379,10459,10459,2145
41.136,2375,27629.525,-101.96371,10027,9484,358
48.028,2378,356750,-101.96643,9991,9873,761
41.364,2390,6700977.6236661,-102.072,10300,9810,1960
51.28691275,2403,74000,-101.98988,10000,10000,108
46.908,2408,430101,-102.16073,10226,10076,876
43.112,2411,802329,-101.97163,10312,10210,1990
53.768,2412,675000,-102.10995,10410,10282,2518
48.844,2432,1012580,-102.02649,10892,7811,163
56.568,2441,879800,-102.01304,10880,7838,168
53.86,2453,643865,-102.01528,10790,10709,1555
56.358,2463,1306003,-102.02967,10898,10752,290
