EUR_o..Mstb.,WellID,Proppant...Total..lbs.,Fluid...Total..lbs.,Operator,Completion.Date,Number,Depth.Base,Mesh.Size,Treated.Stage.Height,Total.Height
32.696,491,3112480,313992,44.4094484539815,37627,1,10588,52.8523955532202,2544,2751.72
29.684,501,194524,342682,29.684,37639,4,8482,47.7258855896298,86,1000
20.972,579,170985,292313,44.4094484539815,37838,7,8829,40.810301850523,474,1012
29.064,580,168000,286740,44.4094484539815,37900,8,10437,42.3845053833346,316,993
29.28650586,594,168000,288672,44.4094484539815,37893,8,10376,43.9494923514904,428,1007.81
29.356,599,173000,286301,44.4094484539815,37899,8,10225,43.3809106046788,87,919
31.67528813,626,173000,284131,44.4094484539815,38006,8,10265,40.6147474348673,180,987
31.45750307,663,452250,366408,44.4094484539815,38198,1,9993,41.4948423121952,1672,985
23.763,678,175000,288534,44.4094484539815,38072,8,10101,44.0796275424904,34,1017
31.02059944,684,352040,326352,44.4094484539815,38149,1,10581,41.8116669833509,2626,2267.66
25.503,691,312000,14000,44.52772543375,38122,2,10556,45.6676559222855,2390,1006
27.19189199,720,370580,461832,44.4094484539815,38289,1,10607,40.8661528813673,2327,1010
27.688,738,190780,304159,44.4094484539815,38390,8,10263,41.0570990146952,120,932
17.388,759,169384,215341,44.4094484539815,38482,6,10138,43.5113974248346,460,1502
11.199,761,181757,297175,44.4094484539815,38560,8,10305,42.7594155663509,40,1008
27.99322887,763,349430,407484,44.4094484539815,38347,1,10542,41.8162752656788,1801,780.860000000001
29.26985004,809,350660,463554,44.4094484539815,38610,1,10663,40.0465173172115,2369,968.24
25.465,827,630500,611730,44.4094484539815,39079,1,10368,40.0465173172115,2119,1526
20.72,830,600100,579726,44.4094484539815,38824,1,10638,40.0465173172115,1917,787.85
21.948,832,422040,459354,44.4094484539815,38626,12,8494,40.0465173172115,321,999
21.7819457,839,589080,510972,44.4094484539815,38930,1,10762,40.0465173172115,2500,2469.98
33.2316135,845,775660,411032,49.3060328835135,38814,10,10175,40.0465173172115,395,1530
32.14,866,538660,13294,44.4094484539815,38754,1,10580,45.5236958843019,2263,2727.87
32.8,868,580100,594128,44.4094484539815,38825,2,10554,40.0465173172115,2159,2067.76
31.912,887,645488,442545,49.3060328835135,38978,12,7915,40.0465173172115,170,1545
16.55643722,896,105000,360500,47.0209348228125,38816,2,9944,40.0465173172115,1379,962
19.24822649,903,612489,322923,49.3060328835135,38859,7,10150,40.0465173172115,357,918.6
33.424,1012,520740,775052,49.3060328835135,39336,10,9456,40.0465173172115,60,943.2082
32.612,1016,405560,711813,49.3060328835135,39292,14,9400,40.0465173172115,9,928.6531
29.7,1017,369480,584673,49.3060328835135,39316,8,9445,40.0465173172115,29,940.2096
28.148,1021,605250,615510,44.4094484539815,39473,1,10414,41.5997619926625,1725,2101.24
16.99490709,1031,295300,408076,49.3060328835135,39493,10,9593,40.0465173172115,150,970.6202
15.003,1034,111520,297889,49.3060328835135,39459,8,9618,40.0465173172115,118,973.0623
1.224,1039,528357,409977,33.3895658112903,39413,12,7926,40.0465173172115,158,1376
27.816,1042,592184,450221,33.3895658112903,39325,12,8068,40.0465173172115,58,1384
24.856,1048,524440,407788,33.3895658112903,39433,12,8111,40.0465173172115,88,1418
31.828,1062,491380,655116,44.4094484539815,39388,2,11074,48.0088981157692,2392,2161.74
21.632,1076,744410,304248,44.4094484539815,39489,1,10084,39.461936624523,1886,1032
29.88130148,1078,355500,601600,47.0209348228125,39548,2,10007,40.0465173172115,2025,1481
31.68,1084,653420,515056,33.3895658112903,39564,16,8229,40.0465173172115,168,1403
12.869,1093,593420,533688,33.3895658112903,39693,12,8122,40.0465173172115,110,1405
15.08381372,1096,583403,431283,33.3895658112903,39726,12,8195,40.0465173172115,175,1417
29.752,1097,655300,506153,33.3895658112903,39866,14,8068,40.0465173172115,50,1404
30.86,1098,532860,457464,33.3895658112903,39873,10,7886,40.0465173172115,83,2338
28.252,1108,800820,589657,33.3895658112903,39744,14,7918,40.0465173172115,8,1496
29.636,1109,582080,497735,33.3895658112903,39775,12,8045,40.0465173172115,198,1462
12.528,1119,590620,562701,33.3895658112903,39887,12,8074,40.0465173172115,99,1328
11.38,1122,404360,432764,33.3895658112903,39886,12,8027,40.0465173172115,173,1369
33.5106793,1148,478000,517000,47.0209348228125,39782,2,10000,40.0465173172115,2012,1480.56
31.08,1164,718000,727010,41.73568210375,40360,12,9970,40.0465173172115,20,1485
22.104,1168,433600,586200,47.0209348228125,39835,3,9911,40.0465173172115,2041,1483
28.75787777,1240,477600,530350,47.0209348228125,40488,2,10020,40.6752067480394,1986,1481.19
24.024,1250,880000,735444,41.73568210375,40521,12,10220,40.0465173172115,58,1542.62
27.424,1253,940000,733936,41.73568210375,40514,12,9958,40.0465173172115,98,1524.22
8.092,1263,896780,799722,16.95015631,40526,10,11080,40.0465173172115,72,2612.99
23.3,1274,967108,622146,16.95015631,40644,10,11096,40.0465173172115,186,2553.67
28.744,1304,1197571,1349339,49.3060328835135,41115,6,10333,51.983269613425,887,1361
28.19693786,1320,797429,839510,16.95015631,40931,24,11110,40.0465173172115,98,1631.68
23.404,1347,701470,983976,44.4094484539815,40691,2,10650,41.6406468925067,1859,940.280000000001
11.188,1377,844910,756582,16.95015631,40772,12,10950,40.0465173172115,22,1308.07
21.736,1379,450707,721350,16.95015631,40808,12,10870,40.0465173172115,40,1346.96
38.20476317,469,247891,272650,44.4094484539815,37750,7,9980,40.0465173172115,202,1528
37.41851414,470,172588,293156,44.4094484539815,37800,8,10303,40.6147474348673,179,1021
38.64026668,478,171000,294361,44.4094484539815,37936,8,10249,41.620720850023,206,999
35.397,493,341850,340998,44.4094484539815,37753,1,10193,40.4238013015394,2563,1564
41.692,497,371330,297696,44.4094484539815,37628,1,9993,50.3350023739087,2251,3047
42.39503173,504,199940,341483,49.3060328835135,37633,4,10276,49.1209456639413,20,1019.88
37.467,530,39200,155500,44.52772543375,37833,2,10105,52.4022133510317,2444,2423.92
37.596,574,171340,289934,44.4094484539815,37896,8,10083,44.5173708399904,101,965
35.94017441,603,171000,288705,44.4094484539815,37917,8,10307,42.0026131166788,176,1015
36.296,621,291000,92000,44.52772543375,38047,2,10147,44.6570742248019,1953,1015
34.60778643,648,144000,287662,44.4094484539815,37982,8,10380,41.3785319681788,267,919
33.54,668,333410,345030,44.4094484539815,38113,1,10090,40.4238013015394,1824,1573
36.10162939,698,190000,285217,44.4094484539815,38168,8,10407,41.1875858348509,299,914
45.37418401,701,346550,428064,44.4094484539815,38145,1,10300,41.2434368656952,1980,985.33
36.16,713,329600,94900,44.52772543375,38250,2,10459,44.028384793974,2273,1005
36.412,715,223000,161750,44.4094484539815,38163,7,8745,40.0465173172115,195,883
39.38,744,349710,426888,44.4094484539815,38331,1,10603,41.620720850023,2456,1591
43.964,810,613250,665322,44.4094484539815,38778,1,10543,42.6875052075067,2187,948
41.82115739,818,496700,441500,44.52772543375,38769,2,10521,40.0465173172115,2243,2612.18
