EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount.Per.Foot,Operator,Surface.Latitude,Depth.Total.Driller..ft.,Treatment.Records,Depth.Base,Treated.Stage.Height
34.74,627,0,174500,284749,68636,96.9387755102041,52.9952073841379,31.6806,10525,8,10384,196
34.972,634,0,166000,288112,67765,264.705882352941,52.9952073841379,31.6662,10525,8,10172,68
31.92805746,656,0,184096,297570,80066,165.760869565217,52.9952073841379,31.7036,12510,8,10360,184
24.8743132,664,0,191000,297292,89020,187.5,52.9952073841379,31.6859,10528,8,10331,208
28.392,673,0,149500,290146,75408,169.421487603306,52.9952073841379,31.6878,10497,8,10210,121
14.85059152,675,0,168500,276796,67623,145.833333333333,52.9952073841379,31.7145,10535,8,10241,120
32.084,694,0,155640,298374,81139,143.235849056604,52.9952073841379,31.7071,10515,8,10382,212
17.58,704,0,175460,222985,95036,138.204204204204,52.9952073841379,31.7225,10510,6,9979,333
23.75980535,708,0,186700,289110,72835,233.082706766917,52.9952073841379,31.7204,10500,8,10266,133
20.608,710,0,187800,275369,77504,246.031746031746,52.9952073841379,31.7214,10530,8,10258,126
26.3487155,753,0,190497,300937,80152,147.199029126214,52.9952073841379,31.7139,10505,8,10376,206
29.68,780,0,188421,295717,79913,506.932203389831,52.9952073841379,31.70681,10515,8,10174,59
33.832,817,0,155654,330415,72793,220.257352941176,52.9952073841379,31.6863,10500,8,10388,136
32.128,820,569856,601330,578856,569856,251.602510460251,52.9952073841379,31.7203,10630,2,10598,2390
26.9138779,894,0,403220,477059,79330,1482.83606557377,54.3259296711494,31.72489,10532,11,8421,122
26.62828616,1066,0,500445,392187,71780,2834.92537313433,54.3259296711494,31.66348,10481,10,8534,67
32.796,1107,75184.5699999995,233100,372367.47,138333.81,573.275862068965,22.0790636454348,31.68191,10220,5,10106,116
16.964,1131,0,815400,964596,358401.24,740.384615384615,22.0790636454348,31.66928,10055,16,9700,104
13.39959831,1132,0,642000,689552,157206,1428.57142857143,22.0790636454348,31.65527,10070,11,9844,84
32.612,1215,0,698000,1000944,147000,797.872340425532,22.0790636454348,31.67656,10240,12,10024,188
16.628,1216,0,750000,1184988,142002,1250,22.0790636454348,31.66229167,10180,12,9876,96
10.352,1217,0,783000,1011990,158004,380.769230769231,22.0790636454348,31.6799,10415,12,10200,260
25.18,1218,0,864000,671790,149016,9333.33333333333,22.0790636454348,31.69346,10190,10,9894,24
5.434086014,1243,0,802000,701474,149016,1704.54545454545,22.0790636454348,31.70563,10420,10,9978,88
8.03,1279,0,752647,836522,10,0,25.130579255,31.6885,11850,11,11706,20
7.548,1291,0,978294,773088,71316,911.787878787879,25.130579255,31.6955,11892,11,11420,66
0.7,1330,0,1000630,735066,75000,513.513513513514,25.130579255,31.71082,11732,13,11430,148
1.072,1340,0,716157,856582,10,0,25.130579255,31.70339,11700,13,11368,104
33.984,1372,1049370,841390,1049370,1049370,298.7890625,22.0790636454348,31.6767,12330,1,12128,2816
0.292,1383,0,613084,804672,34042,18.75,25.130579255,31.6993,11731,15,11600,80
0.248,1386,0,764714,740292,76230,522.614285714286,25.130579255,31.7101882,11830,13,11410,70
5.083,1416,0,107600,1351602,1351602,32.9858982219497,22.0790636454348,31.67881,11375,1,11212,3262
4.528,1425,0,530100,431800,418800,302.914285714286,38.713,31.71062,10952,2,10880,1750
4.216,1426,0,264370,84504,76440,201.809160305344,52.9952073841379,31.70005,10715,2,10660,1310
7.608,1461,0,609809,858000,27636,5.80487804878049,25.130579255,31.69311,11773,22,11610,164
5.604,1466,0,120000,124000,124000,41.7972831765935,22.0790636454348,31.66521,11462,1,11322,2871
23.292,1480,0,936440,839484,130662,3913.04347826087,25.130579255,31.69135,11895,20,11463,23
27.11062516,2266,0,471980,200342,500,0,54.3259296711494,31.5609,9313,8,7617,188
28.8424161,2267,0,470700,196057,53130,694.426229508197,54.3259296711494,31.58419,9240,6,7668,183
33.648,2274,0,116000,294444,104939,285.714285714286,52.9952073841379,31.6502,10502,6,10208,98
32.264,2279,0,472150,202232,55398,637.72641509434,54.3259296711494,31.53072,9080,6,7459,212
27.552,2285,0,187351,293373,81571,581.132075471698,52.9952073841379,31.6513,10515,8,10237,53
28.94866663,2288,0,470820,206468,53463,811.85628742515,54.3259296711494,31.54026,9455,6,7917,167
30.184,2291,0,470580,198104,52338,676.720812182741,54.3259296711494,31.59182,9289,6,7730,197
25.244,2304,1072134,800820,1072134,1072134,318.417495029821,52.9952073841379,31.6496,10599,1,10267,2515
34.5821022,2315,324534,351380,324534,324534,269.877112135177,52.9952073841379,31.49626,12554,1,10481,1302
32.056,2325,0,476670,195443,55036,713.715025906736,54.3259296711494,31.59152,9203,6,7762,193
34.05661012,2344,405250,359875,405250,175250,123.847167325428,40.0233297225,31.55523,10000,3,9860,759
19.3364338,2346,406000,365875,406000,222000,122.875816993464,40.0233297225,31.55165,10011,3,9823,765
26.32,2353,0,837980,457584,55554,817.251497005988,54.3259296711494,31.52535,10010,14,7530,167
15.496,2357,0,416707,154134,51583,856.073170731707,54.3259296711494,31.51474,8454,6,7417,164
26.56,2361,350500,356750,1051000,92000,88.724584103512,40.0233297225,31.56316,10033,4,9987,541
32.132,2367,0,479800,164013,42240,872.426136363636,54.3259296711494,31.5183,8468,6,7443,176
28.50589361,2380,546000,36500,546000,257500,17.1292281006071,58.9066580742424,31.51928,10403,3,10330,1153
34.36550187,2387,0,883105,817606,57669,942.137931034483,54.3259296711494,31.49853,10658,16,7542,174
26.59581059,2407,0,447474,938826,938826,414.327777777778,71.7415490571429,31.60367,10312,1,10170,1080
31.468,2467,582000,884126,959500,4408,0,58.9066580742424,31.52597,10907,9,10786,3079
17.686,2473,0,877586,1018920,73432,448.042168674699,54.3259296711494,31.50444,10772,14,7778,166
34.192,2477,0,684500,22214,544209.15,263.269230769231,71.7415490571429,31.50249,10630,2,10500,2600
33.11298991,2478,0,653500,14500,543985.953333333,302.546296296296,71.7415490571429,31.50444,10618,2,10490,2160
