EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Acid..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Operator,Completion.Date,Surface.Latitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Number,Depth.Base,Fluid.Type,Additive,Mesh.Size,Treated.Stage.Height,Total.Height
23.14,52,0,12750,522940,446731,51612,133871,307.214285714286,796.85119047619,37.40964338,39065,31.72326,9843,40.3258320009231,51.8712479511905,3,11,7096,44.7425032674118,25.7852954861143,32.8142994143421,168,1575
13.624,60,0,14250,523253,426297,45604,134736,302.013245033113,892.291390728477,37.40964338,39106,31.73249,9792,40.3258320009231,51.8712479511905,3,12,7027,44.7425032674118,24.0685259388226,32.8142994143421,151,1556
12.671,64,0,11250,505220,361845,47343,125270,309.43137254902,818.75816993464,37.40964338,39159,31.72402,9782,51.2741947492593,51.8712479511905,4,10,7022,44.7425032674118,19.55382463,32.8142994143421,153,2451
6.904,66,0,12000,267520,273394,140345,84000,746.515957446809,446.808510638298,48.3823164825373,39196,31.73191,9496,51.2741947492593,40.183354163,2,7,7713,44.7425032674118,37.5978810664408,32.8142994143421,188,1071
20.072,76,0,0,584800,633108,189756,199000,636.765100671141,667.785234899329,34.6444484433333,39263,31.74169,8547,40.3258320009231,43.7877753542308,3,4,6775,58.2174591280769,20.072,32.8142994143421,298,1571
20.7,82,536943,4000,610000,540943,341928,4e+05,1910.21229050279,2234.63687150838,34.6444484433333,39255,31.75205,8750,40.3258320009231,43.7877753542308,3,4,8467,48.150429702619,43.5363749345302,32.8142994143421,179,1590
17.63959573,86,0,14250,600723,417479,47393,138461,307.746753246753,899.097402597403,37.40964338,39534,31.76536,9894,40.3258320009231,51.8712479511905,4,12,7065,44.7425032674118,41.6579929127665,32.8142994143421,154,2549
10.56,90,0,16500,561280,468007,72210,183837,487.905405405405,1242.14189189189,37.40964338,39404,31.72807,9900,40.3258320009231,51.8712479511905,4,10,7048,44.7425032674118,32.7451185190018,32.8142994143421,148,2472
8.808,94,0,14250,522900,398382,48792,140167,318.901960784314,916.124183006536,37.40964338,39545,31.71945,9878,40.3258320009231,51.8712479511905,3,12,7073,44.7425032674118,31.9021816153408,32.8142994143421,153,1603
21.94799122,97,0,19000,552180,571036,46609,130467,879.415094339623,2461.64150943396,48.3823164825373,39624,31.97212,9983,51.2741947492593,50.6891494444231,4,14,6480,44.7425032674118,47.7128462233774,32.8142994143421,53,2339
11.934,99,0,14250,638440,466207,48842,142580,321.328947368421,938.026315789474,37.40964338,39494,31.7278,9878,51.2741947492593,51.8712479511905,3,12,7027,44.7425032674118,36.2593382741012,32.8142994143421,152,1610
17.38,121,0,18000,1328840,697906,73222,177573,989.486486486486,2399.63513513513,48.3823164825373,39760,31.98413,9976,40.3258320009231,50.6891494444231,2,22,7341,44.7425032674118,48.5535845193878,32.8142994143421,74,1014
14.11666124,124,0,10500,224088,574026,27231,16598,2723.1,1659.8,48.3823164825373,39957,31.99172,10030,48.4529593570968,50.6891494444231,1,12,7828,44.7425032674118,48.5535845193878,32.8142994143421,10,1259.0058
16.288,138,0,141527,516840,520460,51408,131780,174.857142857143,448.231292517007,48.3823164825373,39836,31.77052,10488,51.2741947492593,51.8712479511905,7,13,6767,44.7425032674118,48.5535845193878,32.8142994143421,294,3617
21.28,149,0,0,1335256,1401510,250962,121444,1167.26511627907,564.855813953488,48.3823164825373,40622,31.77154,10040,51.2741947492593,43.7877753542308,4,8,9904,44.7425032674118,48.5535845193878,41.689320788595,215,2638
18.724,150,0,10000,666840,615580,50568,156657,407.806451612903,1263.36290322581,48.3823164825373,39945,31.75976,10006,40.3258320009231,50.6891494444231,3,14,6553,44.7425032674118,48.5535845193878,32.8142994143421,124,1603
23.042,192,0,0,1353425,1533212.367,1282260,849581,700.305843801201,463.998361551065,48.3823164825373,40663,31.97912,10401,40.3258320009231,43.7877753542308,7,6,10056,44.7425032674118,48.5535845193878,23.042,1831,3448
13.372,196,0,20034,402000,20034,80150.94,25000,684.15382629682,166.666666666667,36.1871360475,40512,31.8471,10415,40.3258320009231,50.6891494444231,6,12,10084,48.6847402486449,48.3680146548902,37.872500896449,150,2227.86
