EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Acid..Gals.,Proppant...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Operator,Completion.Date,Surface.Latitude,Surface.Longitude,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Deepest_Zone,Depth.Base,Fluid.Type,Additive,Treated.Stage.Height
13.363,1552,0,0,291000,154000,291000,95.2970297029703,28.4493072730978,37735,31.5389,-101.68047,31.3561686762069,32.5105762088208,3,4,8218,31.2104725577647,27.55885419,1616
15.7871887,1553,0,0,289760,172536,289760,104.567272727273,28.4493072730978,37753,31.4905,-101.66057,30.3812910421053,32.5105762088208,4,4,8122,31.2104725577647,27.55885419,1650
21.976,1554,0,5000,454404,65900,127716,307.943925233645,36.3138737324771,37964,31.59362,-101.76857,35.8119685888889,32.5105762088208,4,4,7088,36.5848599992683,34.065091424199,214
16.66110048,1577,0,0,290200,197782,290200,119.722760290557,28.4493072730978,37711,31.52689,-101.6323,31.3561686762069,32.5105762088208,3,4,8147,31.2104725577647,27.55885419,1652
21.748,1581,0,4000,471640,500,0,2.94117647058824,36.3138737324771,37754,31.64919,-101.66118,30.3812910421053,32.5105762088208,4,4,6796,31.96495837,33.5219540458333,170
17.03591569,1596,0,0,350000,92916,135000,422.345454545455,28.4493072730978,38212,31.44537,-101.64218,31.3561686762069,28.7636489591045,4,4,7897,36.5848599992683,27.55885419,220
17.94,1600,0,0,350000,92916,135000,400.5,28.4493072730978,38189,31.51953,-101.66523,31.3561686762069,32.5105762088208,4,4,8166,31.2104725577647,27.55885419,232
17.30257449,1607,0,0,135000,90365,135000,50.6530269058296,28.4493072730978,37875,31.45807,-101.61982,31.3561686762069,32.5105762088208,4,4,8041,31.2104725577647,27.8814481932753,1784
15.1832191,1628,0,0,350000,220506,350000,133.802184466019,28.4493072730978,38103,31.4719,-101.65937,27.1641634838889,32.5105762088208,3,4,8068,31.2104725577647,27.9523161661403,1648
20.72,1636,0,0,350000,92916,135000,353.292775665399,28.4493072730978,38139,31.53006,-101.6333,31.3561686762069,32.5105762088208,3,4,8135,31.2104725577647,27.55885419,263
20.668,1643,0,0,350000,127590,215000,132.354771784232,28.4493072730978,38189,31.50933,-101.62683,30.3812910421053,32.5105762088208,3,4,7396,31.2104725577647,27.55885419,964
15.47732057,1679,0,0,362000,139916,139000,351.547738693467,28.4493072730978,38243,31.46065,-101.62497,27.1641634838889,32.5105762088208,3,4,8053,31.2104725577647,27.8105802204102,398
21.748,1682,0,11000,509510,67410,17560,9630,36.3138737324771,38361,31.46522,-101.70543,30.3812910421053,32.5105762088208,4,4,8956,31.2104725577647,33.7689014932775,7
13.54044625,1686,0,3750,471400,57246,135300,342.790419161677,36.3138737324771,38360,31.56019,-101.65163,30.3812910421053,32.5105762088208,2,3,6719,36.5848599992683,34.1914384960782,167
8.388,1691,0,0,360000,139916,140000,647.759259259259,28.4493072730978,38303,31.43409,-101.64222,31.3561686762069,32.5105762088208,3,4,7896,31.2104725577647,27.55885419,216
20.312,1695,0,0,100450,131800,49250,506.923076923077,28.4493072730978,38390,31.51264,-101.64542,31.3561686762069,32.5105762088208,4,4,8135,36.5848599992683,27.55885419,260
19.968,1701,383200,0,100450,131800,49250,121.251149954002,28.4493072730978,38433,31.54337,-101.67703,31.3561686762069,32.5105762088208,4,4,8210,28.0485300642342,28.1177415016438,1087
20.695,1702,383200,0,100450,131800,49250,610.185185185185,28.4493072730978,38420,31.44672,-101.66954,30.3812910421053,32.5105762088208,3,4,8046,28.0485300642342,28.1177415016438,216
