EUR_o..Mstb.,WellID,Acid..Gals.,Gel.x.link..Gals.,Fluid.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Operator,County,Completion.Date,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,Depth.Base,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,Treated.Stage.Height,Total.Height
18.55149194,37,0,0,252900,394.539781591264,155.616224648986,29.2557342966,42.3924508966289,38824,31.71755,-101.56402,8255,34.9255981384609,33.1824404897931,2,0,8052,28.8668561129787,34.4445304402515,33.4627104233887,29.491430298115,641,1645
10.876,42,0,0,167700,246.617647058824,86.7279411764706,29.2557342966,42.3924508966289,38842,31.69948,-101.57606,8283,33.728401156087,36.1949505422679,2,0,8133,28.8668561129787,34.4445304402515,33.4348731525887,29.491430298115,680,2468
15.424,72,0,0,124698,387.260869565217,190.993788819876,29.2557342966,42.3924508966289,39091,31.66779,-101.55234,8181,33.728401156087,36.1949505422679,2,0,8011,37.4290091722558,34.4445304402515,33.9214411509192,29.491430298115,322,2475.96
12.64935437,79,10750,245788,57767,695.987951807229,1995.67469879518,31.7563420828205,42.3924508966289,39232,31.72677,-101.58867,9510,33.728401156087,33.1824404897931,4,0,8026,33.6209619039583,34.4445304402515,17.494677185,29.491430298115,83,1044.05525
22.11157295,89,0,0,174688,396.1179138322,487.244897959184,29.2557342966,42.3924508966289,39558,31.65722,-101.54181,8252,34.9255981384609,36.1949505422679,2,0,8113,28.8668561129787,34.4445304402515,33.5340742766667,29.491430298115,441,1622
22.828,113,6000,217988,51788,446.448275862069,1207.5,31.7563420828205,42.3924508966289,39563,31.68763,-101.61187,8338,34.9255981384609,33.1824404897931,4,0,6622,33.6209619039583,34.4445304402515,31.2856258805338,29.491430298115,116,582
15.55114674,114,6000,232412,54204,451.7,1127.39166666667,31.7563420828205,42.3924508966289,39568,31.69162,-101.60838,8295,34.9255981384609,33.1824404897931,4,0,6601,33.6209619039583,34.4445304402515,31.8932610953646,29.491430298115,120,1459
19.788,160,0,0,768857,278.268910604416,220.491132826638,31.3601172292308,42.3924508966289,40356,31.69581,-101.44731,9905,42.9852623220513,38.5072629434884,1,0,9805,28.8668561129787,34.4445304402515,40.1636950819355,31.5231789886155,2763,3298.56
9.968,210,22000,0,156228.48,1018.03430325289,597.014925373134,32.3756994035714,42.3924508966289,40753,31.73672,-101.43366,9980,34.9255981384609,38.5072629434884,8,0,9741,38.0242206476914,34.4445304402515,36.8547696816025,29.491430298115,134,3364.69
19.484,224,28014,0,114227.56,636.920386386218,208.63309352518,32.3756994035714,42.3924508966289,40570,31.70158,-101.42258,9993,33.728401156087,38.5072629434884,7,0,9876,37.8098585610063,34.4445304402515,37.2697317525858,29.491430298115,139,2184.7
16.16,256,26300,338000,98000,666.666666666667,340.136054421769,31.3601172292308,42.3924508966289,40725,31.68682,-101.45337,10559,42.9852623220513,38.5072629434884,6,0,10305,37.4290091722558,34.4445304402515,33.5340742766667,29.491430298115,147,3501.6636
21.2,269,32700,509000,2200,146.666666666667,0,31.3601172292308,42.3924508966289,40722,31.72146,-101.46417,10705,33.728401156087,38.5072629434884,7,0,10605,41.9279039310853,41.9279039310853,41.76099037312,25.3620714857918,15,3587.4887
10.636,282,15120,0,1090740,320.428907168038,266.12749706228,43.9274312046667,42.3924508966289,40694,31.67115,-101.52251,10680,34.9255981384609,36.1949505422679,1,0,10484,37.4290091722558,34.4445304402515,39.3382749891657,31.9622532869734,3404,3705.0741
3.42574173,297,147760.479999998,0,916812.06,366.617336931476,31.5179021684317,3.53660604433333,42.3924508966289,40819,31.7026,-101.59822,10610,34.9255981384609,33.1824404897931,1,0,10450,37.7314481749289,34.4445304402515,34.2537666802333,4.695253278,3966,3725.56
12.116,318,29000,402000,111000,406.593406593407,296.703296703297,31.3601172292308,42.3924508966289,40870,31.72073,-101.53835,10464,34.9255981384609,60.5438804114286,7,0,9933,37.4290091722558,34.4445304402515,35.5152920885714,29.491430298115,273,3657.88
5.964764826,342,45895.8591999995,191113.587984,1619623.95,361.831652121331,33.0344502123643,3.53660604433333,42.3924508966289,40784,31.69898,-101.61162,10925,34.9255981384609,33.1824404897931,1,248185.56,10766,39.8994051521782,34.4445304402515,36.1893495878288,4.695253278,4238,4240.53
15.6,387,29000,397000,101000,328.990228013029,179.153094462541,31.3601172292308,42.3924508966289,40886,31.69927,-101.44853,10064,34.9255981384609,38.5072629434884,7,0,9761,37.4290091722558,34.4445304402515,40.1636950819355,29.491430298115,307,3744.6
19.74,389,29000,523000,114000,572.86432160804,442.211055276382,31.3601172292308,42.3924508966289,41007,31.71186,-101.50558,10182,38.5322608754246,39.1526116200461,7,0,9803,33.6209619039583,34.4445304402515,41.8255384615385,29.491430298115,199,3567.15815079365
10.816,426,30000,568000,115000,403.508771929825,270.175438596491,31.3601172292308,42.3924508966289,40990,31.67599,-101.41896,9920,39.0176406084077,39.2889468352784,7,0,9703,33.6209619039583,34.4445304402515,33.5340742766667,29.491430298115,285,3458.73535079365
9.5,429,30000,422000,115000,437.262357414449,342.205323193916,31.3601172292308,42.3924508966289,41119,31.6878,-101.44929,10122,42.9852623220513,38.5072629434884,7,115000,9883,49.7438523053846,34.4445304402515,33.5340742766667,29.491430298115,263,3817.36
19.944,431,30000,548000,124000,500,354.838709677419,31.3601172292308,42.3924508966289,41014,31.67853,-101.42438,10035,39.8387861435208,38.7273427838015,7,0,9698,33.6209619039583,34.4445304402515,33.5340742766667,29.491430298115,248,3499.95555079365
3.256,448,6064.86,360751.067984,1570282.39,632.09511621673,288.44664199026,32.3756994035714,42.3924508966289,41090,31.72554,-101.43571,9915,34.9255981384609,38.5072629434884,1,314770.26,9822,43.7581055452846,35.6547287498205,36.278828783601,31.1681147691904,3018,3321.09
