WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Top_Zone,Deepest_Zone
2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.65753,-101.72135,8550,160,40,SPBR_U --> WFMP,3,6,0,3500,187446,0,471330,190946,40.2,SPBR_U,WFMP
3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.71566,-101.71787,8550,40,40,CLFK --> WFMP,3,8,0,5000,201390,0,476570,206390,39.05038257,CLFK,WFMP
5,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38022,2004,31.95401,-101.74911,10500,20,80,CLFK --> WFMP,1,1,334900,0,0,0,553020,334900,51.856,CLFK,WFMP
7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37714,2003,31.70024,-101.52357,8900,80,80,CLFK --> WFMP,1,1,247212,0,0,0,265000,247212,22.156,CLFK,WFMP
10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.69134,-101.72307,8575,Over 160,40,SPBR_U --> WFMP,3,8,0,5000,196636,0,318180,201636,45.276,SPBR_U,WFMP
11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.66554,-101.71945,8600,160,40,SPBR_U --> WFMP,3,7,0,5000,207551,0,471280,212551,57.8056949,SPBR_U,WFMP
13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65428,-101.6588,8440,80,40,SPBR_U --> WFMP,3,8,0,5000,198685,0,470300,203685,29.45106486,SPBR_U,WFMP
14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.67106,-101.68159,8530,80,40,SPBR_L --> WFMP,2,5,0,3500,146370,0,335820,149870,24.156,SPBR_L,WFMP
16,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37852,2003,31.71988,-101.71456,8640,80,20,SPBR_U --> WFMP,3,7,0,5000,198529,0,471910,203529,37.97570526,SPBR_U,WFMP
17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65389,-101.62808,8335,80,40,SPBR_U --> WFMP,3,8,0,5000,198996,0,472820,203996,42.256,SPBR_U,WFMP
22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37851,2003,31.71259,-101.71632,8635,40,40,CLFK --> WFMP,3,6,0,5000,183309,0,471030,188309,55.65707668,CLFK,WFMP
23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.71139,-101.70645,8605,160,20,CLFK --> WFMP,3,8,0,5000,189252,0,471100,194252,40.04565233,CLFK,WFMP
25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.70902,-101.71715,8650,40,40,CLFK --> WFMP,3,8,0,5000,195787,0,471570,200787,54.56512178,CLFK,WFMP
26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38010,2004,31.7163,-101.52017,10550,160,20,SPBR_U --> WFMP,1,1,0,0,317478,0,384990,317478,38.49591628,SPBR_U,WFMP
31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38315,2004,31.65926,-101.69933,8560,160,40,SPBR_U --> WFMP,3,6,0,5000,183918,0,472190,188918,51.73461391,SPBR_U,WFMP
32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38383,2005,31.67149,-101.5849,8240,80,20,SPBR_U --> WFMP,4,8,0,10500,270297,0,488570,280797,28.60094527,SPBR_U,WFMP
33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38487,2005,31.77613,-101.59246,10255,80,80,CLFK --> WFMP,1,1,398454,0,0,0,521740,398454,39.1412402,CLFK,WFMP
35,F,APACHE CORPORATION,GLASSCOCK,38755,2006,31.65334,-101.53122,8064,40,40,CLFK --> WFMP,2,2,383200,0,0,0,100450,383200,42.264,CLFK,WFMP
36,F,APACHE CORPORATION,GLASSCOCK,38770,2006,31.70647,-101.5785,8243,160,40,CLFK --> WFMP,2,2,383200,0,0,0,100450,383200,12.48,CLFK,WFMP
37,F,APACHE CORPORATION,GLASSCOCK,38824,2006,31.71755,-101.56402,8255,80,40,SPBR_U --> WFMP,2,2,497600,0,0,0,155650,497600,18.55149194,SPBR_U,WFMP
38,F,APACHE CORPORATION,GLASSCOCK,38818,2006,31.70983,-101.54853,8223,80,40,SPBR_U --> WFMP,2,2,497600,0,0,0,155650,497600,39.468,SPBR_U,WFMP
40,F,APACHE CORPORATION,GLASSCOCK,38827,2006,31.70857,-101.57012,8205,160,80,CLFK --> WFMP,2,2,383600,0,0,0,101720,383600,12.164,CLFK,WFMP
