WellID,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Treated.Stage.Height,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot
2,5,FRAC,6825,7004,54558,GAL,X-LINKGEL,136330,LB,SAND,NA,24,HCL,20/40,179,304.793296089385,761.620111731844
3,3,FLSH,6832,7011,1000,GAL,A,0,undefined,undefined,NA,29,HCL,,179,5.58659217877095,0
5,1,FRAC,6821,9412,334900,GAL,FLUD,553020,LB,SAND,NA,NA,,,2591,129.255113855654,213.438826707835
7,1,FRAC,6155,8690,247212,GAL,W,265000,LB,SAND,NA,NA,,,2535,97.5195266272189,104.536489151874
10,8,ACID,6839,7027,500,GAL,A,0,undefined,undefined,NA,28,HCL,,188,2.65957446808511,0
11,7,FRAC,6816,6970,58044,GAL,X-LINKGEL,135080,LB,SAND,NA,NA,,20/40,154,376.909090909091,877.142857142857
13,8,ACID,6624,6789,500,GAL,A,0,undefined,undefined,NA,34,HCL,,165,3.03030303030303,0
14,5,ACID,7410,7734,1000,GAL,A,0,undefined,undefined,NA,NA,SCIN,,324,3.08641975308642,0
16,7,FRAC,6815,6992,53096,GAL,X-LINKGEL,135990,LB,SAND,NA,NA,,20/40,177,299.977401129944,768.305084745763
17,8,ACID,6504,6843,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,339,1.47492625368732,0
22,6,FRAC,6826,7201,50358,GAL,X-LINKGEL,124630,LB,SAND,NA,NA,,20/40,375,134.288,332.346666666667
23,8,ACID,6806,7178,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,372,1.34408602150538,0
25,8,ACID,6816,7184,500,GAL,A,0,undefined,undefined,NA,30,HCL,,368,1.35869565217391,0
26,1,FRAC,6155,8823,317478,GAL,X-LINKGEL,384990,LB,SAND,NA,NA,WGEL,,2668,118.994752623688,144.299100449775
31,6,FRAC,6748,6928,54138,GAL,X-LINKGEL,131493,LB,SAND,NA,30,,20/40,180,300.766666666667,730.516666666667
32,8,FRAC,6386,6520,53970,GAL,X-LINKGEL,133448,LB,SAND,NA,33,,20/40,134,402.761194029851,995.880597014925
33,1,FRAC,5802,9299,398454,GAL,FLUD,521740,LB,SAND,NA,NA,SFAC,20/40,3497,113.941664283672,149.196454103517
35,2,FRAC,7641,7938,131800,GAL,W,49250,LB,SAND,NA,NA,SFAC,20/40,297,443.771043771044,165.824915824916
36,2,FRAC,6311,7347,251400,GAL,W,51200,LB,SAND,NA,NA,,20/40,1036,242.664092664093,49.4208494208494
37,2,FRAC,7411,8052,252900,GAL,W,99750,LB,SAND,NA,NA,,20/40,641,394.539781591264,155.616224648986
38,2,FRAC,7356,7961,252900,GAL,W,99750,LB,SAND,NA,NA,SFAC,20/40,605,418.01652892562,164.876033057851
40,2,FRAC,6275,7328,251600,GAL,W,51350,LB,SAND,NA,NA,SFAC,20/20,1053,238.936372269706,48.7654320987654
42,2,FRAC,7453,8133,167700,GAL,W,58975,LB,SAND,NA,NA,,20/40,680,246.617647058824,86.7279411764706
44,12,FRAC,8913,9151,73425,GAL,GEL,18182,LB,SAND,NA,50,,20/40,238,308.508403361345,76.3949579831933
45,11,ACID,6923,9551,1000,GAL,A,0,undefined,undefined,NA,NA,,,2628,0.380517503805175,0
46,14,FRAC,9252,9538,78753,GAL,GEL,16847,LB,SAND,NA,35,,20/40,286,275.36013986014,58.9055944055944
48,9,FRAC,6857,7025,55157,GAL,X-LINKGEL,128358,LB,SAND,NA,35,,20/40,168,328.315476190476,764.035714285714
49,9,FRAC,8956,9041,66985,GAL,GEL,17637,LB,SAND,NA,51,,20/40,85,788.058823529412,207.494117647059
52,11,FRAC,6928,7096,51612,GAL,X-LINKGEL,133871,LB,SAND,NA,33,,20/40,168,307.214285714286,796.85119047619
53,8,FRAC,8424,8539,58616,GAL,X-LINKGEL,158996,LB,SAND,NA,40,SCIN,20/40,115,509.704347826087,1382.57391304348
54,6,FRAC,9556,9676,NA,,,18170,LB,SAND,NA,NA,,20/40,120,NA,151.416666666667
55,1,FRAC,6272,7306,241752,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40,1034,233.802707930368,59.4777562862669
58,4,FRAC,8400,8440,74004,GAL,FLUD,108332,LB,SAND,NA,NA,,,40,1850.1,2708.3
59,3,FRAC,8190,8230,98658,GAL,FLUD,135248,LB,SAND,NA,NA,,,40,2466.45,3381.2
60,12,FRAC,6876,7027,45604,GAL,X-LINKGEL,134736,LB,SAND,NA,35,,20/40,151,302.013245033113,892.291390728477
61,12,FRAC,6864,7032,51540,GAL,X-LINKGEL,146540,LB,SAND,NA,33,SCIN,20/40,168,306.785714285714,872.261904761905
63,2,FRAC,7659,7959,128000,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40,300,426.666666666667,205
64,10,FRAC,6869,7022,47343,GAL,X-LINKGEL,125270,LB,SAND,NA,34,SCIN,20/40,153,309.43137254902,818.75816993464
66,7,FRAC,7525,7713,140345,GAL,X-LINKGEL,84000,LB,SAND,NA,53,,20/40,188,746.515957446809,446.808510638298
67,1,FRAC,6862,9418,649698,GAL,FLUD,802700,LB,SAND,NA,NA,,,2556,254.18544600939,314.045383411581
68,4,FRAC,6878,9429,NA,,,50000,LB,SAND,NA,NA,,16/30,2551,NA,19.6001568012544
69,10,FRAC,7973,8104,52237,GAL,X-LINKGEL,155100,LB,SAND,4715,41.5,SCIN,20/40,131,398.75572519084,1183.96946564886
70,13,FRAC,8277,8348,146666,GAL,GEL,117244,LB,SAND,NA,NA,,20/40,71,2065.71830985915,1651.32394366197
72,2,FRAC,7689,8011,124698,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40,322,387.260869565217,190.993788819876
73,2,FRAC,8193,8413,123732,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40,220,562.418181818182,279.545454545455
74,7,FRAC,8142,8438,89690,GAL,GEL,141700,LB,SAND,NA,NA,XLNK,20/40,296,303.006756756757,478.716216216216
76,4,FRAC,6477,6775,189756,GAL,GEL,199000,LB,SAND,NA,NA,GLST,20 /40,298,636.765100671141,667.785234899329
79,8,FRAC,7943,8026,57767,GAL,X-LINKGEL,165641,LB,SAND,NA,40,SCIN,20/40,83,695.987951807229,1995.67469879518
82,4,FRAC,8288,8467,341928,GAL,FLUD,400000,LB,SAND,NA,NA,,20/40,179,1910.21229050279,2234.63687150838
86,12,FRAC,6911,7065,47393,GAL,X-LINKGEL,138461,LB,SAND,NA,NA,,20/40,154,307.746753246753,899.097402597403
87,10,FRAC,6990,7058,46429,GAL,X-LINKGEL,182011,LB,SAND,NA,35,SCIN,20/40,68,682.779411764706,2676.63235294118
89,2,FRAC,7672,8113,174688,GAL,W,214875,LB,SAND,NA,NA,SFAC,20/40,441,396.1179138322,487.244897959184
90,10,FRAC,6900,7048,72210,GAL,X-LINKGEL,183837,LB,SAND,NA,NA,,20/40,148,487.905405405405,1242.14189189189
91,1,FRAC,6606,10318,616476,GAL,FLUD,799820,LB,SAND,NA,NA,HCL,,3712,166.07650862069,215.46875
93,12,FRAC,6982,7125,52601,GAL,X-LINKGEL,140817,LB,SAND,NA,NA,,20/40,143,367.839160839161,984.734265734266
94,12,FRAC,6920,7073,48792,GAL,X-LINKGEL,140167,LB,SAND,NA,NA,,20/40,153,318.901960784314,916.124183006536
95,12,FRAC,6934,7086,44767,GAL,X-LINKGEL,130834,LB,SAND,NA,NA,,20/04,152,294.519736842105,860.75
96,12,FRAC,6931,7082,53706,GAL,X-LINKGEL,133719,LB,SAND,NA,NA,,20/40,151,355.668874172185,885.556291390728
97,14,FRAC,6427,6480,46609,GAL,X-LINKGEL,130467,LB,SAND,NA,NA,,20/40,53,879.415094339623,2461.64150943396
98,12,FRAC,6974,7131,53626,GAL,X-LINKGEL,133680,LB,SAND,NA,NA,,20/40,157,341.566878980892,851.464968152866
99,12,FRAC,6875,7027,48842,GAL,X-LINKGEL,142580,LB,SAND,NA,NA,,20/40,152,321.328947368421,938.026315789474
