WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Treated.Stage.Height,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Total.Height,Geology.Score
1,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37629,2003,31.65359,-101.70702,8530,160,40,3,3,6,0,5000,192318,0,471180,197318,NA,2,4,6,FRAC,6786,6968,57960,GAL,X-LINKGEL,136180,LB,SAND,NA,NA,,20/40,182,318.461538461538,748.241758241758,1583,5190.32
2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.65753,-101.72135,8550,160,40,3,3,6,0,3500,187446,0,471330,190946,40.2,2,4,5,FRAC,6825,7004,54558,GAL,X-LINKGEL,136330,LB,SAND,NA,24,HCL,20/40,179,304.793296089385,761.620111731844,1598,5239.72
3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.71566,-101.71787,8550,40,40,4,3,8,0,5000,201390,0,476570,206390,39.05038257,1,4,3,FLSH,6832,7011,1000,GAL,A,0,undefined,undefined,NA,29,HCL,,179,5.58659217877095,0,2466.73,6086.89
5,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38022,2004,31.95401,-101.74911,10500,20,80,4,1,1,334900,0,0,0,553020,334900,51.856,1,4,1,FRAC,6821,9412,334900,GAL,FLUD,553020,LB,SAND,NA,NA,,,2591,129.255113855654,213.438826707835,2632,6256
6,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.68394,-101.62791,8270,160,40,4,3,8,0,5000,215670,0,471710,220670,NA,1,4,3,FLSH,6517,6971,1000,GAL,A,0,undefined,undefined,NA,31,HCL,,454,2.20264317180617,0,2674,6438.48
7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37714,2003,31.70024,-101.52357,8900,80,80,4,1,1,247212,0,0,0,265000,247212,22.156,1,4,1,FRAC,6155,8690,247212,GAL,W,265000,LB,SAND,NA,NA,,,2535,97.5195266272189,104.536489151874,2492.41,6919.83
8,D,MERIT ENERGY COMPANY,GLASSCOCK,37897,2003,31.72289,-101.63983,8364,40,80,2,3,4,0,126000,0,0,495000,126000,NA,2,3,4,FRAC,8014,8178,NA,,X-LINKGEL,180000,LB,SAND,NA,NA,GELA,20/40,164,NA,1097.56097560976,591,4407
9,D,MERIT ENERGY COMPANY,GLASSCOCK,37897,2003,31.74579,-101.68359,8428,80,80,3,3,3,NA,NA,NA,NA,440000,NA,NA,2,4,3,FRAC,8121,8304,NA,,GEL,155000,LB,SAND,NA,NA,,20/40,183,NA,846.994535519126,1570,5074.92
10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.69134,-101.72307,8575,Over 160,40,3,3,8,0,5000,196636,0,318180,201636,45.276,2,4,8,ACID,6839,7027,500,GAL,A,0,undefined,undefined,NA,28,HCL,,188,2.65957446808511,0,1561,5210.76
11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.66554,-101.71945,8600,160,40,3,3,7,0,5000,207551,0,471280,212551,57.8056949,2,4,7,FRAC,6816,6970,58044,GAL,X-LINKGEL,135080,LB,SAND,NA,NA,,20/40,154,376.909090909091,877.142857142857,1546,5269.96
12,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.68119,-101.70177,8550,Over 160,40,3,3,7,0,4000,209651,0,472140,213651,NA,2,4,7,ACID,6758,6935,500,GAL,A,0,undefined,undefined,NA,28,HCL,,177,2.82485875706215,0,1572,4968.4
13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65428,-101.6588,8440,80,40,3,3,8,0,5000,198685,0,470300,203685,29.45106486,2,4,8,ACID,6624,6789,500,GAL,A,0,undefined,undefined,NA,34,HCL,,165,3.03030303030303,0,1580,5326.44
14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.67106,-101.68159,8530,80,40,2,2,5,0,3500,146370,0,335820,149870,24.156,3,4,5,ACID,7410,7734,1000,GAL,A,0,undefined,undefined,NA,NA,SCIN,,324,3.08641975308642,0,1022,4096.8
15,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.67357,-101.68681,8536,80,40,3,3,8,0,4200,196602,0,284604,200802,NA,2,4,9,REACID,6724,6886,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,162,3.08641975308642,0,1570,5257.32
16,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37852,2003,31.71988,-101.71456,8640,80,20,3,3,7,0,5000,198529,0,471910,203529,37.97570526,2,4,7,FRAC,6815,6992,53096,GAL,X-LINKGEL,135990,LB,SAND,NA,NA,,20/40,177,299.977401129944,768.305084745763,1574,5223.52
17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65389,-101.62808,8335,80,40,3,3,8,0,5000,198996,0,472820,203996,42.256,2,4,8,ACID,6504,6843,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,339,1.47492625368732,0,1585,5391.12
18,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37873,2003,31.85436,-101.7358,8605,40,80,3,3,8,0,5000,193225,0,470630,198225,NA,2,4,8,ACID,6833,6998,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,165,3.03030303030303,0,1545,5599.04
20,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37913,2003,31.70909,-101.51773,10463,160,160,3,1,1,365778,0,0,0,386500,365778,NA,2,4,1,FRAC,6150,9033,365778,GAL,W,386500,LB,SAND,NA,NA,,,2883,126.874089490114,134.061741241762,1599.95,5354.23
21,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37920,2003,31.69484,-101.52205,10000,80,160,7,1,1,358554,0,0,0,282060,358554,NA,2,8,1,FRAC,6151,9837,358554,GAL,FLUD,282060,LB,SAND,NA,NA,,,3686,97.2745523602821,76.5219750406945,3698.08,17002.66
22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37851,2003,31.71259,-101.71632,8635,40,40,4,3,6,0,5000,183309,0,471030,188309,55.65707668,1,4,6,FRAC,6826,7201,50358,GAL,X-LINKGEL,124630,LB,SAND,NA,NA,,20/40,375,134.288,332.346666666667,2617,6223.04
23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.71139,-101.70645,8605,160,20,4,3,8,0,5000,189252,0,471100,194252,40.04565233,1,4,8,ACID,6806,7178,500,GAL,A,0,undefined,undefined,NA,NA,HCL,,372,1.34408602150538,0,2583,6139.96
24,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38377,2005,31.71125,-101.72142,8639,80,Sub 20,4,3,6,0,4000,193594,0,471090,197594,NA,1,4,6,FRAC,6834,7018,56716,GAL,X-LINKGEL,135510,LB,SAND,NA,32,,20/40,184,308.239130434783,736.467391304348,2611,6207.72
25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.70902,-101.71715,8650,40,40,4,3,8,0,5000,195787,0,471570,200787,54.56512178,1,4,8,ACID,6816,7184,500,GAL,A,0,undefined,undefined,NA,30,HCL,,368,1.35869565217391,0,2607,6204.72
