WellID,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,5930.49,6804,7377,8402,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13
3,5929.27,6835,7373,8396,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15
5,5716,6778,7378,8348,8619,8981,9811,10222,10268.8,10275.69,10297,10622.81,10815.38,10866.76
7,5266,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28
10,5792,6829,7366,8390,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25
11,5809,6805,7355,8351,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48
13,5544,6604,7163,8184,8470.36,8917.12,9907.24,10241.4,10365.25,10455.57,10577.12,10771.5,10926.3,10975.57
14,5691,6686,7245,8267,8524.7,8980.57,9956.08,10289.24,10413.24,10511.71,10691.05,10836.67,10993.99,11046.85
16,5792,6806,7363,8380,8644.63,9024.64,10003.75,10319.78,10464.22,10553.93,10695.7,10931.85,11070.67,11140.54
17,5404,6507,7064,8092,8390.28,8813.81,9836.58,10157.58,10288.63,10383.75,10442.59,10677.06,10826.65,10877.01
22,5767,6824,7383,8384,8645.26,9069.25,10012.76,10329.78,10474.25,10560.65,10708.1,10946.22,11084.91,11153.86
23,5785,6801,7362,8368,8613.99,9041.67,9992.98,10310.65,10450.67,10544.29,10700.25,10905.7,11049.25,11115.65
25,5780,6827,7365,8387,8640.93,9080.87,10013.49,10331.66,10475.74,10560.28,10709.59,10949.6,11088.11,11156.23
26,5186.98,6101,6640,7741,8102,8355.75,9463,9812,9922,10032.39,10090,10242.92,10335,10368
31,5800,6729,7304,8335,8582.83,9037.3,10000.67,10344.57,10481.8,10553.94,10745.01,10912.94,11077.5,11127.92
32,5306,6370,6940,7979,8254.76,8625.25,9704.92,10008.04,10163.68,10269.29,10299.03,10520.28,10655.54,10703.38
33,5257,6368,6921,7972,8271,8763,9691,9999,10105.53,10216.97,10292.59,10427.58,10550.25,10598.53
35,5249,6183.43,6749.49,7816.16,8116.98,8445.07,9538.95,9924.18,10046.33,10127.76,10120.4,10386.26,10488.34,10517.45
