Completion.Year,Frac.Stages,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,EUR_o..Mstb.,Completion.Month,Depth.Top,Fluid.Amount,Propping.Agent.Amount,BEND..KHW.,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
2003,3,3500,187446,0,471330,40.2,3,6825,54558,136330,10605.62,5,27,1,1,3,3,7,2,3,11,3,11,6
2003,3,5000,201390,0,476570,39.05038257,3,6832,1000,0,10565.34,4,27,1,3,3,1,7,2,2,1,NA,11,NA
2004,1,0,0,0,553020,51.856,2,6821,334900,553020,10275.69,4,13,1,2,4,1,7,4,3,3,3,NA,NA
2003,1,0,0,0,265000,22.156,4,6155,247212,265000,10056.55,6,13,1,4,4,1,7,2,3,9,3,NA,NA
2003,3,5000,196636,0,318180,45.276,4,6839,500,0,10590.94,5,27,1,5,3,3,7,2,1,1,NA,11,NA
2003,3,5000,207551,0,471280,57.8056949,4,6816,58044,135080,10599.31,5,27,1,1,3,3,7,2,3,11,3,NA,6
2003,3,5000,198685,0,470300,29.45106486,7,6624,500,0,10455.57,5,27,1,4,3,3,7,3,1,1,NA,11,NA
2003,2,3500,146370,0,335820,24.156,7,7410,1000,0,10511.71,5,27,1,4,3,2,7,3,1,1,NA,16,NA
2003,3,5000,198529,0,471910,37.97570526,8,6815,53096,135990,10553.93,4,27,1,4,2,3,7,3,3,11,3,NA,6
2003,3,5000,198996,0,472820,42.256,7,6504,500,0,10383.75,6,27,1,4,3,3,7,3,1,1,NA,11,NA
2003,3,5000,183309,0,471030,55.65707668,8,6826,50358,124630,10560.65,4,27,1,3,3,1,7,3,3,11,3,NA,6
2003,3,5000,189252,0,471100,40.04565233,10,6806,500,0,10544.29,4,27,1,1,2,1,7,1,1,1,NA,11,NA
2003,3,5000,195787,0,471570,54.56512178,10,6816,500,0,10560.28,4,27,1,3,3,1,7,1,1,1,NA,11,NA
2004,1,0,317478,0,384990,38.49591628,1,6155,317478,384990,10032.39,6,13,1,1,2,3,7,4,3,11,3,18,NA
2004,3,5000,183918,0,472190,51.73461391,11,6748,54138,131493,10553.94,5,27,1,1,3,3,7,1,3,11,3,NA,6
2005,4,10500,270297,0,488570,28.60094527,2,6386,53970,133448,10269.29,6,27,1,4,2,3,7,4,3,11,3,NA,6
2005,1,0,0,0,521740,39.1412402,5,5802,398454,521740,10216.97,4,13,1,4,4,1,7,2,3,3,3,17,6
2006,2,0,0,0,100450,42.264,2,7641,131800,49250,10127.76,6,2,1,3,3,1,7,4,3,9,3,17,6
2006,2,0,0,0,100450,12.48,2,6311,251400,51200,10205.13,6,2,1,1,3,1,7,4,3,9,3,NA,6
2006,2,0,0,0,155650,18.55149194,4,7411,252900,99750,10160.27,6,2,1,4,3,3,7,2,3,9,3,NA,6
2006,2,0,0,0,155650,39.468,4,7356,252900,99750,10112.72,6,2,1,4,3,3,7,2,3,9,3,17,6
2006,2,0,0,0,101720,12.164,4,6275,251600,51350,10177.76,6,2,1,1,4,1,7,2,3,9,3,17,4
2006,2,0,0,0,100975,10.876,5,7453,167700,58975,10208.98,6,2,1,1,4,1,7,2,3,9,3,NA,6
2006,6,15750,424784,0,523700,30.20941884,10,8913,73425,18182,10545.02,4,2,1,4,3,3,7,1,3,6,3,NA,6
2006,5,14250,359962,0,507200,31.73182787,10,6923,1000,0,10532.01,3,2,1,3,3,3,7,1,1,1,NA,NA,NA
2006,7,17250,476075,0,553160,29.40701198,9,9252,78753,16847,10520.65,3,2,1,4,3,3,7,1,3,6,3,NA,6
2007,5,9750,316903,0,702360,19.20842649,2,6857,55157,128358,10562.89,4,2,1,3,3,1,7,4,3,11,3,NA,6
2006,5,9750,348769,0,505100,14.8,11,8956,66985,17637,10555.15,4,2,1,3,3,1,7,1,3,6,3,NA,6
2006,6,12750,433981,0,522940,23.14,12,6928,51612,133871,10611.98,4,2,1,4,3,3,7,4,3,11,3,NA,6
2007,4,10750,268997,0,207880,18.328,2,8424,58616,158996,10641.31,3,2,1,NA,NA,5,7,4,3,11,3,16,6
2007,5,3000,0,0,506200,13.684,2,9556,NA,18170,10620.47,3,2,1,4,3,1,7,4,3,NA,3,NA,6
2006,1,0,0,0,61500,55.3862174,12,6272,241752,61500,10211.43,6,2,1,4,3,1,7,4,3,9,3,17,6
2007,4,0,0,0,449160,31.07150317,2,8400,74004,108332,10412.86,6,27,1,1,2,3,7,4,3,3,3,NA,NA
2006,3,0,0,0,350761,46.04231632,8,8190,98658,135248,10369.86,6,27,1,1,3,3,7,3,3,3,3,NA,NA
2007,6,14250,412047,0,523253,13.624,1,6876,45604,134736,10570.53,4,2,1,4,3,3,7,4,3,11,3,NA,6
2007,6,14250,385924,0,535260,20.67705873,1,6864,51540,146540,10541.32,4,2,1,1,3,1,7,4,3,11,3,16,6
2006,2,0,0,0,123000,30.18,7,7659,128000,61500,10132.91,6,2,1,3,3,1,7,3,3,9,3,17,6
2007,5,11250,350595,0,505220,12.671,3,6869,47343,125270,10575.36,4,2,1,3,3,1,7,2,3,11,3,16,6
2007,3,12000,261394,0,267520,6.904,4,7525,140345,84000,10276.44,4,27,1,3,4,2,7,2,3,11,3,NA,6
2007,1,0,0,0,802700,45.27229149,5,6862,649698,802700,10290.82,4,13,1,3,4,3,1,2,3,3,3,NA,NA
2007,4,0,0,0,799108,44.02376458,5,6878,NA,50000,10287.07,4,13,1,4,4,3,1,2,3,NA,3,NA,1
2007,5,13750,315647,0,225120,25.31341516,4,7973,52237,155100,10264.08,4,27,1,3,4,5,7,2,3,11,3,16,6
2007,5,21000,747058,0,406120,42.268,8,8277,146666,117244,10145.22,4,27,1,1,5,5,7,3,3,6,3,NA,6
2007,2,0,0,0,123000,15.424,1,7689,124698,61500,10164.06,6,2,1,1,4,1,7,4,3,3,3,NA,6
2007,2,0,0,0,123000,34.88893209,2,8193,123732,61500,10506.85,4,2,1,5,3,1,7,4,3,3,3,NA,6
2007,4,9520,592788,0,603100,20.11541731,6,8142,89690,141700,10290.86,4,14,1,3,1,3,7,3,3,6,3,20,6
2007,4,0,633108,0,584800,20.072,7,6477,189756,199000,10283.24,4,14,1,4,1,3,7,3,3,6,3,10,5
2007,4,10750,245788,0,234101,12.64935437,6,7943,57767,165641,10248.51,6,27,1,1,3,5,7,3,3,11,3,16,6
2007,3,4000,0,0,610000,20.7,6,8288,341928,400000,10317.45,4,14,1,4,1,3,7,3,3,3,3,NA,6
2008,6,14250,403229,0,600723,17.63959573,3,6911,47393,138461,10552.91,4,2,1,4,3,1,7,2,3,11,3,NA,6
2007,5,8250,486631,0,591188,28.09232775,9,6990,46429,182011,10650.8,3,2,1,4,3,3,7,1,3,11,3,16,6
2008,2,0,0,0,466275,22.11157295,4,7672,174688,214875,10163.42,6,2,1,4,4,3,7,2,3,9,3,17,6
2007,5,16500,451507,0,561280,10.56,11,6900,72210,183837,10588.7,4,2,1,4,3,1,7,1,3,11,3,NA,6
2007,1,0,0,0,799820,40.092,11,6606,616476,799820,10346.13,4,13,1,1,5,1,1,1,3,3,3,11,NA
2008,6,14250,369411,0,474363,8.086191594,5,6982,52601,140817,10626.84,3,2,1,4,3,3,7,2,3,11,3,NA,6
2008,6,14250,384132,0,522900,8.808,4,6920,48792,140167,10588.53,4,2,1,4,3,3,7,2,3,11,3,NA,6
2008,6,17000,484369,0,539400,24.40562809,4,6934,44767,130834,10556.48,3,2,1,3,3,1,7,2,3,11,3,NA,3
2008,6,15100,468244,0,545820,42.25256061,5,6931,53706,133719,10542.75,3,2,1,3,3,1,7,2,3,11,3,NA,6
2008,7,19000,552036,0,552180,21.94799122,6,6427,46609,130467,10120.27,4,27,1,3,5,1,7,3,3,11,3,NA,6
2008,6,14250,403696,0,474820,9.735,3,6974,53626,133680,10649.17,3,2,1,NA,NA,3,7,2,3,11,3,NA,6
2008,6,14250,451957,0,638440,11.934,2,6875,48842,142580,10568.3,4,2,1,3,3,3,7,4,3,11,3,NA,6
2007,1,0,0,0,902460,49.36,11,6875,15848,902460,10282.61,4,13,1,4,4,3,7,1,3,9,3,NA,NA
2008,6,17250,357076,0,526821,25.04,1,6451,46629,136241,10282.93,6,27,1,1,3,3,7,4,3,11,3,NA,6
2008,3,5250,172916,0,470520,48.844,2,6914,47820,135304,10468.94,4,27,1,5,2,3,7,4,3,11,3,NA,6
2008,4,7500,221728,0,222173,25.376,3,6525,49643,137039,10334.67,4,27,1,3,4,1,7,2,3,11,3,NA,6
2008,6,13500,431728,0,514420,24.14,3,6523,53621,137543,10339.12,4,27,1,1,3,1,7,2,3,11,3,NA,1
2008,8,29000,508689,0,413900,66.2739258,3,10024,10000,NA,10162.78,4,4,1,4,5,1,6,2,3,9,NA,NA,NA
