EUR_o..Mstb.,Completion.Year,Frac.Stages,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Completion.Month,Depth.Top,Fluid.Amount,Propping.Agent.Amount,BEND..KHW.,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
40.2,2003,3,3500,187446,0,471330,3,6825,54558,136330,10605.62,5,27,1,1,3,3,7,2,3,11,3,11,6
39.05038257,2003,3,5000,201390,0,476570,3,6832,1000,0,10565.34,4,27,1,3,3,1,7,2,2,1,2.96731281761374,11,5.75813840884797
51.856,2004,1,0,0,0,553020,2,6821,334900,553020,10275.69,4,13,1,2,4,1,7,4,3,3,3,13.8905370735157,6.02137708838374
22.156,2003,1,0,0,0,265000,4,6155,247212,265000,10056.55,6,13,1,4,4,1,7,2,3,9,3,13.9951746288948,5.85459837525041
45.276,2003,3,5000,196636,0,318180,4,6839,500,0,10590.94,5,27,1,5,3,3,7,2,1,1,2.99999998246151,11,5.99999996187977
57.8056949,2003,3,5000,207551,0,471280,4,6816,58044,135080,10599.31,5,27,1,1,3,3,7,2,3,11,3,14.6518856704296,6
29.45106486,2003,3,5000,198685,0,470300,7,6624,500,0,10455.57,5,27,1,4,3,3,7,3,1,1,2.99999998303719,11,5.99999996265492
24.156,2003,2,3500,146370,0,335820,7,7410,1000,0,10511.71,5,27,1,4,3,2,7,3,1,1,2.98359378557413,16,5.94086292652461
37.97570526,2003,3,5000,198529,0,471910,8,6815,53096,135990,10553.93,4,27,1,4,2,3,7,3,3,11,3,14.2605615728841,6
42.256,2003,3,5000,198996,0,472820,7,6504,500,0,10383.75,6,27,1,4,3,3,7,3,1,1,2.9999999813603,11,5.99999996142114
55.65707668,2003,3,5000,183309,0,471030,8,6826,50358,124630,10560.65,4,27,1,3,3,1,7,3,3,11,3,13.3397420607063,6
40.04565233,2003,3,5000,189252,0,471100,10,6806,500,0,10544.29,4,27,1,1,2,1,7,1,1,1,2.99999997781118,11,5.7341669256735
54.56512178,2003,3,5000,195787,0,471570,10,6816,500,0,10560.28,4,27,1,3,3,1,7,1,1,1,2.99999998024124,11,5.99999995908032
38.49591628,2004,1,0,317478,0,384990,1,6155,317478,384990,10032.39,6,13,1,1,2,3,7,4,3,11,3,18,5.96079066974879
51.73461391,2004,3,5000,183918,0,472190,11,6748,54138,131493,10553.94,5,27,1,1,3,3,7,1,3,11,3,12.2601290700863,6
28.60094527,2005,4,10500,270297,0,488570,2,6386,53970,133448,10269.29,6,27,1,4,2,3,7,4,3,11,3,15.7604090429154,6
39.1412402,2005,1,0,0,0,521740,5,5802,398454,521740,10216.97,4,13,1,4,4,1,7,2,3,3,3,17,6
42.264,2006,2,0,0,0,100450,2,7641,131800,49250,10127.76,6,2,1,3,3,1,7,4,3,9,3,17,6
12.48,2006,2,0,0,0,100450,2,6311,251400,51200,10205.13,6,2,1,1,3,1,7,4,3,9,3,15.9671417324832,6
18.55149194,2006,2,0,0,0,155650,4,7411,252900,99750,10160.27,6,2,1,4,3,3,7,2,3,9,3,15.0113633834524,6
39.468,2006,2,0,0,0,155650,4,7356,252900,99750,10112.72,6,2,1,4,3,3,7,2,3,9,3,17,6
12.164,2006,2,0,0,0,101720,4,6275,251600,51350,10177.76,6,2,1,1,4,1,7,2,3,9,3,17,4
10.876,2006,2,0,0,0,100975,5,7453,167700,58975,10208.98,6,2,1,1,4,1,7,2,3,9,3,16.021572595041,6
30.20941884,2006,6,15750,424784,0,523700,10,8913,73425,18182,10545.02,4,2,1,4,3,3,7,1,3,6,3,14.3355349108567,6
31.73182787,2006,5,14250,359962,0,507200,10,6923,1000,0,10532.01,3,2,1,3,3,3,7,1,1,1,3.07390415990871,12.4497657134696,5.82708024860501
29.40701198,2006,7,17250,476075,0,553160,9,9252,78753,16847,10520.65,3,2,1,4,3,3,7,1,3,6,3,15.0366592033967,6
19.20842649,2007,5,9750,316903,0,702360,2,6857,55157,128358,10562.89,4,2,1,3,3,1,7,4,3,11,3,15.6456266104246,6
14.8,2006,5,9750,348769,0,505100,11,8956,66985,17637,10555.15,4,2,1,3,3,1,7,1,3,6,3,15.3823947621038,6
23.14,2006,6,12750,433981,0,522940,12,6928,51612,133871,10611.98,4,2,1,4,3,3,7,4,3,11,3,15.9487676666709,6
18.328,2007,4,10750,268997,0,207880,2,8424,58616,158996,10641.31,3,2,1,3.37664773635776,3.02508490923696,5,7,4,3,11,3,16,6
13.684,2007,5,3000,0,0,506200,2,9556,100092.806515198,18170,10620.47,3,2,1,4,3,1,7,4,3,7.56076654586812,3,15.8047884148168,6
