WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
2,5,27,1,03/18/2003 00:00:00,2003,31.65753,-101.72135,8550,2,4,7,3,18,3,6,0,3500,187446,0,471330,190946,40.2
3,4,27,1,03/18/2003 00:00:00,2003,31.71566,-101.71787,8550,4,4,7,1,5,3,8,0,5000,201390,0,476570,206390,39.05038257
5,4,13,1,02/05/2004 00:00:00,2004,31.95401,-101.74911,10500,3,5,7,1,5,1,1,334900,0,0,0,553020,334900,51.856
7,6,13,1,04/03/2003 00:00:00,2003,31.70024,-101.52357,8900,5,5,7,1,5,1,1,247212,0,0,0,265000,247212,22.156
10,5,27,1,04/22/2003 00:00:00,2003,31.69134,-101.72307,8575,6,4,7,3,18,3,8,0,5000,196636,0,318180,201636,45.276
11,5,27,1,04/22/2003 00:00:00,2003,31.66554,-101.71945,8600,2,4,7,3,18,3,7,0,5000,207551,0,471280,212551,57.8056949
13,5,27,1,07/08/2003 00:00:00,2003,31.65428,-101.6588,8440,5,4,7,3,18,3,8,0,5000,198685,0,470300,203685,29.45106486
14,5,27,1,07/08/2003 00:00:00,2003,31.67106,-101.68159,8530,5,4,7,2,11,2,5,0,3500,146370,0,335820,149870,24.156
16,4,27,1,08/19/2003 00:00:00,2003,31.71988,-101.71456,8640,5,3,7,3,18,3,7,0,5000,198529,0,471910,203529,37.97570526
17,6,27,1,07/08/2003 00:00:00,2003,31.65389,-101.62808,8335,5,4,7,3,18,3,8,0,5000,198996,0,472820,203996,42.256
22,4,27,1,08/18/2003 00:00:00,2003,31.71259,-101.71632,8635,4,4,7,1,5,3,6,0,5000,183309,0,471030,188309,55.65707668
23,4,27,1,09/29/2003 00:00:00,2003,31.71139,-101.70645,8605,2,3,7,1,5,3,8,0,5000,189252,0,471100,194252,40.04565233
25,4,27,1,09/29/2003 00:00:00,2003,31.70902,-101.71715,8650,4,4,7,1,5,3,8,0,5000,195787,0,471570,200787,54.56512178
26,6,13,1,01/24/2004 00:00:00,2004,31.7163,-101.52017,10550,2,3,7,3,18,1,1,0,0,317478,0,384990,317478,38.49591628
31,5,27,1,11/24/2004 00:00:00,2004,31.65926,-101.69933,8560,2,4,7,3,18,3,6,0,5000,183918,0,472190,188918,51.73461391
32,6,27,1,01/31/2005 00:00:00,2005,31.67149,-101.5849,8240,5,3,7,3,18,4,8,0,10500,270297,0,488570,280797,28.60094527
33,4,13,1,05/15/2005 00:00:00,2005,31.77613,-101.59246,10255,5,5,7,1,5,1,1,398454,0,0,0,521740,398454,39.1412402
35,6,2,1,02/07/2006 00:00:00,2006,31.65334,-101.53122,8064,4,4,7,1,5,2,2,383200,0,0,0,100450,383200,42.264
36,6,2,1,02/22/2006 00:00:00,2006,31.70647,-101.5785,8243,2,4,7,1,5,2,2,383200,0,0,0,100450,383200,12.48
37,6,2,1,04/17/2006 00:00:00,2006,31.71755,-101.56402,8255,5,4,7,3,18,2,2,497600,0,0,0,155650,497600,18.55149194
38,6,2,1,04/11/2006 00:00:00,2006,31.70983,-101.54853,8223,5,4,7,3,18,2,2,497600,0,0,0,155650,497600,39.468
40,6,2,1,04/20/2006 00:00:00,2006,31.70857,-101.57012,8205,2,5,7,1,5,2,2,383600,0,0,0,101720,383600,12.164
42,6,2,1,05/05/2006 00:00:00,2006,31.69948,-101.57606,8283,2,5,7,1,5,2,2,374500,0,0,0,100975,374500,10.876
44,4,2,1,10/19/2006 00:00:00,2006,31.75812,-101.75965,9843,5,4,7,3,18,6,12,0,15750,424784,0,523700,440534,30.20941884
45,3,2,1,10/08/2006 00:00:00,2006,31.76793,-101.7662,9902,4,4,7,3,18,5,11,0,14250,359962,0,507200,374212,31.73182787
46,3,2,1,09/04/2006 00:00:00,2006,31.77755,-101.77365,9882,5,4,7,3,18,7,14,0,17250,476075,0,553160,493325,29.40701198
48,4,2,1,02/18/2007 00:00:00,2007,31.74807,-101.72345,9775,4,4,7,1,5,5,9,0,9750,316903,0,702360,326653,19.20842649
49,4,2,1,11/28/2006 00:00:00,2006,31.74469,-101.72234,9806,4,4,7,1,5,5,9,0,9750,348769,0,505100,358519,14.8
52,4,2,1,12/14/2006 00:00:00,2006,31.72326,-101.74759,9843,5,4,7,3,18,6,11,0,12750,433981,0,522940,446731,23.14
53,3,2,1,02/15/2007 00:00:00,2007,31.72145,-101.75576,9844,1,1,7,5,26,4,8,0,10750,268997,0,207880,279747,18.328
54,3,2,1,02/20/2007 00:00:00,2007,31.71903,-101.75111,9853,5,4,7,1,5,5,6,0,3000,0,0,506200,3000,13.684
55,6,2,1,12/01/2006 00:00:00,2006,31.65737,-101.56293,8177,5,4,7,1,5,1,1,241752,0,0,0,61500,241752,55.3862174
58,6,27,1,02/26/2007 00:00:00,2007,31.70227,-101.6474,8851,2,3,7,3,18,4,4,273756,0,0,0,449160,273756,31.07150317
59,6,27,1,08/08/2006 00:00:00,2006,31.69705,-101.63656,8835,2,4,7,3,18,3,3,244692,0,0,0,350761,244692,46.04231632
60,4,2,1,01/24/2007 00:00:00,2007,31.73249,-101.74037,9792,5,4,7,3,18,6,12,0,14250,412047,0,523253,426297,13.624
61,4,2,1,01/12/2007 00:00:00,2007,31.74408,-101.73978,9850,2,4,7,1,5,6,12,0,14250,385924,0,535260,400174,20.67705873
63,6,2,1,07/10/2006 00:00:00,2006,31.65592,-101.53639,8103,4,4,7,1,5,2,2,353400,0,0,0,123000,353400,30.18
64,4,2,1,03/18/2007 00:00:00,2007,31.72402,-101.72892,9782,4,4,7,1,5,5,10,0,11250,350595,0,505220,361845,12.671
66,4,27,1,04/24/2007 00:00:00,2007,31.73191,-101.59911,9496,4,5,7,2,11,3,7,0,12000,261394,0,267520,273394,6.904
67,4,13,1,05/02/2007 00:00:00,2007,31.96402,-101.7528,10840,4,5,1,3,13,1,1,649698,0,0,0,802700,649698,45.27229149
68,4,13,1,05/01/2007 00:00:00,2007,31.95298,-101.75386,10510,5,5,1,3,13,4,4,546126,0,0,0,799108,546126,44.02376458
69,4,27,1,04/24/2007 00:00:00,2007,31.73285,-101.59494,9487,4,5,7,5,26,5,10,0,13750,315647,0,225120,329397,25.31341516
70,4,27,1,08/20/2007 00:00:00,2007,31.97911,-101.6871,9808,2,6,7,5,26,5,13,0,21000,747058,0,406120,768058,42.268
72,6,2,1,01/09/2007 00:00:00,2007,31.66779,-101.55234,8181,2,5,7,1,5,2,2,366450,0,0,0,123000,366450,15.424
73,4,2,1,02/06/2007 00:00:00,2007,31.77384,-101.71001,8492,6,4,7,1,5,2,2,365484,0,0,0,123000,365484,34.88893209
74,4,14,1,06/20/2007 00:00:00,2007,31.74921,-101.60913,8750,4,2,7,3,18,4,7,0,9520,592788,0,603100,602308,20.11541731
76,4,14,1,06/30/2007 00:00:00,2007,31.74169,-101.6067,8547,5,2,7,3,18,4,4,0,0,633108,0,584800,633108,20.072
79,6,27,1,05/30/2007 00:00:00,2007,31.72677,-101.58867,9510,2,4,7,5,26,4,8,0,10750,245788,0,234101,256538,12.64935437
82,4,14,1,06/22/2007 00:00:00,2007,31.75205,-101.6277,8750,5,2,7,3,18,3,4,536943,4000,0,0,610000,540943,20.7
86,4,2,1,03/27/2008 00:00:00,2008,31.76536,-101.76084,9894,5,4,7,1,5,6,12,0,14250,403229,0,600723,417479,17.63959573
87,3,2,1,08/30/2007 00:00:00,2007,31.71962,-101.76398,9840,5,4,7,3,18,5,10,0,8250,486631,0,591188,494881,28.09232775
89,6,2,1,04/20/2008 00:00:00,2008,31.65722,-101.54181,8252,5,5,7,3,18,2,2,258392,0,0,0,466275,258392,22.11157295
90,4,2,1,11/18/2007 00:00:00,2007,31.72807,-101.74337,9900,5,4,7,1,5,5,10,0,16500,451507,0,561280,468007,10.56
91,4,13,1,11/27/2007 00:00:00,2007,31.85385,-101.66055,10499,2,6,1,1,1,1,1,616476,0,0,0,799820,616476,40.092
93,3,2,1,04/30/2008 00:00:00,2008,31.72585,-101.75281,9886,5,4,7,3,18,6,12,0,14250,369411,0,474363,383661,8.086191594
94,4,2,1,04/07/2008 00:00:00,2008,31.71945,-101.73191,9878,5,4,7,3,18,6,12,0,14250,384132,0,522900,398382,8.808
95,3,2,1,04/22/2008 00:00:00,2008,31.76379,-101.76925,9880,4,4,7,1,5,6,12,0,17000,484369,0,539400,501369,24.40562809
96,3,2,1,05/12/2008 00:00:00,2008,31.76703,-101.77028,9876,4,4,7,1,5,6,12,0,15100,468244,0,545820,483344,42.25256061
97,4,27,1,06/25/2008 00:00:00,2008,31.97212,-101.68489,9983,4,6,7,1,5,7,14,0,19000,552036,0,552180,571036,21.94799122
98,3,2,1,03/15/2008 00:00:00,2008,31.71701,-101.75875,9890,1,1,7,3,18,6,12,0,14250,403696,0,474820,417946,9.735
99,4,2,1,02/16/2008 00:00:00,2008,31.7278,-101.72911,9878,4,4,7,3,18,6,12,0,14250,451957,0,638440,466207,11.934
102,4,13,1,11/01/2007 00:00:00,2007,31.96851,-101.76248,10660,5,5,7,3,18,1,1,15848,0,0,0,902460,15848,49.36
103,6,27,1,01/09/2008 00:00:00,2008,31.71347,-101.59782,9598,2,4,7,3,18,6,12,0,17250,357076,0,526821,374326,25.04
105,4,27,1,02/20/2008 00:00:00,2008,31.81536,-101.74153,8704,6,3,7,3,18,3,6,0,5250,172916,0,470520,178166,48.844
106,4,27,1,02/29/2008 00:00:00,2008,31.79785,-101.64239,10255,4,5,7,1,5,4,8,0,7500,221728,0,222173,229228,25.376
