Subarea,Operator,County,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
5,27,1,2003,31.65753,-101.72135,8550,2,4,7,3,3,6,471330,190946,40.2
4,27,1,2003,31.71566,-101.71787,8550,4,4,7,1,3,8,476570,206390,39.05038257
4,13,1,2004,31.95401,-101.74911,10500,3,5,7,1,1,1,553020,334900,51.856
6,13,1,2003,31.70024,-101.52357,8900,5,5,7,1,1,1,265000,247212,22.156
5,27,1,2003,31.69134,-101.72307,8575,6,4,7,3,3,8,318180,201636,45.276
5,27,1,2003,31.66554,-101.71945,8600,2,4,7,3,3,7,471280,212551,57.8056949
5,27,1,2003,31.65428,-101.6588,8440,5,4,7,3,3,8,470300,203685,29.45106486
5,27,1,2003,31.67106,-101.68159,8530,5,4,7,2,2,5,335820,149870,24.156
4,27,1,2003,31.71988,-101.71456,8640,5,3,7,3,3,7,471910,203529,37.97570526
6,27,1,2003,31.65389,-101.62808,8335,5,4,7,3,3,8,472820,203996,42.256
4,27,1,2003,31.71259,-101.71632,8635,4,4,7,1,3,6,471030,188309,55.65707668
4,27,1,2003,31.71139,-101.70645,8605,2,3,7,1,3,8,471100,194252,40.04565233
4,27,1,2003,31.70902,-101.71715,8650,4,4,7,1,3,8,471570,200787,54.56512178
6,13,1,2004,31.7163,-101.52017,10550,2,3,7,3,1,1,384990,317478,38.49591628
5,27,1,2004,31.65926,-101.69933,8560,2,4,7,3,3,6,472190,188918,51.73461391
6,27,1,2005,31.67149,-101.5849,8240,5,3,7,3,4,8,488570,280797,28.60094527
4,13,1,2005,31.77613,-101.59246,10255,5,5,7,1,1,1,521740,398454,39.1412402
6,2,1,2006,31.65334,-101.53122,8064,4,4,7,1,2,2,100450,383200,42.264
6,2,1,2006,31.70647,-101.5785,8243,2,4,7,1,2,2,100450,383200,12.48
6,2,1,2006,31.71755,-101.56402,8255,5,4,7,3,2,2,155650,497600,18.55149194
