WellID,Subarea,Operator Numeric,County Numeric,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
2,E,27,1,37698,2003,31.65753,-101.72135,8550,160,40,7,3,6,471330,190946,40.2
3,D,27,1,37698,2003,31.71566,-101.71787,8550,40,40,7,3,8,476570,206390,39.05038257
5,D,13,1,38022,2004,31.95401,-101.74911,10500,20,80,7,1,1,553020,334900,51.856
7,F,13,1,37714,2003,31.70024,-101.52357,8900,80,80,7,1,1,265000,247212,22.156
10,E,27,1,37733,2003,31.69134,-101.72307,8575,Over 160,40,7,3,8,318180,201636,45.276
11,E,27,1,37733,2003,31.66554,-101.71945,8600,160,40,7,3,7,471280,212551,57.8056949
13,E,27,1,37810,2003,31.65428,-101.6588,8440,80,40,7,3,8,470300,203685,29.45106486
14,E,27,1,37810,2003,31.67106,-101.68159,8530,80,40,7,2,5,335820,149870,24.156
16,D,27,1,37852,2003,31.71988,-101.71456,8640,80,20,7,3,7,471910,203529,37.97570526
17,F,27,1,37810,2003,31.65389,-101.62808,8335,80,40,7,3,8,472820,203996,42.256
22,D,27,1,37851,2003,31.71259,-101.71632,8635,40,40,7,3,6,471030,188309,55.65707668
23,D,27,1,37893,2003,31.71139,-101.70645,8605,160,20,7,3,8,471100,194252,40.04565233
25,D,27,1,37893,2003,31.70902,-101.71715,8650,40,40,7,3,8,471570,200787,54.56512178
26,F,13,1,38010,2004,31.7163,-101.52017,10550,160,20,7,1,1,384990,317478,38.49591628
31,E,27,1,38315,2004,31.65926,-101.69933,8560,160,40,7,3,6,472190,188918,51.73461391
32,F,27,1,38383,2005,31.67149,-101.5849,8240,80,20,7,4,8,488570,280797,28.60094527
33,D,13,1,38487,2005,31.77613,-101.59246,10255,80,80,7,1,1,521740,398454,39.1412402
35,F,2,1,38755,2006,31.65334,-101.53122,8064,40,40,7,2,2,100450,383200,42.264
36,F,2,1,38770,2006,31.70647,-101.5785,8243,160,40,7,2,2,100450,383200,12.48
37,F,2,1,38824,2006,31.71755,-101.56402,8255,80,40,7,2,2,155650,497600,18.55149194
38,F,2,1,38818,2006,31.70983,-101.54853,8223,80,40,7,2,2,155650,497600,39.468
40,F,2,1,38827,2006,31.70857,-101.57012,8205,160,80,7,2,2,101720,383600,12.164
42,F,2,1,38842,2006,31.69948,-101.57606,8283,160,80,7,2,2,100975,374500,10.876
44,D,2,1,39009,2006,31.75812,-101.75965,9843,80,40,7,6,12,523700,440534,30.20941884
45,C,2,1,38998,2006,31.76793,-101.7662,9902,40,40,7,5,11,507200,374212,31.73182787
46,C,2,1,38964,2006,31.77755,-101.77365,9882,80,40,7,7,14,553160,493325,29.40701198
48,D,2,1,39131,2007,31.74807,-101.72345,9775,40,40,7,5,9,702360,326653,19.20842649
49,D,2,1,39049,2006,31.74469,-101.72234,9806,40,40,7,5,9,505100,358519,14.8
52,D,2,1,39065,2006,31.72326,-101.74759,9843,80,40,7,6,11,522940,446731,23.14
53,C,2,1,39128,2007,31.72145,-101.75576,9844,,,7,4,8,207880,279747,18.328
54,C,2,1,39133,2007,31.71903,-101.75111,9853,80,40,7,5,6,506200,3000,13.684
55,F,2,1,39052,2006,31.65737,-101.56293,8177,80,40,7,1,1,61500,241752,55.3862174
58,F,27,1,39139,2007,31.70227,-101.6474,8851,160,20,7,4,4,449160,273756,31.07150317
59,F,27,1,38937,2006,31.69705,-101.63656,8835,160,40,7,3,3,350761,244692,46.04231632
60,D,2,1,39106,2007,31.73249,-101.74037,9792,80,40,7,6,12,523253,426297,13.624
61,D,2,1,39094,2007,31.74408,-101.73978,9850,160,40,7,6,12,535260,400174,20.67705873
63,F,2,1,38908,2006,31.65592,-101.53639,8103,40,40,7,2,2,123000,353400,30.18
64,D,2,1,39159,2007,31.72402,-101.72892,9782,40,40,7,5,10,505220,361845,12.671
66,D,27,1,39196,2007,31.73191,-101.59911,9496,40,80,7,3,7,267520,273394,6.904
67,D,13,1,39204,2007,31.96402,-101.7528,10840,40,80,1,1,1,802700,649698,45.27229149
68,D,13,1,39203,2007,31.95298,-101.75386,10510,80,80,1,4,4,799108,546126,44.02376458
69,D,27,1,39196,2007,31.73285,-101.59494,9487,40,80,7,5,10,225120,329397,25.31341516
70,D,27,1,39314,2007,31.97911,-101.6871,9808,160,Over 160,7,5,13,406120,768058,42.268
72,F,2,1,39091,2007,31.66779,-101.55234,8181,160,80,7,2,2,123000,366450,15.424
73,D,2,1,39119,2007,31.77384,-101.71001,8492,Over 160,40,7,2,2,123000,365484,34.88893209
74,D,14,1,39253,2007,31.74921,-101.60913,8750,40,160,7,4,7,603100,602308,20.11541731
76,D,14,1,39263,2007,31.74169,-101.6067,8547,80,160,7,4,4,584800,633108,20.072
79,F,27,1,39232,2007,31.72677,-101.58867,9510,160,40,7,4,8,234101,256538,12.64935437
82,D,14,1,39255,2007,31.75205,-101.6277,8750,80,160,7,3,4,610000,540943,20.7
86,D,2,1,39534,2008,31.76536,-101.76084,9894,80,40,7,6,12,600723,417479,17.63959573
87,C,2,1,39324,2007,31.71962,-101.76398,9840,80,40,7,5,10,591188,494881,28.09232775
89,F,2,1,39558,2008,31.65722,-101.54181,8252,80,80,7,2,2,466275,258392,22.11157295
90,D,2,1,39404,2007,31.72807,-101.74337,9900,80,40,7,5,10,561280,468007,10.56
91,D,13,1,39413,2007,31.85385,-101.66055,10499,160,Over 160,1,1,1,799820,616476,40.092
93,C,2,1,39568,2008,31.72585,-101.75281,9886,80,40,7,6,12,474363,383661,8.086191594
94,D,2,1,39545,2008,31.71945,-101.73191,9878,80,40,7,6,12,522900,398382,8.808
95,C,2,1,39560,2008,31.76379,-101.76925,9880,40,40,7,6,12,539400,501369,24.40562809
96,C,2,1,39580,2008,31.76703,-101.77028,9876,40,40,7,6,12,545820,483344,42.25256061
97,D,27,1,39624,2008,31.97212,-101.68489,9983,40,Over 160,7,7,14,552180,571036,21.94799122
98,C,2,1,39522,2008,31.71701,-101.75875,9890,,,7,6,12,474820,417946,9.735
99,D,2,1,39494,2008,31.7278,-101.72911,9878,40,40,7,6,12,638440,466207,11.934
102,D,13,1,39387,2007,31.96851,-101.76248,10660,80,80,7,1,1,902460,15848,49.36
103,F,27,1,39456,2008,31.71347,-101.59782,9598,160,40,7,6,12,526821,374326,25.04
105,D,27,1,39498,2008,31.81536,-101.74153,8704,Over 160,20,7,3,6,470520,178166,48.844
106,D,27,1,39507,2008,31.79785,-101.64239,10255,40,80,7,4,8,222173,229228,25.376
107,D,27,1,39519,2008,31.79072,-101.64008,10176,160,40,7,6,12,514420,445228,24.14
110,D,4,1,39514,2008,31.9583,-101.69382,10500,80,Over 160,6,8,16,413900,547689,66.2739258
112,F,27,1,39542,2008,31.68924,-101.62125,8362,160,40,5,4,8,606324,217068,32.076
113,F,27,1,39563,2008,31.68763,-101.61187,8338,80,40,5,4,8,580155,223988,22.828
114,F,27,1,39568,2008,31.69162,-101.60838,8295,80,40,5,4,8,579200,238412,15.55114674
115,C,2,1,39772,2008,31.72171,-101.77145,9882,80,40,7,7,14,602280,559628,11.188
116,C,2,1,39774,2008,31.71538,-101.76703,9876,80,40,7,7,14,648070,696928,25.4251233
118,C,2,1,39776,2008,31.71336,-101.77513,9886,80,40,7,7,14,621902,589219,16.768
120,D,13,1,39685,2008,31.85353,-101.65011,10511,40,40,1,1,2,1221471.973,1020768,45.376
121,D,27,1,39760,2008,31.98413,-101.73284,9976,80,Over 160,7,11,22,1328840,697906,17.38
122,D,21,1,39616,2008,31.74877,-101.68896,9535,80,80,7,4,8,402403,34146,35.256
124,D,27,1,39957,2009,31.99172,-101.66464,10030,160,Over 160,7,6,12,224088,574026,14.11666124
125,D,27,1,39826,2009,31.97545,-101.66831,9996,40,Over 160,7,6,12,449794,878409,55.764
129,F,4,1,39791,2008,31.70944,-101.48711,10200,160,Over 160,1,5,10,318295,486155,28.724
131,D,27,1,39777,2008,31.76686,-101.61135,10568,40,80,7,7,14,672071,767718,19.24918288
132,D,27,1,39777,2008,31.77082,-101.59428,10404,40,160,1,4,9,257881,473171,62.13588059
133,D,21,1,39743,2008,31.75941,-101.72288,9500,Over 160,40,7,NA,1,NA,NA,68.40805807
135,D,27,1,39728,2008,31.76303,-101.59157,10430,80,Over 160,7,6,12,695140,635437,27.776
136,D,27,1,39889,2009,31.97958,-101.652,10017,160,Over 160,7,8,16,744620,992712,55.332
138,D,27,1,39836,2009,31.77052,-101.6114,10488,40,40,6,5,13,516840,520460,16.288
142,D,27,1,39945,2009,31.79265,-101.63186,10161,160,80,7,6,12,554580,453297,39.94539112
143,D,27,1,39856,2009,31.76336,-101.62769,10091,160,40,7,6,12,563980,428505,55.758
145,D,27,1,39841,2009,31.76546,-101.61875,10108,80,80,7,6,12,562960,525297,30.744
146,D,27,1,40400,2010,31.98761,-101.681,10100,160,Over 160,7,7,14,1018714,1371338,63.824
147,D,27,1,39884,2009,31.79046,-101.60914,10034,Over 160,40,7,6,12,413620,497524,71.54
149,D,27,1,40622,2011,31.77154,-101.59111,10040,40,160,7,4,8,1335256,1401510,21.28
150,D,27,1,39945,2009,31.75976,-101.59489,10006,80,Over 160,7,7,14,666840,615580,18.724
152,D,27,1,39967,2009,31.89392,-101.7133,9582,80,160,7,6,12,485020,586154,36.49085403
153,D,5,1,40099,2009,31.92043,-101.7098,10300,160,80,6,1,2,2610608,827824,34.6978439
154,D,13,1,40134,2009,31.9457,-101.75215,10560,80,40,1,1,3,1373343.945,1040046,69.756
158,D,5,1,40117,2009,31.95289,-101.72332,10262,160,Over 160,1,1,2,314800,735054,26.556
159,D,27,1,40344,2010,31.96948,-101.71061,10095,160,160,7,8,16,696467,891294,25.224
160,F,14,1,40356,2010,31.69581,-101.44731,9905,40,Over 160,1,1,1,609217,768857,19.788
163,D,27,1,40455,2010,31.87677,-101.70701,10235,Over 160,Over 160,7,8,16,1124217,1427004,49.828
164,D,5,1,40275,2010,31.94541,-101.73029,10850,80,160,8,1,2,886704,12492,73.936
171,D,14,1,40407,2010,31.74359,-101.59842,10771,80,Over 160,4,7,13,931000,769700,47.484
172,F,13,1,40463,2010,31.67693,-101.59032,10230,80,80,6,1,2,1145088.027,1131564,28.372
173,D,14,1,40392,2010,31.75784,-101.60308,10901,80,Over 160,4,10,20,952000,973000,41.77
174,D,14,1,40429,2010,31.7382,-101.61949,10856,80,160,4,8,16,884000,778000,36.072
176,D,27,1,40473,2010,31.86384,-101.72647,10752,40,80,7,8,16,1152937,1095929,37.35049321
178,F,14,1,40428,2010,31.71895,-101.50778,9990,80,160,6,1,1,877792,1068228,61.80434803
182,D,13,1,40550,2011,31.844,-101.652,10510,80,160,1,1,2,5208000,1051596,53.388
183,D,2,1,40632,2011,31.82076,-101.53848,10863,80,160,8,7,7,522438,686750,35.412
