WellID,Operator Numeric,County Numeric,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
2,27,1,37698,2003,31.65753,-101.72135,8550,160,40,7,3,6,471330,190946,40.2
3,27,1,37698,2003,31.71566,-101.71787,8550,40,40,7,3,8,476570,206390,39.05038257
5,13,1,38022,2004,31.95401,-101.74911,10500,20,80,7,1,1,553020,334900,51.856
7,13,1,37714,2003,31.70024,-101.52357,8900,80,80,7,1,1,265000,247212,22.156
10,27,1,37733,2003,31.69134,-101.72307,8575,Over 160,40,7,3,8,318180,201636,45.276
11,27,1,37733,2003,31.66554,-101.71945,8600,160,40,7,3,7,471280,212551,57.8056949
13,27,1,37810,2003,31.65428,-101.6588,8440,80,40,7,3,8,470300,203685,29.45106486
14,27,1,37810,2003,31.67106,-101.68159,8530,80,40,7,2,5,335820,149870,24.156
16,27,1,37852,2003,31.71988,-101.71456,8640,80,20,7,3,7,471910,203529,37.97570526
17,27,1,37810,2003,31.65389,-101.62808,8335,80,40,7,3,8,472820,203996,42.256
22,27,1,37851,2003,31.71259,-101.71632,8635,40,40,7,3,6,471030,188309,55.65707668
23,27,1,37893,2003,31.71139,-101.70645,8605,160,20,7,3,8,471100,194252,40.04565233
25,27,1,37893,2003,31.70902,-101.71715,8650,40,40,7,3,8,471570,200787,54.56512178
26,13,1,38010,2004,31.7163,-101.52017,10550,160,20,7,1,1,384990,317478,38.49591628
31,27,1,38315,2004,31.65926,-101.69933,8560,160,40,7,3,6,472190,188918,51.73461391
32,27,1,38383,2005,31.67149,-101.5849,8240,80,20,7,4,8,488570,280797,28.60094527
33,13,1,38487,2005,31.77613,-101.59246,10255,80,80,7,1,1,521740,398454,39.1412402
35,2,1,38755,2006,31.65334,-101.53122,8064,40,40,7,2,2,100450,383200,42.264
36,2,1,38770,2006,31.70647,-101.5785,8243,160,40,7,2,2,100450,383200,12.48
37,2,1,38824,2006,31.71755,-101.56402,8255,80,40,7,2,2,155650,497600,18.55149194
38,2,1,38818,2006,31.70983,-101.54853,8223,80,40,7,2,2,155650,497600,39.468
40,2,1,38827,2006,31.70857,-101.57012,8205,160,80,7,2,2,101720,383600,12.164
42,2,1,38842,2006,31.69948,-101.57606,8283,160,80,7,2,2,100975,374500,10.876
44,2,1,39009,2006,31.75812,-101.75965,9843,80,40,7,6,12,523700,440534,30.20941884
45,2,1,38998,2006,31.76793,-101.7662,9902,40,40,7,5,11,507200,374212,31.73182787
46,2,1,38964,2006,31.77755,-101.77365,9882,80,40,7,7,14,553160,493325,29.40701198
48,2,1,39131,2007,31.74807,-101.72345,9775,40,40,7,5,9,702360,326653,19.20842649
49,2,1,39049,2006,31.74469,-101.72234,9806,40,40,7,5,9,505100,358519,14.8
52,2,1,39065,2006,31.72326,-101.74759,9843,80,40,7,6,11,522940,446731,23.14
53,2,1,39128,2007,31.72145,-101.75576,9844,NA,NA,7,4,8,207880,279747,18.328
54,2,1,39133,2007,31.71903,-101.75111,9853,80,40,7,5,6,506200,3000,13.684
55,2,1,39052,2006,31.65737,-101.56293,8177,80,40,7,1,1,61500,241752,55.3862174
58,27,1,39139,2007,31.70227,-101.6474,8851,160,20,7,4,4,449160,273756,31.07150317
59,27,1,38937,2006,31.69705,-101.63656,8835,160,40,7,3,3,350761,244692,46.04231632
60,2,1,39106,2007,31.73249,-101.74037,9792,80,40,7,6,12,523253,426297,13.624
