Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
D,27,1,2003,31.71139,-101.70645,8605,160,20,7,3,8,471100,194252,40.04565233
D,27,1,2011,31.89498,-101.72244,10451,160,40,1,4,8,1390858,1398056,49.112
A,10,2,2012,31.83429,-102.135,10977,80,40,1,1,1,888500,1409520,36.652
A,13,2,2005,31.737,-101.968,10520,40,80,7,4,8,181757,297175,11.199
B,27,4,2012,31.50111,-102.00708,10855,40,80,1,3,6,1344527,1268582,44.156
B,27,4,2007,31.49626,-102.04286,10767,40,160,7,5,10,317200,461702,50.01729324
C,27,2,2004,31.77164,-101.85117,9060,40,40,7,3,6,475120,205238,46.312
F,2,3,2008,31.61568,-101.5237,8534,40,80,7,3,3,381000,374000,21.292
B,13,2,2006,31.6541,-101.9841,10718,40,80,7,1,1,258000,328986,35.08
B,27,2,2006,31.72489,-101.93896,10532,40,40,7,6,11,403220,477059,26.9138779
C,27,2,2011,31.94914,-101.83684,10581,40,40,1,4,8,1475648,1371521,18.89
F,14,1,2012,31.67853,-101.42438,10035,NA,NA,NA,7,14,845000,578000,19.944
D,14,1,2011,31.73728,-101.59195,10593,40,160,1,7,13,685000,608000,30.492
B,10,4,2006,31.51054,-102.09198,10671,40,Over 160,7,1,2,760500,956500,96.516
C,27,2,2011,31.85775,-101.9676,10843,40,80,6,4,8,1223434,1049823,48.756
B,2,4,2012,31.56407,-101.91437,10899,40,80,6,9,9,922100,1017500,11.184
F,13,3,2010,31.57343,-101.51137,8524,80,40,7,1,2,901360,707784,42.036
A,2,2,2007,31.69855,-102.1625,10083,80,40,7,6,12,528357,409977,1.224
F,18,3,2010,31.55632,-101.42962,8520,80,40,7,8,8,NA,NA,38.75937114
B,27,4,2012,31.50212,-102.03923,10833,20,160,7,3,6,1533446,1396263,69.26
A,13,2,2003,31.76507,-102.01066,11000,40,160,7,1,1,401920,421008,68.90641599
D,2,1,2011,31.8308,-101.54607,10885,NA,NA,NA,7,7,520438,694000,15.464
E,27,1,2003,31.65753,-101.72135,8550,160,40,7,3,6,471330,190946,40.2
E,27,3,2004,31.53355,-101.62035,8205,80,40,7,3,6,473390,200262,28.67926976
A,3,2,2008,31.77224,-102.06153,10187,80,40,7,8,16,538500,22400,45.716
A,2,2,2007,31.69502,-102.19268,10082,80,40,7,7,14,539746,475458,31.008
B,13,2,2004,31.6877,-102.0657,10520,80,80,7,4,8,174296,282080,43.176
B,27,4,2012,31.50978,-102.02101,10907,40,160,6,2,4,1113757,1244056,87.508
B,5,2,2011,31.6993,-101.94911,11731,80,40,1,15,15,613084,804672,0.292
B,2,4,2010,31.55987,-102.01531,10800,40,40,7,3,3,NA,NA,66.76
B,2,4,2010,31.50843,-102.03808,10345,40,160,7,3,3,459125,554400,64.33160572
