Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Total.Log,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Propant.Total.Log,Fluid...Total..lbs.,Fluid.Total.Log,EUR_o..Mstb.
D,27,1,2003,31.71139,-101.70645,8605,9.0600987086,160,20,7,3,8,471100,13.0628256647,194252,12.1769115642,40.04565233
D,27,1,2011,31.89498,-101.72244,10451,9.2544529466,160,40,1,4,8,1390858,14.1454313809,1398056,14.1505932582,49.112
A,10,2,2012,31.83429,-102.135,10977,9.3035574537,80,40,1,1,1,888500,13.6972899266,1409520,14.1587597789,36.652
A,13,2,2005,31.737,-101.968,10520,9.2610334863,40,80,7,4,8,181757,12.1104259091,297175,12.6020764698,11.199
B,27,4,2012,31.50111,-102.00708,10855,9.2923810823,40,80,1,3,6,1344527,14.1115528363,1268582,14.0534102992,44.156
B,27,4,2007,31.49626,-102.04286,10767,9.2842411798,40,160,7,5,10,317200,12.6672877687,461702,13.0426749403,50.01729324
C,27,2,2004,31.77164,-101.85117,9060,9.111624399,40,40,7,3,6,475120,13.0713226827,205238,12.2319255603,46.312
F,2,3,2008,31.61568,-101.5237,8534,9.0518134637,40,80,7,3,3,381000,12.8505546541,374000,12.8320110764,21.292
B,13,2,2006,31.6541,-101.9841,10718,9.2796798501,40,80,7,1,1,258000,12.4607148639,328986,12.7037704757,35.08
B,27,2,2006,31.72489,-101.93896,10532,9.2621735206,40,40,7,6,11,403220,12.9072375977,477059,13.0753954519,26.9138779
C,27,2,2011,31.94914,-101.83684,10581,9.2668152189,40,40,1,4,8,1475648,14.2046077733,1371521,14.1314309009,18.89
F,14,1,2012,31.67853,-101.42438,10035,9.2138342612,,,#VALUE!,7,14,845000,13.6470919063,578000,13.2673291477,19.944
D,14,1,2011,31.73728,-101.59195,10593,9.2679486846,40,160,1,7,13,685000,13.4371741172,608000,13.3179301609,30.492
B,10,4,2006,31.51054,-102.09198,10671,9.2752850606,40,Over 160,7,1,2,760500,13.5417313907,956500,13.7710360679,96.516
C,27,2,2011,31.85775,-101.9676,10843,9.2912749895,40,80,6,4,8,1223434,14.0171722168,1049823,13.8641321365,48.756
B,2,4,2012,31.56407,-101.91437,10899,9.2964263209,40,80,6,9,9,922100,13.7344089565,1017500,13.8328591963,11.184
F,13,3,2010,31.57343,-101.51137,8524,9.0506409932,80,40,7,1,2,901360,13.7116600128,707784,13.4698942414,42.036
A,2,2,2007,31.69855,-102.1625,10083,9.2186061164,80,40,7,6,12,528357,13.1775274706,409977,12.9238563395,1.224
F,18,3,2010,31.55632,-101.42962,8520,9.0501716198,80,40,7,8,8,NA,NA,NA,NA,38.75937114
B,27,4,2012,31.50212,-102.03923,10833,9.2903523099,20,160,7,3,6,1533446,14.2430280484,1396263,14.14930994,69.26
