WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,EUR_o..Mstb.
499,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-01-04,2003,31.7189,-102.0136,10500,160,40,WFMP,WFMP,WFMP --> WFMP,3,5,256614,2000,0,0,96126,258614,6724,7644,8211,9205,9493,9913,10430,10799.14,10945.5,11053.08,11237.99,11873.13,12032.82,12065.92,5,ACID,10214,10259,1000,GAL,A,0,undefined,undefined,NA,NA,,,53.48724843
491,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-01-06,2003,31.7568,-102.1723,10900,160,80,STRAWN,SPBR_U,SPBR_U --> STRAWN,1,1,313992,0,0,0,3112480,313992,7205,8031.5,8589.75,9438.79,9847.8,10117,10375.47,10783.22,10906.37,11188.07,10917.29,11417.07,11647.65,11774.04,1,FRAC,8044,10588,313992,GAL,W,2780000,LB,SAND,NA,NA,,,32.696
497,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-01-07,2003,31.80806,-102.06962,10950,80,80,ATOKA,SPBR_U,SPBR_U --> ATOKA,1,1,297696,0,0,0,371330,297696,6861.43,7739,8291,9227,9574,9887,10311,10571,10786,10860.07,11160.92,11621.5,11827.76,11943.77,1,FRAC,7742,9993,297696,GAL,W,371330,LB,SAND,NA,NA,,,41.692
484,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-08,2003,31.75071,-101.84015,8970,80,20,WFMP,SPBR_U,SPBR_U --> WFMP,4,8,0,3200,191981,0,472170,195181,6312,7199.88,7768.5,8777.42,9100.21,9247.17,10292.01,10546.05,10685.75,10738.31,10920.53,11278.82,11497.17,11577.79,8,ACID,7205,7407,200,GAL,A,0,undefined,undefined,NA,NA,,,28.54388452
2258,C,PIONEER NATURAL RESOURCES USA INC,UPTON,2003-01-08,2003,31.60823,-101.80401,8805,Over 160,40,WFMP,CLFK,CLFK --> WFMP,3,6,0,3500,176500,0,473330,180000,6179,7026.84,7679.33,8615.69,8920.46,9336,10303.82,10603.87,10743.76,10769.66,10985.58,11425.36,11509.25,11579.09,7,FRAC,7026,7232,46000,GAL,X-LINKGEL,138330,LB,SAND,NA,32,HCL,,28.968
2259,C,PIONEER NATURAL RESOURCES USA INC,UPTON,2003-01-08,2003,31.58556,-101.78767,8750,160,40,WFMP,CLFK,CLFK --> WFMP,3,6,0,5000,201474,0,471200,206474,6062,6966,7556,8570,8879.25,9249.45,10259.28,10555.79,10711.31,10690.66,10918.75,11352.84,11453.08,11516.58,6,FRAC,6972,7164,57414,GAL,X-LINKGEL,136200,LB,SAND,NA,NA,,20/40,18.522
500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-01-11,2003,31.80528,-102.09972,10370,80,160,WFMP,SPBR_L,SPBR_L --> WFMP,1,2,0,5000,126000,0,214000,131000,7002,7852,8415,9312,9682,9945,10293,10522.2,10659.06,10860.02,11124.99,11592.81,11816.52,11917.81,2,FRAC,8538,9943,126000,GAL,X-LINKGEL,214000,LB,SAND,NA,NA,,20/40 & 16/3,59.14113065
504,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-12,2003,31.78,-101.9609,10500,40,80,WFMP,SPBR_L,SPBR_L --> WFMP,4,4,341483,0,0,0,199940,341483,6600,7465,8031.12,9051,9406.5,9829.77,10427,10678.1,10817.48,10887.09,11041.42,11499.76,11740.23,11818.06,4,FRAC,10256,10276,82568,GAL,W,18250,LB,SAND,NA,NA,GELA,,42.39503173
1527,E,APACHE CORPORATION,REAGAN,2003-01-13,2003,31.48016,-101.63969,8218,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,260484,0,482040,260484,5410.86,6360.53,6920.83,7933.58,8233.29,8582.24,9772.33,10122.86,10221.64,10361.91,10433.73,10560.46,10704.02,10745.02,1,FRAC,6378,8074,260484,GAL,GEL,482040,LB,SAND,NA,NA,,20/40,48.13532361
483,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-14,2003,31.75353,-101.83149,8907,80,40,WFMP,CLFK,CLFK --> WFMP,4,7,0,4500,193506,0,472470,198006,6226,7150,7692,8691,9016.84,9191.63,10234.64,10497.99,10635.82,10681.48,10857.52,11240.2,11432.88,11519.03,2,FRAC,7136,7337,52722,GAL,X-LINKGEL,137470,LB,SAND,NA,NA,,20/40,40.9539479
1529,E,APACHE CORPORATION,REAGAN,2003-01-15,2003,31.49233,-101.65237,8225,40,40,SPBR_L,SPBR_U,SPBR_U --> SPBR_L,1,1,0,0,140135,0,284000,140135,5500.7,6456.6,7019.61,8021.86,8289.77,8628.83,9802.35,10176.03,10259.45,10371.11,10486.88,10610.56,10749.67,10791.97,1,FRAC,6467,7450,140135,GAL,GEL,284000,LB,SAND,NA,NA,,20/40,33.27003426
492,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-01-16,2003,31.74844,-102.01795,10300,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,284844,0,0,0,447660,284844,6777,7643,8208,9169,9509,9942,10505.47,10771.16,10876.87,11034.26,11299.6,11784.59,11978.87,12008.68,1,FRAC,7666,9964,284844,GAL,W,447660,LB,SAND,NA,NA,,,59.86412198
501,A,HENRY PETROLEUM LIMITED PARTNERSHIP,MIDLAND,2003-01-18,2003,31.8037,-102.0052,10500,40,40,WFMP,SPBR_L,SPBR_L --> WFMP,4,4,342682,0,0,0,194524,342682,6705,7592,8158,9158,9501.17,9928.29,10361,10669.19,10816.81,10921.77,11163.95,11598,11813.47,11920.11,4,FRAC,8396,8482,45806,GAL,W,118243,LB,SAND,NA,NA,GELA,,29.684
1550,E,APACHE CORPORATION,REAGAN,2003-01-23,2003,31.47219,-101.62448,8243,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,197292,0,291310,197292,5326.17,6284.68,6849.53,7853.96,8170.32,8530.77,9733.05,10067.38,10170.74,NA,10370.2,10490.96,10638.2,10678.29,1,FRAC,6308,7984,197292,GAL,GEL,291310,LB,SAND,NA,NA,,20/40,43.108
1541,E,APACHE CORPORATION,REAGAN,2003-01-24,2003,31.49026,-101.64712,8225,20,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,192696,0,290230,192696,5476.13,6421.2,6979.68,7992.66,8269.95,8612.07,9789.59,10157.57,10244.58,10367.77,10465.85,10589.02,10729.32,10772.14,1,FRAC,6440,8127,192696,GAL,GEL,290230,LB,SAND,NA,NA,,20/40,21.03030391
486,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-28,2003,31.71408,-101.80575,8840,160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,8,0,5000,210336,0,471920,215336,6136.7,7050,7626.76,8627,8914.83,9360.05,10187.15,10459.16,10619.83,10653.02,10795.44,11193.73,11351.84,11443.8,3,FRAC,7055,7262,59262,GAL,X-LINKGEL,136920,LB,SAND,NA,NA,,20/40,44.628
487,E,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-28,2003,31.68201,-101.78707,8800,80,20,WFMP,SPBR_U,SPBR_U --> WFMP,3,7,0,2500,195384,2500,312520,200384,6081,6994,7560,8554,8876.87,9333.54,10188.34,10497.28,10650.95,10710.6,10874.05,11208.43,11369.54,11449.17,7,FRAC,7011,7196,67578,GAL,X-LINKGEL,136030,LB,SAND,NA,NA,,20/40,72.61706848
488,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-28,2003,31.68504,-101.81851,8840,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,8,0,5000,208110,0,471640,213110,6176,7069,7656,8647,8952.94,9432.98,10224.78,10531.79,10681.35,10738.41,10891.64,11262.57,11460.22,11544.11,3,FRAC,7082,7258,53508,GAL,X-LINKGEL,136640,LB,SAND,NA,NA,,,34.404
1536,E,APACHE CORPORATION,REAGAN,2003-01-28,2003,31.47097,-101.64569,8225,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,185517,0,292190,185517,5411.67,6381.81,6945.25,7953.91,8252.27,8593.13,9796.27,10142.96,10244.73,10369.36,10457.6,10601.47,10744.14,10782.71,1,FRAC,6403,8078,185517,GAL,GEL,292190,LB,SAND,NA,NA,,20/40,27.41962381
1544,E,APACHE CORPORATION,REAGAN,2003-02-03,2003,31.45887,-101.63308,8225,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,185136,0,290180,185136,5308.83,6304.7,6869.44,7868.37,8188.61,8536.15,9760.04,10087.39,10193.3,NA,10395.53,10539.28,10685.13,10718.92,1,FRAC,6328,7992,185136,GAL,GEL,290180,LB,SAND,NA,NA,,20/40,40.292
471,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-02-10,2003,31.71,-102.0196,10500,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,4,8,279818,4000,0,0,210542,283818,6763,7665,8222,9199,9546,9944,10476.39,10805.42,10962.78,11061.13,11234.22,11906.41,12058.95,12099.92,8,FRAC,10195,10369,75800,GAL,W,17295,LB,SAND,NA,NA,GELA,,34.95435561
481,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-02-10,2003,31.72589,-101.85365,9000,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,7,0,4000,188330,0,313940,192330,6343,7255,7774,8808,9131.95,9504.28,10329.51,10571.89,10729.94,10793.29,10969.95,11346.22,11565.4,11628.98,3,FRAC,7248,7435,52122,GAL,X-LINKGEL,118440,LB,SAND,NA,NA,,20/40,23.53290545
