WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Injection.Rate,Additive,Mesh.Size,EUR_o..Mstb.
499,3,14,3,2003-01-04,2003,31.7189,-102.0136,10500,2,4,8,6,27,3,5,256614,2000,0,0,96126,258614,6724,7644,8211,9205,9493,9913,10430,10799.14,10945.5,11053.08,11237.99,11873.13,12032.82,12065.92,5,2,10214,10259,1000,2,2,0,3,7,NA,1,1,53.48724843
491,2,14,3,2003-01-06,2003,31.7568,-102.1723,10900,2,5,7,4,18,1,1,313992,0,0,0,3112480,313992,7205,8031.5,8589.75,9438.79,9847.8,10117,10375.47,10783.22,10906.37,11188.07,10917.29,11417.07,11647.65,11774.04,1,4,8044,10588,313992,2,10,2780000,2,4,NA,1,1,32.696
497,2,14,3,2003-01-07,2003,31.80806,-102.06962,10950,5,5,2,4,14,1,1,297696,0,0,0,371330,297696,6861.43,7739,8291,9227,9574,9887,10311,10571,10786,10860.07,11160.92,11621.5,11827.76,11943.77,1,4,7742,9993,297696,2,10,371330,2,4,NA,1,1,41.692
484,4,28,3,2003-01-08,2003,31.75071,-101.84015,8970,5,3,8,4,19,4,8,0,3200,191981,0,472170,195181,6312,7199.88,7768.5,8777.42,9100.21,9247.17,10292.01,10546.05,10685.75,10738.31,10920.53,11278.82,11497.17,11577.79,8,2,7205,7407,200,2,2,0,3,7,NA,1,1,28.54388452
2258,4,28,5,2003-01-08,2003,31.60823,-101.80401,8805,6,4,8,2,6,3,6,0,3500,176500,0,473330,180000,6179,7026.84,7679.33,8615.69,8920.46,9336,10303.82,10603.87,10743.76,10769.66,10985.58,11425.36,11509.25,11579.09,7,4,7026,7232,46000,2,12,138330,2,4,32,12,1,28.968
2259,4,28,5,2003-01-08,2003,31.58556,-101.78767,8750,2,4,8,2,6,3,6,0,5000,201474,0,471200,206474,6062,6966,7556,8570,8879.25,9249.45,10259.28,10555.79,10711.31,10690.66,10918.75,11352.84,11453.08,11516.58,6,4,6972,7164,57414,2,12,136200,2,4,NA,1,7,18.522
500,2,14,3,2003-01-11,2003,31.80528,-102.09972,10370,5,2,8,3,12,1,2,0,5000,126000,0,214000,131000,7002,7852,8415,9312,9682,9945,10293,10522.2,10659.06,10860.02,11124.99,11592.81,11816.52,11917.81,2,4,8538,9943,126000,2,12,214000,2,4,NA,1,8,59.14113065
504,2,28,3,2003-01-12,2003,31.78,-101.9609,10500,4,5,8,3,12,4,4,341483,0,0,0,199940,341483,6600,7465,8031.12,9051,9406.5,9829.77,10427,10678.1,10817.48,10887.09,11041.42,11499.76,11740.23,11818.06,4,4,10256,10276,82568,2,10,18250,2,4,NA,10,1,42.39503173
1527,6,3,4,2003-01-13,2003,31.48016,-101.63969,8218,5,4,8,4,19,1,1,0,0,260484,0,482040,260484,5410.86,6360.53,6920.83,7933.58,8233.29,8582.24,9772.33,10122.86,10221.64,10361.91,10433.73,10560.46,10704.02,10745.02,1,4,6378,8074,260484,2,7,482040,2,4,NA,1,7,48.13532361
483,4,28,3,2003-01-14,2003,31.75353,-101.83149,8907,5,4,8,2,6,4,7,0,4500,193506,0,472470,198006,6226,7150,7692,8691,9016.84,9191.63,10234.64,10497.99,10635.82,10681.48,10857.52,11240.2,11432.88,11519.03,2,4,7136,7337,52722,2,12,137470,2,4,NA,1,7,40.9539479
1529,6,3,4,2003-01-15,2003,31.49233,-101.65237,8225,4,4,6,4,17,1,1,0,0,140135,0,284000,140135,5500.7,6456.6,7019.61,8021.86,8289.77,8628.83,9802.35,10176.03,10259.45,10371.11,10486.88,10610.56,10749.67,10791.97,1,4,6467,7450,140135,2,7,284000,2,4,NA,1,7,33.27003426
