Subarea,Operator,County,Completion.Year,Depth.Total.Driller..ft.,Deepest_Zone,Top_Zone,Frac.Stages,Number,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,EUR_o..Mstb.
3,14,3,2003,10500,8,6,3,5,10214,2,7,1,1,53.487248
2,14,3,2003,10900,7,4,1,1,8044,10,4,1,1,32.696
2,14,3,2003,10950,2,4,1,1,7742,10,4,1,1,41.692
4,28,3,2003,8970,8,4,4,8,7205,2,7,1,1,28.543885
4,28,5,2003,8805,8,2,3,7,7026,12,4,12,1,28.968
4,28,5,2003,8750,8,2,3,6,6972,12,4,1,7,18.522
2,14,3,2003,10370,8,3,1,2,8538,12,4,1,8,59.141131
2,28,3,2003,10500,8,3,4,4,10256,10,4,10,1,42.395032
6,3,4,2003,8218,8,4,1,1,6378,7,4,1,7,48.135324
4,28,3,2003,8907,8,2,4,2,7136,12,4,1,7,40.953948
6,3,4,2003,8225,6,4,1,1,6467,7,4,1,7,33.270034
2,14,3,2003,10300,8,4,1,1,7666,10,4,1,1,59.864122
2,16,3,2003,10500,8,3,4,4,8396,10,4,10,1,29.684
6,3,4,2003,8243,8,4,1,1,6308,7,4,1,7,43.108
6,3,4,2003,8225,8,4,1,1,6440,7,4,1,7,21.030304
4,28,3,2003,8840,8,4,3,3,7055,12,4,1,7,44.628
6,28,3,2003,8800,8,4,3,7,7011,12,4,1,7,72.617068
4,28,3,2003,8840,8,4,3,3,7082,12,4,1,1,34.404
6,3,4,2003,8225,8,4,1,1,6403,7,4,1,7,27.419624
6,3,4,2003,8225,8,4,1,1,6328,7,4,1,7,40.292
3,14,3,2003,10500,8,4,4,8,10195,10,4,10,1,34.954356
4,28,3,2003,9000,8,4,3,3,7248,12,4,1,7,23.532905
4,28,3,2003,8940,8,4,3,3,7158,12,4,1,7,42.628078
6,3,4,2003,8238,8,4,1,1,6354,7,4,1,7,35.07129
2,25,3,2003,10525,8,4,1,2,7728,10,4,10,7,45.712
6,3,4,2003,8225,8,4,1,1,6404,7,4,10,7,34.331987
6,3,4,2003,8237,8,2,1,1,6548,7,4,1,7,36.516218
