@relation 'well_data2-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.StringToNominal-R7,8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-15-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R30,32'

@attribute Subarea {B,A,C,E,D,F}
@attribute County {MIDLAND,UPTON,REAGAN,GLASSCOCK}
@attribute Completion.Year numeric
@attribute Surface.Latitude numeric
@attribute Surface.Longitude numeric
@attribute WB.Spacing.Proxy {160,80,'Over 160',40,20,'Sub 20'}
@attribute SPBY.Spacing.Proxy {40,80,20,160,'Sub 20','Over 160'}
@attribute Deepest_Zone {WFMP,STRAWN,ATOKA,SPBR_L,WOOD,SIL_DEV,MISS,FUSS}
@attribute Top_Zone {WFMP,SPBR_U,CLFK,SPBR_L,STRAWN}
@attribute Frac.Stages numeric
@attribute Proppant...Total..lbs. numeric
@attribute Fluid...Total..lbs. numeric
@attribute CLFK..KHW. numeric
@attribute U_SPBR..KHW. numeric
@attribute L_SPBR..KHW. numeric
@attribute WFMP..KHW. numeric
@attribute WFMP_L..KHW. numeric
@attribute WFMP_ATB..KH numeric
@attribute CLINE..KHW. numeric
@attribute STRN..KHW. numeric
@attribute ATOK..KHW. numeric
@attribute BEND..KHW. numeric
@attribute ATOKA_L..KHW numeric
@attribute MPLM..KHW. numeric
@attribute WDFD..KHW. numeric
@attribute DVNN..KHW. numeric
@attribute Number numeric
@attribute Depth.Top numeric
@attribute Depth.Base numeric
@attribute Fluid.Type {A,W,X-LINKGEL,GEL,FLUD,F,WTR,G,O,FRAC,SLKW}
@attribute Propping.Agent.Type {undefined,SAND,CER,SANDCER,RCSD,SANDRCSD}
@attribute Injection.Rate numeric
@attribute Additive {HCL,GELA,SCIN,XLNK,FECL,SFAC,WGEL,WPLY,PFCL,FRDC,NEFE,GLST,KCL,CACL,BIOC,ACET,BRKR,ACIN,CRIN,NECL}
@attribute Mesh.Size {20/40,'20/40 & 16/3',16/30,20/20,30/70,'20 /40',40/70,20/04,30/50,18/40,20/50,MIXED}
@attribute EUR_o..Mstb. numeric

@data
B,MIDLAND,2003,31.7189,-102.0136,160,40,WFMP,WFMP,3,96126,258614,6724,7644,8211,9205,9493,9913,10430,10799.14,10945.5,11053.08,11237.99,11873.13,12032.82,12065.92,5,10214,10259,A,undefined,?,?,?,53.487248
A,MIDLAND,2003,31.7568,-102.1723,160,80,STRAWN,SPBR_U,1,3112480,313992,7205,8031.5,8589.75,9438.79,9847.8,10117,10375.47,10783.22,10906.37,11188.07,10917.29,11417.07,11647.65,11774.04,1,8044,10588,W,SAND,?,?,?,32.696
A,MIDLAND,2003,31.80806,-102.06962,80,80,ATOKA,SPBR_U,1,371330,297696,6861.43,7739,8291,9227,9574,9887,10311,10571,10786,10860.07,11160.92,11621.5,11827.76,11943.77,1,7742,9993,W,SAND,?,?,?,41.692
C,MIDLAND,2003,31.75071,-101.84015,80,20,WFMP,SPBR_U,4,472170,195181,6312,7199.88,7768.5,8777.42,9100.21,9247.17,10292.01,10546.05,10685.75,10738.31,10920.53,11278.82,11497.17,11577.79,8,7205,7407,A,undefined,?,?,?,28.543885
C,UPTON,2003,31.60823,-101.80401,'Over 160',40,WFMP,CLFK,3,473330,180000,6179,7026.84,7679.33,8615.69,8920.46,9336,10303.82,10603.87,10743.76,10769.66,10985.58,11425.36,11509.25,11579.09,7,7026,7232,X-LINKGEL,SAND,32,HCL,?,28.968
C,UPTON,2003,31.58556,-101.78767,160,40,WFMP,CLFK,3,471200,206474,6062,6966,7556,8570,8879.25,9249.45,10259.28,10555.79,10711.31,10690.66,10918.75,11352.84,11453.08,11516.58,6,6972,7164,X-LINKGEL,SAND,?,?,20/40,18.522
A,MIDLAND,2003,31.80528,-102.09972,80,160,WFMP,SPBR_L,1,214000,131000,7002,7852,8415,9312,9682,9945,10293,10522.2,10659.06,10860.02,11124.99,11592.81,11816.52,11917.81,2,8538,9943,X-LINKGEL,SAND,?,?,'20/40 & 16/3',59.141131
A,MIDLAND,2003,31.78,-101.9609,40,80,WFMP,SPBR_L,4,199940,341483,6600,7465,8031.12,9051,9406.5,9829.77,10427,10678.1,10817.48,10887.09,11041.42,11499.76,11740.23,11818.06,4,10256,10276,W,SAND,?,GELA,?,42.395032
E,REAGAN,2003,31.48016,-101.63969,80,40,WFMP,SPBR_U,1,482040,260484,5410.86,6360.53,6920.83,7933.58,8233.29,8582.24,9772.33,10122.86,10221.64,10361.91,10433.73,10560.46,10704.02,10745.02,1,6378,8074,GEL,SAND,?,?,20/40,48.135324
C,MIDLAND,2003,31.75353,-101.83149,80,40,WFMP,CLFK,4,472470,198006,6226,7150,7692,8691,9016.84,9191.63,10234.64,10497.99,10635.82,10681.48,10857.52,11240.2,11432.88,11519.03,2,7136,7337,X-LINKGEL,SAND,?,?,20/40,40.953948
