WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size
2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,2003,31.65753,-101.72135,8550,160,40,SPBR_U --> WFMP,3,6,0,3500,187446,0,471330,190946,40.2,SPBR_U,WFMP,5,FRAC,6825,7004,54558,GAL,X-LINKGEL,136330,LB,SAND,NA,24,HCL,20/40
3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,2003,31.71566,-101.71787,8550,40,40,CLFK --> WFMP,3,8,0,5000,201390,0,476570,206390,39.05038257,CLFK,WFMP,3,FLSH,6832,7011,1000,GAL,A,0,undefined,undefined,NA,29,HCL,
5,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-02-07,2004,31.95401,-101.74911,10500,20,80,CLFK --> WFMP,1,1,334900,0,0,0,553020,334900,51.856,CLFK,WFMP,1,FRAC,6821,9412,334900,GAL,FLUD,553020,LB,SAND,NA,NA,,
7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2003-04-05,2003,31.70024,-101.52357,8900,80,80,CLFK --> WFMP,1,1,247212,0,0,0,265000,247212,22.156,CLFK,WFMP,1,FRAC,6155,8690,247212,GAL,W,265000,LB,SAND,NA,NA,,
10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,2003,31.69134,-101.72307,8575,Over 160,40,SPBR_U --> WFMP,3,8,0,5000,196636,0,318180,201636,45.276,SPBR_U,WFMP,8,ACID,6839,7027,500,GAL,A,0,undefined,undefined,NA,28,HCL,
11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,2003,31.66554,-101.71945,8600,160,40,SPBR_U --> WFMP,3,7,0,5000,207551,0,471280,212551,57.8056949,SPBR_U,WFMP,7,FRAC,6816,6970,58044,GAL,X-LINKGEL,135080,LB,SAND,NA,NA,,20/40
13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.65428,-101.6588,8440,80,40,SPBR_U --> WFMP,3,8,0,5000,198685,0,470300,203685,29.45106486,SPBR_U,WFMP,8,ACID,6624,6789,500,GAL,A,0,undefined,undefined,NA,34,HCL,
14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.67106,-101.68159,8530,80,40,SPBR_L --> WFMP,2,5,0,3500,146370,0,335820,149870,24.156,SPBR_L,WFMP,5,ACID,7410,7734,1000,GAL,A,0,undefined,undefined,NA,NA,SCIN,
16,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-21,2003,31.71988,-101.71456,8640,80,20,SPBR_U --> WFMP,3,7,0,5000,198529,0,471910,203529,37.97570526,SPBR_U,WFMP,7,FRAC,6815,6992,53096,GAL,X-LINKGEL,135990,LB,SAND,NA,NA,,20/40
17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.65389,-101.62808,8335,80,40,SPBR_U --> WFMP,3,8,0,5000,198996,0,472820,203996,42.256,SPBR_U,WFMP,8,ACID,6504,6843,500,GAL,A,0,undefined,undefined,NA,NA,HCL,
