Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Type,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
0,3500,190946,54558,136330,5,27,1,2003,1,3,3,0,40.2,3,7,3,6825,11,3,11,6
0,5000,206390,23277.5,0,4,27,1,2003,3,3,3,0,39.05038257,1,7,2,6832,1,NA,11,NA
334900,0,334900,334900,553020,4,13,1,2004,2,4,1,0,51.856,1,7,3,6821,3,3,NA,NA
247212,0,247212,247212,265000,6,13,1,2003,4,4,1,0,22.156,1,7,3,6155,9,3,NA,NA
0,5000,201636,23277.5,0,5,27,1,2003,5,3,3,0,45.276,3,7,1,6839,1,NA,11,NA
0,5000,212551,58044,135080,5,27,1,2003,1,3,3,0,57.8056949,3,7,3,6816,11,3,NA,6
0,5000,203685,23277.5,0,5,27,1,2003,4,3,3,0,29.45106486,3,7,1,6624,1,NA,11,NA
0,3500,153212,23277.5,0,5,27,1,2003,4,3,2,0,24.156,2,7,1,7410,1,NA,16,NA
0,5000,203529,53096,135990,4,27,1,2003,4,2,3,0,37.97570526,3,7,3,6815,11,3,NA,6
0,5000,203996,23277.5,0,6,27,1,2003,4,3,3,0,42.256,3,7,1,6504,1,NA,11,NA
0,5000,188309,50358,124630,4,27,1,2003,3,3,3,0,55.65707668,1,7,3,6826,11,3,NA,6
0,5000,194252,23277.5,0,4,27,1,2003,1,2,3,0,40.04565233,1,7,1,6806,1,NA,11,NA
0,5000,200787,23277.5,0,4,27,1,2003,3,3,3,0,54.56512178,1,7,1,6816,1,NA,11,NA
0,0,317478,317478,384990,6,13,1,2004,1,2,1,0,38.49591628,3,7,3,6155,11,3,18,NA
0,5000,188918,54138,131493,5,27,1,2004,1,3,3,0,51.73461391,3,7,3,6748,11,3,NA,6
0,10500,280797,53970,133448,6,27,1,2005,4,2,4,0,28.60094527,3,7,3,6386,11,3,NA,6
398454,0,398454,398454,521740,4,13,1,2005,4,4,1,0,39.1412402,1,7,3,5802,3,3,17,6
383200,0,383200,131800,49250,6,2,1,2006,3,3,2,0,42.264,1,7,3,7641,9,3,17,6
383200,0,383200,251400,51200,6,2,1,2006,1,3,2,0,12.48,1,7,3,6311,9,3,NA,6
497600,0,497600,252900,99750,6,2,1,2006,4,3,2,0,18.55149194,3,7,3,7411,9,3,NA,6
497600,0,497600,252900,99750,6,2,1,2006,4,3,2,0,39.468,3,7,3,7356,9,3,17,6
383600,0,383600,251600,51350,6,2,1,2006,1,4,2,0,12.164,1,7,3,6275,9,3,17,4
374500,0,374500,167700,58975,6,2,1,2006,1,4,2,0,10.876,1,7,3,7453,9,3,NA,6
0,15750,440534,73425,18182,4,2,1,2006,4,3,6,0,30.20941884,3,7,3,8913,6,3,NA,6
0,14250,374212,23277.5,0,3,2,1,2006,3,3,5,0,31.73182787,3,7,1,6923,1,NA,NA,NA
0,17250,493325,78753,16847,3,2,1,2006,4,3,7,0,29.40701198,3,7,3,9252,6,3,NA,6
0,9750,326653,55157,128358,4,2,1,2007,3,3,5,0,19.20842649,1,7,3,6857,11,3,NA,6
0,9750,358519,66985,17637,4,2,1,2006,3,3,5,0,14.8,1,7,3,8956,6,3,NA,6
0,12750,446731,51612,133871,4,2,1,2006,4,3,6,0,23.14,3,7,3,6928,11,3,NA,6
0,10750,279747,58616,158996,3,2,1,2007,NA,NA,4,0,18.328,5,7,3,8424,11,3,16,6
0,3000,153212,NA,18170,3,2,1,2007,4,3,5,0,13.684,1,7,3,9556,NA,3,NA,6
241752,0,241752,241752,61500,6,2,1,2006,4,3,1,0,55.3862174,1,7,3,6272,9,3,17,6
273756,0,273756,74004,108332,6,27,1,2007,1,2,4,0,31.07150317,3,7,3,8400,3,3,NA,NA
244692,0,244692,98658,135248,6,27,1,2006,1,3,3,0,46.04231632,3,7,3,8190,3,3,NA,NA
0,14250,426297,45604,134736,4,2,1,2007,4,3,6,0,13.624,3,7,3,6876,11,3,NA,6
0,14250,400174,51540,146540,4,2,1,2007,1,3,6,0,20.67705873,1,7,3,6864,11,3,16,6
353400,0,353400,128000,61500,6,2,1,2006,3,3,2,0,30.18,1,7,3,7659,9,3,17,6
0,11250,361845,47343,125270,4,2,1,2007,3,3,5,0,12.671,1,7,3,6869,11,3,16,6
0,12000,273394,140345,84000,4,27,1,2007,3,4,3,0,6.904,2,7,3,7525,11,3,NA,6
649698,0,649698,649698,802700,4,13,1,2007,3,4,1,0,45.27229149,3,1,3,6862,3,3,NA,NA
546126,0,546126,NA,50000,4,13,1,2007,4,4,4,0,44.02376458,3,1,3,6878,NA,3,NA,1
0,13750,329397,52237,155100,4,27,1,2007,3,4,5,0,25.31341516,5,7,3,7973,11,3,16,6
0,21000,768058,146666,117244,4,27,1,2007,1,5,5,0,42.268,5,7,3,8277,6,3,NA,6
366450,0,366450,124698,61500,6,2,1,2007,1,4,2,0,15.424,1,7,3,7689,3,3,NA,6
365484,0,365484,123732,61500,4,2,1,2007,5,3,2,0,34.88893209,1,7,3,8193,3,3,NA,6
0,9520,602308,89690,141700,4,14,1,2007,3,1,4,0,20.11541731,3,7,3,8142,6,3,20,6
0,0,633108,189756,199000,4,14,1,2007,4,1,4,0,20.072,3,7,3,6477,6,3,10,5
0,10750,256538,57767,165641,6,27,1,2007,1,3,4,0,12.64935437,5,7,3,7943,11,3,16,6
536943,4000,540943,341928,4e+05,4,14,1,2007,4,1,3,0,20.7,3,7,3,8288,3,3,NA,6
0,14250,417479,47393,138461,4,2,1,2008,4,3,6,0,17.63959573,1,7,3,6911,11,3,NA,6
0,8250,494881,46429,182011,3,2,1,2007,4,3,5,0,28.09232775,3,7,3,6990,11,3,16,6
258392,0,258392,174688,214875,6,2,1,2008,4,4,2,0,22.11157295,3,7,3,7672,9,3,17,6
0,16500,468007,72210,183837,4,2,1,2007,4,3,5,0,10.56,1,7,3,6900,11,3,NA,6
616476,0,616476,616476,799820,4,13,1,2007,1,5,1,0,40.092,1,1,3,6606,3,3,11,NA
0,14250,383661,52601,140817,3,2,1,2008,4,3,6,0,8.086191594,3,7,3,6982,11,3,NA,6
0,14250,398382,48792,140167,4,2,1,2008,4,3,6,0,8.808,3,7,3,6920,11,3,NA,6
0,17000,501369,44767,130834,3,2,1,2008,3,3,6,0,24.40562809,1,7,3,6934,11,3,NA,3
0,15100,483344,53706,133719,3,2,1,2008,3,3,6,0,42.25256061,1,7,3,6931,11,3,NA,6
0,19000,571036,46609,130467,4,27,1,2008,3,5,7,0,21.94799122,1,7,3,6427,11,3,NA,6
0,14250,417946,53626,133680,3,2,1,2008,NA,NA,6,0,9.735,3,7,3,6974,11,3,NA,6
0,14250,466207,48842,142580,4,2,1,2008,3,3,6,0,11.934,3,7,3,6875,11,3,NA,6
15848,0,153212,23277.5,902460,4,13,1,2007,4,4,1,0,49.36,3,7,3,6875,9,3,NA,NA
0,17250,374326,46629,136241,6,27,1,2008,1,3,6,0,25.04,3,7,3,6451,11,3,NA,6
0,5250,178166,47820,135304,4,27,1,2008,5,2,3,0,48.844,3,7,3,6914,11,3,NA,6
0,7500,229228,49643,137039,4,27,1,2008,3,4,4,0,25.376,1,7,3,6525,11,3,NA,6
0,13500,445228,53621,137543,4,27,1,2008,1,3,6,0,24.14,1,7,3,6523,11,3,NA,1
10000,26000,547689,23277.5,NA,4,4,1,2008,4,5,8,0,66.2739258,1,6,3,10024,9,NA,NA,NA
0,6000,217068,44167,139450,6,27,1,2008,1,3,4,0,32.076,3,5,3,6540,11,3,NA,6
0,6000,223988,51788,140070,6,27,1,2008,4,3,4,0,22.828,3,5,3,6506,11,3,NA,6
0,6000,238412,54204,135287,6,27,1,2008,4,3,4,0,15.55114674,1,5,3,6481,11,3,NA,6
0,12000,559628,42873,130934,3,2,1,2008,4,3,7,0,11.188,3,7,3,7082,11,3,20,6
0,20000,696928,52794,134130,3,2,1,2008,4,3,7,0,25.4251233,3,7,3,6990,11,3,NA,6
0,19000,589219,48079,141147,3,2,1,2008,4,3,7,0,16.768,3,7,3,6997,11,3,NA,6
0,16128,1020768,1004640,927236,4,13,1,2008,3,3,1,0,45.376,1,1,3,6556,6,3,9,NA
0,18000,697906,73222,177573,4,27,1,2008,4,5,11,0,17.38,2,7,3,7267,11,3,20,6
0,26000,153212,23277.5,0,4,22,1,2008,4,4,4,0,35.256,5,7,1,9254,1,NA,11,NA
0,10500,574026,27231,16598,4,27,1,2009,1,5,6,0,14.11666124,5,7,3,7818,11,3,20,6
0,14000,878409,195873,136963,4,27,1,2009,3,5,6,0,55.764,5,7,3,8006,11,3,20,6
0,12080,486155,84620,40104,6,4,1,2008,1,5,5,0,28.724,5,1,3,9742,11,3,20,6
0,12000,767718,57414,122013,4,27,1,2008,3,4,7,0,19.24918288,3,7,3,6463,11,3,20,6
0,12500,473171,51236,41265,4,27,1,2008,3,1,4,0,62.13588059,5,1,3,8442,11,3,20,6
NA,NA,NA,NA,NA,4,22,1,2008,5,3,NA,NA,68.40805807,2,7,4,7450,NA,NA,NA,NA
0,10500,635437,47962,134806,4,27,1,2008,4,5,6,0,27.776,3,7,3,6423,11,3,20,6
