Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size
0,3500,187446,471330,190946,54558,136330,2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,2003,31.65753,-101.72135,8550,160,40,SPBR_U --> WFMP,3,6,0,40.2,SPBR_U,WFMP,5,FRAC,6825,7004,GAL,X-LINKGEL,LB,SAND,NA,24,HCL,20/40
0,5000,201390,476570,206390,23277.5,0,3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,2003,31.71566,-101.71787,8550,40,40,CLFK --> WFMP,3,8,0,39.05038257,CLFK,WFMP,3,FLSH,6832,7011,GAL,A,NA,NA,NA,29,HCL,NA
334900,0,0,553020,334900,334900,553020,5,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-02-07,2004,31.95401,-101.74911,10500,20,80,CLFK --> WFMP,1,1,0,51.856,CLFK,WFMP,1,FRAC,6821,9412,GAL,FLUD,LB,SAND,NA,NA,NA,NA
247212,0,0,265000,247212,247212,265000,7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2003-04-05,2003,31.70024,-101.52357,8900,80,80,CLFK --> WFMP,1,1,0,22.156,CLFK,WFMP,1,FRAC,6155,8690,GAL,W,LB,SAND,NA,NA,NA,NA
0,5000,196636,318180,201636,23277.5,0,10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,2003,31.69134,-101.72307,8575,Over 160,40,SPBR_U --> WFMP,3,8,0,45.276,SPBR_U,WFMP,8,ACID,6839,7027,GAL,A,NA,NA,NA,28,HCL,NA
0,5000,207551,471280,212551,58044,135080,11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,2003,31.66554,-101.71945,8600,160,40,SPBR_U --> WFMP,3,7,0,57.8056949,SPBR_U,WFMP,7,FRAC,6816,6970,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,5000,198685,470300,203685,23277.5,0,13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.65428,-101.6588,8440,80,40,SPBR_U --> WFMP,3,8,0,29.45106486,SPBR_U,WFMP,8,ACID,6624,6789,GAL,A,NA,NA,NA,34,HCL,NA
0,3500,146370,335820,153212,23277.5,0,14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.67106,-101.68159,8530,80,40,SPBR_L --> WFMP,2,5,0,24.156,SPBR_L,WFMP,5,ACID,7410,7734,GAL,A,NA,NA,NA,NA,SCIN,NA
0,5000,198529,471910,203529,53096,135990,16,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-21,2003,31.71988,-101.71456,8640,80,20,SPBR_U --> WFMP,3,7,0,37.97570526,SPBR_U,WFMP,7,FRAC,6815,6992,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,5000,198996,472820,203996,23277.5,0,17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,2003,31.65389,-101.62808,8335,80,40,SPBR_U --> WFMP,3,8,0,42.256,SPBR_U,WFMP,8,ACID,6504,6843,GAL,A,NA,NA,NA,NA,HCL,NA
0,5000,183309,471030,188309,50358,124630,22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-20,2003,31.71259,-101.71632,8635,40,40,CLFK --> WFMP,3,6,0,55.65707668,CLFK,WFMP,6,FRAC,6826,7201,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,5000,189252,471100,194252,23277.5,0,23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-10-01,2003,31.71139,-101.70645,8605,160,20,CLFK --> WFMP,3,8,0,40.04565233,CLFK,WFMP,8,ACID,6806,7178,GAL,A,NA,NA,NA,NA,HCL,NA
0,5000,195787,471570,200787,23277.5,0,25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-10-01,2003,31.70902,-101.71715,8650,40,40,CLFK --> WFMP,3,8,0,54.56512178,CLFK,WFMP,8,ACID,6816,7184,GAL,A,NA,NA,NA,30,HCL,NA
0,0,317478,384990,317478,317478,384990,26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-01-26,2004,31.7163,-101.52017,10550,160,20,SPBR_U --> WFMP,1,1,0,38.49591628,SPBR_U,WFMP,1,FRAC,6155,8823,GAL,X-LINKGEL,LB,SAND,NA,NA,WGEL,NA
0,5000,183918,472190,188918,54138,131493,31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2004-11-26,2004,31.65926,-101.69933,8560,160,40,SPBR_U --> WFMP,3,6,0,51.73461391,SPBR_U,WFMP,6,FRAC,6748,6928,GAL,X-LINKGEL,LB,SAND,NA,30,NA,20/40
0,10500,270297,488570,280797,53970,133448,32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2005-02-02,2005,31.67149,-101.5849,8240,80,20,SPBR_U --> WFMP,4,8,0,28.60094527,SPBR_U,WFMP,8,FRAC,6386,6520,GAL,X-LINKGEL,LB,SAND,NA,33,NA,20/40
398454,0,0,521740,398454,398454,521740,33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2005-05-17,2005,31.77613,-101.59246,10255,80,80,CLFK --> WFMP,1,1,0,39.1412402,CLFK,WFMP,1,FRAC,5802,9299,GAL,FLUD,LB,SAND,NA,NA,SFAC,20/40
383200,0,0,110277.1,383200,131800,49250,35,F,APACHE CORPORATION,GLASSCOCK,2006-02-09,2006,31.65334,-101.53122,8064,40,40,CLFK --> WFMP,2,2,0,42.264,CLFK,WFMP,2,FRAC,7641,7938,GAL,W,LB,SAND,NA,NA,SFAC,20/40
383200,0,0,110277.1,383200,251400,51200,36,F,APACHE CORPORATION,GLASSCOCK,2006-02-24,2006,31.70647,-101.5785,8243,160,40,CLFK --> WFMP,2,2,0,12.48,CLFK,WFMP,2,FRAC,6311,7347,GAL,W,LB,SAND,NA,NA,NA,20/40
497600,0,0,155650,497600,252900,99750,37,F,APACHE CORPORATION,GLASSCOCK,2006-04-19,2006,31.71755,-101.56402,8255,80,40,SPBR_U --> WFMP,2,2,0,18.55149194,SPBR_U,WFMP,2,FRAC,7411,8052,GAL,W,LB,SAND,NA,NA,NA,20/40
497600,0,0,155650,497600,252900,99750,38,F,APACHE CORPORATION,GLASSCOCK,2006-04-13,2006,31.70983,-101.54853,8223,80,40,SPBR_U --> WFMP,2,2,0,39.468,SPBR_U,WFMP,2,FRAC,7356,7961,GAL,W,LB,SAND,NA,NA,SFAC,20/40
383600,0,0,110277.1,383600,251600,51350,40,F,APACHE CORPORATION,GLASSCOCK,2006-04-22,2006,31.70857,-101.57012,8205,160,80,CLFK --> WFMP,2,2,0,12.164,CLFK,WFMP,2,FRAC,6275,7328,GAL,W,LB,SAND,NA,NA,SFAC,20/20
374500,0,0,110277.1,374500,167700,58975,42,F,APACHE CORPORATION,GLASSCOCK,2006-05-07,2006,31.69948,-101.57606,8283,160,80,CLFK --> WFMP,2,2,0,10.876,CLFK,WFMP,2,FRAC,7453,8133,GAL,W,LB,SAND,NA,NA,NA,20/40
0,15750,424784,523700,440534,73425,18182,44,D,APACHE CORPORATION,GLASSCOCK,2006-10-21,2006,31.75812,-101.75965,9843,80,40,SPBR_U --> WFMP,6,12,0,30.20941884,SPBR_U,WFMP,12,FRAC,8913,9151,GAL,GEL,LB,SAND,NA,50,NA,20/40
0,14250,359962,507200,374212,23277.5,0,45,C,APACHE CORPORATION,GLASSCOCK,2006-10-10,2006,31.76793,-101.7662,9902,40,40,SPBR_U --> WFMP,5,11,0,31.73182787,SPBR_U,WFMP,11,ACID,6923,9551,GAL,A,NA,NA,NA,NA,NA,NA
