EUR_o..Mstb.,Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,Top_Zone,Deepest_Zone,Type,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
40.2,0,3500,190946,54558,136330,5,27,1,2003,1,3,3,0,3,7,3,6825,11,3,11,6
39.05038257,0,5000,206390,23277.5,0,4,27,1,2003,3,3,3,0,1,7,2,6832,1,3.03756538999944,11,5.70106570374048
51.856,334900,0,334900,334900,553020,4,13,1,2004,2,4,1,0,1,7,3,6821,3,3,12.3803620227927,6.67109181022264
22.156,247212,0,247212,247212,265000,6,13,1,2003,4,4,1,0,1,7,3,6155,9,3,13.1371483240558,5.74858318099014
45.276,0,5000,201636,23277.5,0,5,27,1,2003,5,3,3,0,3,7,1,6839,1,3.04166503380557,11,5.92037208406909
57.8056949,0,5000,212551,58044,135080,5,27,1,2003,1,3,3,0,3,7,3,6816,11,3,13.6582864197315,6
29.45106486,0,5000,203685,23277.5,0,5,27,1,2003,4,3,3,0,3,7,1,6624,1,2.99999998448361,11,5.97660744597212
24.156,0,3500,153212,23277.5,0,5,27,1,2003,4,3,2,0,2,7,1,7410,1,2.99999998722995,16,6.05658855087104
37.97570526,0,5000,203529,53096,135990,4,27,1,2003,4,2,3,0,3,7,3,6815,11,3,13.4071745032642,6
42.256,0,5000,203996,23277.5,0,6,27,1,2003,4,3,3,0,3,7,1,6504,1,2.99999998613606,11,5.94082750451841
55.65707668,0,5000,188309,50358,124630,4,27,1,2003,3,3,3,0,1,7,3,6826,11,3,12.4119870906319,6
40.04565233,0,5000,194252,23277.5,0,4,27,1,2003,1,2,3,0,1,7,1,6806,1,2.999999978977,11,5.81057242447638
54.56512178,0,5000,200787,23277.5,0,4,27,1,2003,3,3,3,0,1,7,1,6816,1,2.99999997260871,11,5.99999994370569
38.49591628,0,0,317478,317478,384990,6,13,1,2004,1,2,1,0,3,7,3,6155,11,3,18,5.88815658569901
51.73461391,0,5000,188918,54138,131493,5,27,1,2004,1,3,3,0,3,7,3,6748,11,3,12.3741154277066,6
28.60094527,0,10500,280797,53970,133448,6,27,1,2005,4,2,4,0,3,7,3,6386,11,3,15.1959507916962,6
39.1412402,398454,0,398454,398454,521740,4,13,1,2005,4,4,1,0,1,7,3,5802,3,3,17,6
42.264,383200,0,383200,131800,49250,6,2,1,2006,3,3,2,0,1,7,3,7641,9,3,17,6
12.48,383200,0,383200,251400,51200,6,2,1,2006,1,3,2,0,1,7,3,6311,9,3,15.4984994805064,6
18.55149194,497600,0,497600,252900,99750,6,2,1,2006,4,3,2,0,3,7,3,7411,9,3,14.906959831921,6
39.468,497600,0,497600,252900,99750,6,2,1,2006,4,3,2,0,3,7,3,7356,9,3,17,6
12.164,383600,0,383600,251600,51350,6,2,1,2006,1,4,2,0,1,7,3,6275,9,3,17,4
10.876,374500,0,374500,167700,58975,6,2,1,2006,1,4,2,0,1,7,3,7453,9,3,16.1032215546065,6
30.20941884,0,15750,440534,73425,18182,4,2,1,2006,4,3,6,0,3,7,3,8913,6,3,12.834628904933,6
31.73182787,0,14250,374212,23277.5,0,3,2,1,2006,3,3,5,0,3,7,1,6923,1,3.00772961127714,11.6132462132818,5.72571282421978
29.40701198,0,17250,493325,78753,16847,3,2,1,2006,4,3,7,0,3,7,3,9252,6,3,16.051161365089,6
19.20842649,0,9750,326653,55157,128358,4,2,1,2007,3,3,5,0,1,7,3,6857,11,3,15.8471392628132,6
14.8,0,9750,358519,66985,17637,4,2,1,2006,3,3,5,0,1,7,3,8956,6,3,14.1815547563063,6
23.14,0,12750,446731,51612,133871,4,2,1,2006,4,3,6,0,3,7,3,6928,11,3,16.5817341735102,6
18.328,0,10750,279747,58616,158996,3,2,1,2007,3.33844161840686,3.05600411105254,4,0,5,7,3,8424,11,3,16,6
13.684,0,3000,153212,94384.8587377463,18170,3,2,1,2007,4,3,5,0,1,7,3,9556,6.97310363626982,3,14.9637766376704,6
55.3862174,241752,0,241752,241752,61500,6,2,1,2006,4,3,1,0,1,7,3,6272,9,3,17,6
31.07150317,273756,0,273756,74004,108332,6,27,1,2007,1,2,4,0,3,7,3,8400,3,3,12.3292519869435,5.99999996821586
46.04231632,244692,0,244692,98658,135248,6,27,1,2006,1,3,3,0,3,7,3,8190,3,3,13.0104687312781,6.02294894969508
13.624,0,14250,426297,45604,134736,4,2,1,2007,4,3,6,0,3,7,3,6876,11,3,15.7962040677487,6
20.67705873,0,14250,400174,51540,146540,4,2,1,2007,1,3,6,0,1,7,3,6864,11,3,16,6
30.18,353400,0,353400,128000,61500,6,2,1,2006,3,3,2,0,1,7,3,7659,9,3,17,6
12.671,0,11250,361845,47343,125270,4,2,1,2007,3,3,5,0,1,7,3,6869,11,3,16,6
6.904,0,12000,273394,140345,84000,4,27,1,2007,3,4,3,0,2,7,3,7525,11,3,13.7643747428221,6
45.27229149,649698,0,649698,649698,802700,4,13,1,2007,3,4,1,0,3,1,3,6862,3,3,11.7057451875602,6.55877614337268
44.02376458,546126,0,546126,189716.006015615,50000,4,13,1,2007,4,4,4,0,3,1,3,6878,6.34894936056839,3,11.8181639306153,1
25.31341516,0,13750,329397,52237,155100,4,27,1,2007,3,4,5,0,5,7,3,7973,11,3,16,6
42.268,0,21000,768058,146666,117244,4,27,1,2007,1,5,5,0,5,7,3,8277,6,3,12.7732075201139,6
15.424,366450,0,366450,124698,61500,6,2,1,2007,1,4,2,0,1,7,3,7689,3,3,15.9042741400199,6
34.88893209,365484,0,365484,123732,61500,4,2,1,2007,5,3,2,0,1,7,3,8193,3,3,16.5007372350685,6
20.11541731,0,9520,602308,89690,141700,4,14,1,2007,3,1,4,0,3,7,3,8142,6,3,20,6
20.072,0,0,633108,189756,199000,4,14,1,2007,4,1,4,0,3,7,3,6477,6,3,10,5
12.64935437,0,10750,256538,57767,165641,6,27,1,2007,1,3,4,0,5,7,3,7943,11,3,16,6
20.7,536943,4000,540943,341928,4e+05,4,14,1,2007,4,1,3,0,3,7,3,8288,3,3,13.1752614223196,6
17.63959573,0,14250,417479,47393,138461,4,2,1,2008,4,3,6,0,1,7,3,6911,11,3,16.1229425821601,6
28.09232775,0,8250,494881,46429,182011,3,2,1,2007,4,3,5,0,3,7,3,6990,11,3,16,6
22.11157295,258392,0,258392,174688,214875,6,2,1,2008,4,4,2,0,3,7,3,7672,9,3,17,6
10.56,0,16500,468007,72210,183837,4,2,1,2007,4,3,5,0,1,7,3,6900,11,3,15.5098871079262,6
40.092,616476,0,616476,616476,799820,4,13,1,2007,1,5,1,0,1,1,3,6606,3,3,11,6.35026208234349
8.086191594,0,14250,383661,52601,140817,3,2,1,2008,4,3,6,0,3,7,3,6982,11,3,17.6313374725298,6
8.808,0,14250,398382,48792,140167,4,2,1,2008,4,3,6,0,3,7,3,6920,11,3,16.4772511737483,6
24.40562809,0,17000,501369,44767,130834,3,2,1,2008,3,3,6,0,1,7,3,6934,11,3,17.2427324614686,3
42.25256061,0,15100,483344,53706,133719,3,2,1,2008,3,3,6,0,1,7,3,6931,11,3,18.0589063051912,6
21.94799122,0,19000,571036,46609,130467,4,27,1,2008,3,5,7,0,1,7,3,6427,11,3,17.6145225751002,6
9.735,0,14250,417946,53626,133680,3,2,1,2008,3.40306484713437,3.01491598506493,6,0,3,7,3,6974,11,3,17.9728156166504,6
