Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
0,3500,187446,471330,190946,54558,136330,5,27,1,2003,31.65753,-101.72135,8550,1,3,18,3,6,0,40.2,3,7,5,3,6825,7004,11,3,11,6
0,5000,201390,476570,206390,23277.5,0,4,27,1,2003,31.71566,-101.71787,8550,3,3,5,3,8,0,39.05038257,1,7,3,2,6832,7011,1,NA,11,NA
334900,0,0,553020,334900,334900,553020,4,13,1,2004,31.95401,-101.74911,10500,2,4,5,1,1,0,51.856,1,7,1,3,6821,9412,3,3,NA,NA
247212,0,0,265000,247212,247212,265000,6,13,1,2003,31.70024,-101.52357,8900,4,4,5,1,1,0,22.156,1,7,1,3,6155,8690,9,3,NA,NA
0,5000,196636,318180,201636,23277.5,0,5,27,1,2003,31.69134,-101.72307,8575,5,3,18,3,8,0,45.276,3,7,8,1,6839,7027,1,NA,11,NA
0,5000,207551,471280,212551,58044,135080,5,27,1,2003,31.66554,-101.71945,8600,1,3,18,3,7,0,57.8056949,3,7,7,3,6816,6970,11,3,NA,6
0,5000,198685,470300,203685,23277.5,0,5,27,1,2003,31.65428,-101.6588,8440,4,3,18,3,8,0,29.45106486,3,7,8,1,6624,6789,1,NA,11,NA
0,3500,146370,335820,153212,23277.5,0,5,27,1,2003,31.67106,-101.68159,8530,4,3,11,2,5,0,24.156,2,7,5,1,7410,7734,1,NA,16,NA
0,5000,198529,471910,203529,53096,135990,4,27,1,2003,31.71988,-101.71456,8640,4,2,18,3,7,0,37.97570526,3,7,7,3,6815,6992,11,3,NA,6
0,5000,198996,472820,203996,23277.5,0,6,27,1,2003,31.65389,-101.62808,8335,4,3,18,3,8,0,42.256,3,7,8,1,6504,6843,1,NA,11,NA
0,5000,183309,471030,188309,50358,124630,4,27,1,2003,31.71259,-101.71632,8635,3,3,5,3,6,0,55.65707668,1,7,6,3,6826,7201,11,3,NA,6
0,5000,189252,471100,194252,23277.5,0,4,27,1,2003,31.71139,-101.70645,8605,1,2,5,3,8,0,40.04565233,1,7,8,1,6806,7178,1,NA,11,NA
0,5000,195787,471570,200787,23277.5,0,4,27,1,2003,31.70902,-101.71715,8650,3,3,5,3,8,0,54.56512178,1,7,8,1,6816,7184,1,NA,11,NA
0,0,317478,384990,317478,317478,384990,6,13,1,2004,31.7163,-101.52017,10550,1,2,18,1,1,0,38.49591628,3,7,1,3,6155,8823,11,3,18,NA
0,5000,183918,472190,188918,54138,131493,5,27,1,2004,31.65926,-101.69933,8560,1,3,18,3,6,0,51.73461391,3,7,6,3,6748,6928,11,3,NA,6
0,10500,270297,488570,280797,53970,133448,6,27,1,2005,31.67149,-101.5849,8240,4,2,18,4,8,0,28.60094527,3,7,8,3,6386,6520,11,3,NA,6
398454,0,0,521740,398454,398454,521740,4,13,1,2005,31.77613,-101.59246,10255,4,4,5,1,1,0,39.1412402,1,7,1,3,5802,9299,3,3,17,6
383200,0,0,110277.1,383200,131800,49250,6,2,1,2006,31.65334,-101.53122,8064,3,3,5,2,2,0,42.264,1,7,2,3,7641,7938,9,3,17,6
383200,0,0,110277.1,383200,251400,51200,6,2,1,2006,31.70647,-101.5785,8243,1,3,5,2,2,0,12.48,1,7,2,3,6311,7347,9,3,NA,6
497600,0,0,155650,497600,252900,99750,6,2,1,2006,31.71755,-101.56402,8255,4,3,18,2,2,0,18.55149194,3,7,2,3,7411,8052,9,3,NA,6
497600,0,0,155650,497600,252900,99750,6,2,1,2006,31.70983,-101.54853,8223,4,3,18,2,2,0,39.468,3,7,2,3,7356,7961,9,3,17,6
383600,0,0,110277.1,383600,251600,51350,6,2,1,2006,31.70857,-101.57012,8205,1,4,5,2,2,0,12.164,1,7,2,3,6275,7328,9,3,17,4
374500,0,0,110277.1,374500,167700,58975,6,2,1,2006,31.69948,-101.57606,8283,1,4,5,2,2,0,10.876,1,7,2,3,7453,8133,9,3,NA,6
0,15750,424784,523700,440534,73425,18182,4,2,1,2006,31.75812,-101.75965,9843,4,3,18,6,12,0,30.20941884,3,7,12,3,8913,9151,6,3,NA,6
0,14250,359962,507200,374212,23277.5,0,3,2,1,2006,31.76793,-101.7662,9902,3,3,18,5,11,0,31.73182787,3,7,11,1,6923,9551,1,NA,NA,NA
0,17250,476075,553160,493325,78753,16847,3,2,1,2006,31.77755,-101.77365,9882,4,3,18,7,14,0,29.40701198,3,7,14,3,9252,9538,6,3,NA,6
0,9750,316903,702360,326653,55157,128358,4,2,1,2007,31.74807,-101.72345,9775,3,3,5,5,9,0,19.20842649,1,7,9,3,6857,7025,11,3,NA,6
0,9750,348769,505100,358519,66985,17637,4,2,1,2006,31.74469,-101.72234,9806,3,3,5,5,9,0,14.8,1,7,9,3,8956,9041,6,3,NA,6
0,12750,433981,522940,446731,51612,133871,4,2,1,2006,31.72326,-101.74759,9843,4,3,18,6,11,0,23.14,3,7,11,3,6928,7096,11,3,NA,6
0,10750,268997,207880,279747,58616,158996,3,2,1,2007,31.72145,-101.75576,9844,NA,NA,26,4,8,0,18.328,5,7,8,3,8424,8539,11,3,16,6
