WellID,EUR_o..Mstb.,bagged
1,31.1528979461,32.8853429214
6,34.8163826048,33.8364838554
8,28.3466839302,9.8883241423
9,33.1370846034,34.2493793626
12,35.6163233884,34.6856739847
15,35.3832797919,32.8175811697
18,38.1946989485,36.20568641
20,44.0297617247,46.5347650921
21,37.4840627799,40.1810770137
24,32.2322362753,32.3481078807
27,31.0550206409,31.7367114963
28,36.1902186945,38.9159975957
29,31.4782762488,32.3722390654
30,30.4974922943,31.1866888316
34,30.6360096933,30.4701619775
39,26.3558936021,26.0194139307
41,26.8271067474,27.0700667685
43,29.5503861517,31.7754385901
47,29.9423135304,31.3656836721
50,28.9398192603,31.0944399051
51,27.3583819705,29.0382937337
56,25.5479233175,25.5650838693
57,25.5690826482,25.4313362463
62,27.9987782374,32.6701290643
65,26.2590149023,28.7687177804
71,37.8574075165,34.8062882405
75,30.9069049884,33.8304390609
77,33.7652946472,35.3340656805
78,31.864643613,33.2203235516
80,33.9807668189,35.1025929958
81,50.1487953482,55.3724407788
83,31.6296054105,34.4632778773
84,29.1293984307,35.0977013359
85,27.19411349,30.144732292
88,26.8404354299,29.9812130049
92,26.5629408738,28.8415719997
100,26.5761306476,29.1872272745
101,26.8915707425,29.8657233853
104,55.3054216892,60.4330875581
108,25.2487361339,25.7544053039
109,25.8028514517,28.1341168818
111,25.1925202382,28.4045436316
117,25.7868143411,30.6581371223
119,52.0877907539,57.9623055393
123,36.8684793108,38.9957443528
126,46.7740486529,45.3946723432
127,35.4396928444,54.985437565
128,36.33965612,42.0842400815
130,36.1330455183,33.8674499565
137,46.5407526529,42.2989298709
140,54.202337566,59.5820515737
141,42.6305030189,41.3469897546
144,58.5264362839,62.9135530542
148,34.8021922779,39.3232220243
151,30.1540423691,35.4754785626
156,34.0364744564,39.5968886036
157,45.0813337549,438.147830907
161,53.2367999335,51.2133071062
162,27.0646797198,54.1973129001
165,71.5873576443,66.4834778966
166,86.8853076935,70.4385665715
167,50.400692752,60.286801516
168,14.0546900401,51.8680910083
169,37.4702862226,39.8786704727
170,80.6604822481,134.4659483138
175,62.065780776,57.1875937119
177,31.3759896248,48.7086498308
179,37.2512660623,84.8496129519
180,24.3100213208,51.4730099216
181,22.0180716858,38.5493848777
185,45.3357463957,49.8963384847
186,56.3958154638,43.7741264682
188,27.9975744837,28.4621691667
190,82.8903998106,68.4916696252
193,38.6534529677,58.5349766155
195,61.5352131685,59.7404510506
197,35.6666560136,33.8048178248
198,39.415545022,34.3145402656
199,73.870276735,72.0206377151
203,76.1462460496,72.6943011592
211,23.9126997624,26.6495439238
214,81.8208696504,74.7577502116
215,43.0004027991,69.9601336578
216,39.2333227055,64.6105965802
218,68.8132116729,67.3414436776
223,43.30431179,54.4860959835
225,62.434071626,55.4645177363
226,35.1230761301,38.1184578532
227,36.7105965951,42.2265783861
233,85.9672995996,92.2443913435
238,39.1916686938,42.1056584852
241,52.4632053991,41.0621474405
242,79.3622432086,65.1762359025
244,33.6580968811,41.1260548898
245,29.2200589893,37.7231786906
249,29.9018772769,30.387825696
257,40.7396596526,36.0471459999
260,75.4858857737,77.7253818619
262,50.0648418371,47.410339468
264,46.1857120733,54.7976593944
274,32.906375017,36.0196870749
276,96.4341199204,74.0350148436
278,64.4016413137,63.7420914678
283,32.2056941086,35.3109324535
285,57.2451116624,60.0522480249
287,51.8189860967,56.4779408517
295,69.0304335029,76.6123996721
300,51.35867458,73.1244922149
301,52.2017663886,108.9068134267
302,66.4678752105,80.008013486
305,52.3906997398,47.3609579872
307,38.809435815,39.6460224941
310,47.9717602506,47.0156453506
311,31.725628942,36.6299850275
312,36.9850057319,38.0577791225
313,65.4768452885,68.1056839872
320,31.8461584119,38.3439674912
326,31.4978967125,35.7590331839
328,41.0615192402,37.8788953885
329,46.8118728819,43.2149032176
330,28.1263758744,38.5417969914
331,32.5544142052,35.1802597447
334,32.7986021139,40.0220212451
335,47.9501145965,39.4407844274
346,32.3519380918,39.0014103801
347,28.8843875221,36.7053117048
348,71.309682457,84.0325290853
361,32.5582496014,59.981369024
363,135.0337000929,90.0888797438
364,50.2861824119,58.0570081723
365,43.3020159488,49.1828176218
366,46.1536368545,66.6100976853
373,120.7453189571,78.3032598612
374,71.4056497293,69.3929418494
376,154.5966730345,323.4975432495
377,45.5745183494,50.355506069
380,72.1163831712,69.0289689503
382,29.7224010018,35.3925213318
383,29.0058820086,33.5617312538
384,46.9520837455,36.2396553589
385,31.4655388163,36.3061868057
388,32.7388984269,37.8572408799
390,32.5730365886,35.1526867942
391,32.5484677416,36.8456496387
397,64.109772668,66.7050064533
400,68.9801840523,72.7324394948
405,71.0162622344,70.7584261187
409,33.032512503,44.1430189355
411,71.785128851,73.9383902575
