WellID,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Depth.Base,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Date,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Top_Zone,Deepest_Zone2,Completion.Season,Type,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type
2,2003,31.65753,-101.420765,8550,3,6,0,3500,187446,0,471330,190946,40.2,3,5,6825,7004,54558,136330,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
3,2003,31.71566,-101.420765,8550,3,8,0,5000,201390,0,476570,206390,39.05038257,3,3,6832,7011,1000,0,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-20,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FLSH,GAL,A,NA,NA
5,2004,31.95401,-101.420765,10500,1,1,334900,0,0,0,553020,334900,51.856,2,1,6821,9412,334900,553020,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-02-07,20,80,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,FLUD,LB,SAND
7,2003,31.70024,-101.420765,8900,1,1,247212,0,0,0,265000,247212,22.156,4,1,6155,8690,247212,265000,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2003-04-05,80,80,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,W,LB,SAND
10,2003,31.69134,-101.420765,8575,3,8,0,5000,196636,0,318180,201636,45.276,4,8,6839,7027,500,0,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,Over 160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,ACID,GAL,A,NA,NA
11,2003,31.66554,-101.420765,8600,3,7,0,5000,207551,0,471280,212551,57.8056949,4,7,6816,6970,58044,135080,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-24,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
13,2003,31.65428,-101.420765,8440,3,8,0,5000,198685,0,470300,203685,29.45106486,7,8,6624,6789,500,0,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-07-10,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,ACID,GAL,A,NA,NA
16,2003,31.71988,-101.420765,8640,3,7,0,5000,198529,0,471910,203529,37.97570526,8,7,6815,6992,53096,135990,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-21,80,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
22,2003,31.71259,-101.420765,8635,3,6,0,5000,183309,0,471030,188309,55.65707668,8,6,6826,7201,50358,124630,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-20,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
25,2003,31.70902,-101.420765,8650,3,8,0,5000,195787,0,471570,200787,54.56512178,10,8,6816,7184,500,0,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-10-01,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,autumm,ACID,GAL,A,NA,NA
