EUR_o..Mstb.,Completion.Year,Surface.Latitude,Surface.Longitude,Fluid.Water..Gals.,Acid..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Completion.Month,Number,Depth.Top,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
40.2,2003,31.65753,-101.420765,0,3500,0,471330,190946,3,5,6825,5,27,1,1,3,18,7,2,3,11
39.05038257,2003,31.71566,-101.420765,0,5000,0,476570,206390,3,3,6832,4,27,1,3,3,5,7,2,2,1
51.856,2004,31.95401,-101.420765,334900,0,0,553020,334900,2,1,6821,4,13,1,2,4,5,7,4,3,3
22.156,2003,31.70024,-101.420765,247212,0,0,265000,247212,4,1,6155,6,13,1,4,4,5,7,2,3,9
45.276,2003,31.69134,-101.420765,0,5000,0,318180,201636,4,8,6839,5,27,1,5,3,18,7,2,1,1
57.8056949,2003,31.66554,-101.420765,0,5000,0,471280,212551,4,7,6816,5,27,1,1,3,18,7,2,3,11
29.45106486,2003,31.65428,-101.420765,0,5000,0,470300,203685,7,8,6624,5,27,1,4,3,18,7,3,1,1
24.156,2003,31.67106,-101.420765,0,3500,0,335820,149870,7,5,7410,5,27,1,4,3,11,7,3,1,1
37.97570526,2003,31.71988,-101.420765,0,5000,0,471910,203529,8,7,6815,4,27,1,4,2,18,7,3,3,11
42.256,2003,31.65389,-101.420765,0,5000,0,472820,203996,7,8,6504,6,27,1,4,3,18,7,3,1,1
55.65707668,2003,31.71259,-101.420765,0,5000,0,471030,188309,8,6,6826,4,27,1,3,3,5,7,3,3,11
40.04565233,2003,31.71139,-101.420765,0,5000,0,471100,194252,10,8,6806,4,27,1,1,2,5,7,1,1,1
54.56512178,2003,31.70902,-101.420765,0,5000,0,471570,200787,10,8,6816,4,27,1,3,3,5,7,1,1,1
38.49591628,2004,31.7163,-101.420765,0,0,0,384990,317478,1,1,6155,6,13,1,1,2,18,7,4,3,11
51.73461391,2004,31.65926,-101.420765,0,5000,0,472190,188918,11,6,6748,5,27,1,1,3,18,7,1,3,11
28.60094527,2005,31.67149,-101.420765,0,10500,0,488570,280797,2,8,6386,6,27,1,4,2,18,7,4,3,11
39.1412402,2005,31.77613,-101.420765,398454,0,0,521740,398454,5,1,5802,4,13,1,4,4,5,7,2,3,3
42.264,2006,31.65334,-101.420765,383200,0,0,100450,383200,2,2,7641,6,2,1,3,3,5,7,4,3,9
12.48,2006,31.70647,-101.420765,383200,0,0,100450,383200,2,2,6311,6,2,1,1,3,5,7,4,3,9
18.55149194,2006,31.71755,-101.420765,497600,0,0,155650,497600,4,2,7411,6,2,1,4,3,18,7,2,3,9
39.468,2006,31.70983,-101.420765,497600,0,0,155650,497600,4,2,7356,6,2,1,4,3,18,7,2,3,9
12.164,2006,31.70857,-101.420765,383600,0,0,101720,383600,4,2,6275,6,2,1,1,4,5,7,2,3,9
10.876,2006,31.69948,-101.420765,374500,0,0,100975,374500,5,2,7453,6,2,1,1,4,5,7,2,3,9
30.20941884,2006,31.75812,-101.420765,0,15750,0,523700,440534,10,12,8913,4,2,1,4,3,18,7,1,3,6
31.73182787,2006,31.76793,-101.420765,0,14250,0,507200,374212,10,11,6923,3,2,1,3,3,18,7,1,1,1
29.40701198,2006,31.77755,-101.420765,0,17250,0,553160,493325,9,14,9252,3,2,1,4,3,18,7,1,3,6
19.20842649,2007,31.74807,-101.420765,0,9750,0,702360,326653,2,9,6857,4,2,1,3,3,5,7,4,3,11
14.8,2006,31.74469,-101.420765,0,9750,0,505100,358519,11,9,8956,4,2,1,3,3,5,7,1,3,6
23.14,2006,31.72326,-101.420765,0,12750,0,522940,446731,12,11,6928,4,2,1,4,3,18,7,4,3,11
18.328,2007,31.72145,-101.420765,0,10750,0,207880,279747,2,8,8424,3,2,1,3.26621257861197,3.04450166671937,26,7,4,3,11
13.684,2007,31.71903,-101.420765,0,3000,0,506200,3000,2,6,9556,3,2,1,4,3,5,7,4,3,8.08452459590953
55.3862174,2006,31.65737,-101.420765,241752,0,0,61500,241752,12,1,6272,6,2,1,4,3,5,7,4,3,9
31.07150317,2007,31.70227,-101.420765,273756,0,0,449160,273756,2,4,8400,6,27,1,1,2,18,7,4,3,3
46.04231632,2006,31.69705,-101.420765,244692,0,0,350761,244692,8,3,8190,6,27,1,1,3,18,7,3,3,3
13.624,2007,31.73249,-101.420765,0,14250,0,523253,426297,1,12,6876,4,2,1,4,3,18,7,4,3,11
20.67705873,2007,31.74408,-101.420765,0,14250,0,535260,400174,1,12,6864,4,2,1,1,3,5,7,4,3,11
30.18,2006,31.65592,-101.420765,353400,0,0,123000,353400,7,2,7659,6,2,1,3,3,5,7,3,3,9
12.671,2007,31.72402,-101.420765,0,11250,0,505220,361845,3,10,6869,4,2,1,3,3,5,7,2,3,11
6.904,2007,31.73191,-101.420765,0,12000,0,267520,273394,4,7,7525,4,27,1,3,4,11,7,2,3,11
45.27229149,2007,31.96402,-101.420765,649698,0,0,802700,649698,5,1,6862,4,13,1,3,4,13,1,2,3,3
44.02376458,2007,31.95298,-101.420765,546126,0,0,799108,546126,5,4,6878,4,13,1,4,4,13,1,2,3,6.54041353925428
25.31341516,2007,31.73285,-101.420765,0,13750,0,225120,329397,4,10,7973,4,27,1,3,4,26,7,2,3,11
42.268,2007,31.97911,-101.420765,0,21000,0,406120,768058,8,13,8277,4,27,1,1,5,26,7,3,3,6
15.424,2007,31.66779,-101.420765,366450,0,0,123000,366450,1,2,7689,6,2,1,1,4,5,7,4,3,3
34.88893209,2007,31.77384,-101.420765,365484,0,0,123000,365484,2,2,8193,4,2,1,5,3,5,7,4,3,3
20.11541731,2007,31.74921,-101.420765,0,9520,0,603100,602308,6,7,8142,4,14,1,3,1,18,7,3,3,6
20.072,2007,31.74169,-101.420765,0,0,0,584800,633108,7,4,6477,4,14,1,4,1,18,7,3,3,6
12.64935437,2007,31.72677,-101.420765,0,10750,0,234101,256538,6,8,7943,6,27,1,1,3,26,7,3,3,11
20.7,2007,31.75205,-101.420765,536943,4000,0,610000,540943,6,4,8288,4,14,1,4,1,18,7,3,3,3
17.63959573,2008,31.76536,-101.420765,0,14250,0,600723,417479,3,12,6911,4,2,1,4,3,5,7,2,3,11
28.09232775,2007,31.71962,-101.420765,0,8250,0,591188,494881,9,10,6990,3,2,1,4,3,18,7,1,3,11
22.11157295,2008,31.65722,-101.420765,258392,0,0,466275,258392,4,2,7672,6,2,1,4,4,18,7,2,3,9
10.56,2007,31.72807,-101.420765,0,16500,0,561280,468007,11,10,6900,4,2,1,4,3,5,7,1,3,11
40.092,2007,31.85385,-101.420765,616476,0,0,799820,616476,11,1,6606,4,13,1,1,5,1,1,1,3,3
8.086191594,2008,31.72585,-101.420765,0,14250,0,474363,383661,5,12,6982,3,2,1,4,3,18,7,2,3,11
8.808,2008,31.71945,-101.420765,0,14250,0,522900,398382,4,12,6920,4,2,1,4,3,18,7,2,3,11
24.40562809,2008,31.76379,-101.420765,0,17000,0,539400,501369,4,12,6934,3,2,1,3,3,5,7,2,3,11
42.25256061,2008,31.76703,-101.420765,0,15100,0,545820,483344,5,12,6931,3,2,1,3,3,5,7,2,3,11
21.94799122,2008,31.97212,-101.420765,0,19000,0,552180,571036,6,14,6427,4,27,1,3,5,5,7,3,3,11
9.735,2008,31.71701,-101.420765,0,14250,0,474820,417946,3,12,6974,3,2,1,3.29708602244875,3.04325583426663,18,7,2,3,11
11.934,2008,31.7278,-101.420765,0,14250,0,638440,466207,2,12,6875,4,2,1,3,3,18,7,4,3,11
49.36,2007,31.96851,-101.420765,15848,0,0,831195,15848,11,1,6875,4,13,1,4,4,18,7,1,3,9
25.04,2008,31.71347,-101.420765,0,17250,0,526821,374326,1,12,6451,6,27,1,1,3,18,7,4,3,11
48.844,2008,31.81536,-101.420765,0,5250,0,470520,178166,2,6,6914,4,27,1,5,2,18,7,4,3,11
25.376,2008,31.79785,-101.420765,0,7500,0,222173,229228,3,8,6525,4,27,1,3,4,5,7,2,3,11
24.14,2008,31.79072,-101.420765,0,13500,0,514420,445228,3,12,6523,4,27,1,1,3,5,7,2,3,11
66.2739258,2008,31.9583,-101.420765,10000,29000,0,413900,547689,3,16,10024,4,4,1,4,5,4,6,2,3,9
32.076,2008,31.68924,-101.420765,0,6000,0,606324,217068,4,8,6540,6,27,1,1,3,16,5,2,3,11
22.828,2008,31.68763,-101.420765,0,6000,0,580155,223988,4,8,6506,6,27,1,4,3,16,5,2,3,11
15.55114674,2008,31.69162,-101.420765,0,6000,0,579200,238412,5,8,6481,6,27,1,4,3,3,5,2,3,11
11.188,2008,31.72171,-101.420765,0,12000,0,602280,559628,11,14,7082,3,2,1,4,3,18,7,1,3,11
25.4251233,2008,31.71538,-101.420765,0,20000,0,648070,696928,11,14,6990,3,2,1,4,3,18,7,1,3,11
16.768,2008,31.71336,-101.420765,0,19000,0,621902,589219,11,14,6997,3,2,1,4,3,18,7,1,3,11
45.376,2008,31.85353,-101.420765,0,16128,0,831195,831195,8,2,6556,4,13,1,3,3,1,1,3,3,6
17.38,2008,31.98413,-101.420765,0,18000,0,831195,697906,11,22,7267,4,27,1,4,5,11,7,1,3,11
35.256,2008,31.74877,-101.420765,0,34146,0,402403,34146,6,8,9254,4,22,1,4,4,26,7,3,1,1
14.11666124,2009,31.99172,-101.420765,0,10500,0,224088,574026,5,12,7818,4,27,1,1,5,26,7,2,3,11
55.764,2009,31.97545,-101.420765,0,14000,0,449794,831195,1,12,8006,4,27,1,3,5,26,7,4,3,11
28.724,2008,31.70944,-101.420765,0,12080,0,318295,486155,12,10,9742,6,4,1,1,5,21,1,4,3,11
19.24918288,2008,31.76686,-101.420765,0,12000,0,672071,767718,11,14,6463,4,27,1,3,4,18,7,1,3,11
62.13588059,2008,31.77082,-101.420765,0,12500,0,257881,473171,11,9,8442,4,27,1,3,1,21,1,1,3,11
68.40805807,2008,31.75941,-101.420765,101886.552417035,9229.6066268318,415.394191927666,431943.954583438,369255.781660829,10,1,7450,4,22,1,5,3,11,7,1,4,6.65290222328718
27.776,2008,31.76303,-101.420765,0,10500,0,695140,635437,10,12,6423,4,27,1,4,5,18,7,1,3,11
55.332,2009,31.97958,-101.420765,0,13500,0,744620,831195,3,16,7684,4,27,1,1,5,26,7,2,3,11
16.288,2009,31.77052,-101.420765,0,141527,57594,516840,520460,1,13,6473,4,27,1,3,3,17,6,4,3,11
39.94539112,2009,31.79265,-101.420765,0,10000,0,554580,453297,5,12,6555,4,27,1,1,4,18,7,2,3,11
55.758,2009,31.76336,-101.420765,0,10500,0,563980,428505,2,12,6559,4,27,1,1,3,18,7,4,3,11
