WellID,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Depth.Base,Propping.Agent.Amount,Subarea,Operator,County,Completion.Date,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
2,2003,31.65753,-101.420765,8550,3,6,0,3500,187446,0,471330,190946,40.2,3,5,6825,7004,136330,5,27,1,2003-03-20,1,3,18,3,7,2,3,11
3,2003,31.71566,-101.420765,8550,3,8,0,5000,201390,0,476570,206390,39.05038257,3,3,6832,7011,0,4,27,1,2003-03-20,3,3,5,1,7,2,2,1
5,2004,31.95401,-101.420765,10500,1,1,334900,0,0,0,553020,334900,51.856,2,1,6821,9412,553020,4,13,1,2004-02-07,2,4,5,1,7,4,3,3
7,2003,31.70024,-101.420765,8900,1,1,247212,0,0,0,265000,247212,22.156,4,1,6155,8690,265000,6,13,1,2003-04-05,4,4,5,1,7,2,3,9
10,2003,31.69134,-101.420765,8575,3,8,0,5000,196636,0,318180,201636,45.276,4,8,6839,7027,0,5,27,1,2003-04-24,5,3,18,3,7,2,1,1
11,2003,31.66554,-101.420765,8600,3,7,0,5000,207551,0,471280,212551,57.8056949,4,7,6816,6970,135080,5,27,1,2003-04-24,1,3,18,3,7,2,3,11
13,2003,31.65428,-101.420765,8440,3,8,0,5000,198685,0,470300,203685,29.45106486,7,8,6624,6789,0,5,27,1,2003-07-10,4,3,18,3,7,3,1,1
14,2003,31.67106,-101.420765,8530,2,5,0,3500,146370,0,335820,149870,24.156,7,5,7410,7734,0,5,27,1,2003-07-10,4,3,11,2,7,3,1,1
16,2003,31.71988,-101.420765,8640,3,7,0,5000,198529,0,471910,203529,37.97570526,8,7,6815,6992,135990,4,27,1,2003-08-21,4,2,18,3,7,3,3,11
17,2003,31.65389,-101.420765,8335,3,8,0,5000,198996,0,472820,203996,42.256,7,8,6504,6843,0,6,27,1,2003-07-10,4,3,18,3,7,3,1,1
22,2003,31.71259,-101.420765,8635,3,6,0,5000,183309,0,471030,188309,55.65707668,8,6,6826,7201,124630,4,27,1,2003-08-20,3,3,5,1,7,3,3,11
23,2003,31.71139,-101.420765,8605,3,8,0,5000,189252,0,471100,194252,40.04565233,10,8,6806,7178,0,4,27,1,2003-10-01,1,2,5,1,7,1,1,1
25,2003,31.70902,-101.420765,8650,3,8,0,5000,195787,0,471570,200787,54.56512178,10,8,6816,7184,0,4,27,1,2003-10-01,3,3,5,1,7,1,1,1
26,2004,31.7163,-101.420765,10550,1,1,0,0,317478,0,384990,317478,38.49591628,1,1,6155,8823,384990,6,13,1,2004-01-26,1,2,18,3,7,4,3,11
31,2004,31.65926,-101.420765,8560,3,6,0,5000,183918,0,472190,188918,51.73461391,11,6,6748,6928,131493,5,27,1,2004-11-26,1,3,18,3,7,1,3,11
32,2005,31.67149,-101.420765,8240,4,8,0,10500,270297,0,488570,280797,28.60094527,2,8,6386,6520,133448,6,27,1,2005-02-02,4,2,18,3,7,4,3,11
33,2005,31.77613,-101.420765,10255,1,1,398454,0,0,0,521740,398454,39.1412402,5,1,5802,9299,521740,4,13,1,2005-05-17,4,4,5,1,7,2,3,3
35,2006,31.65334,-101.420765,8064,2,2,383200,0,0,0,100450,383200,42.264,2,2,7641,7938,49250,6,2,1,2006-02-09,3,3,5,1,7,4,3,9
36,2006,31.70647,-101.420765,8243,2,2,383200,0,0,0,100450,383200,12.48,2,2,6311,7347,51200,6,2,1,2006-02-24,1,3,5,1,7,4,3,9
37,2006,31.71755,-101.420765,8255,2,2,497600,0,0,0,155650,497600,18.55149194,4,2,7411,8052,99750,6,2,1,2006-04-19,4,3,18,3,7,2,3,9
38,2006,31.70983,-101.420765,8223,2,2,497600,0,0,0,155650,497600,39.468,4,2,7356,7961,99750,6,2,1,2006-04-13,4,3,18,3,7,2,3,9
40,2006,31.70857,-101.420765,8205,2,2,383600,0,0,0,101720,383600,12.164,4,2,6275,7328,51350,6,2,1,2006-04-22,1,4,5,1,7,2,3,9
42,2006,31.69948,-101.420765,8283,2,2,374500,0,0,0,100975,374500,10.876,5,2,7453,8133,58975,6,2,1,2006-05-07,1,4,5,1,7,2,3,9
44,2006,31.75812,-101.420765,9843,6,12,0,15750,424784,0,523700,440534,30.20941884,10,12,8913,9151,18182,4,2,1,2006-10-21,4,3,18,3,7,1,3,6
45,2006,31.76793,-101.420765,9902,5,11,0,14250,359962,0,507200,374212,31.73182787,10,11,6923,9551,0,3,2,1,2006-10-10,3,3,18,3,7,1,1,1
46,2006,31.77755,-101.420765,9882,7,14,0,17250,476075,0,553160,493325,29.40701198,9,14,9252,9538,16847,3,2,1,2006-09-06,4,3,18,3,7,1,3,6
48,2007,31.74807,-101.420765,9775,5,9,0,9750,316903,0,702360,326653,19.20842649,2,9,6857,7025,128358,4,2,1,2007-02-20,3,3,5,1,7,4,3,11
49,2006,31.74469,-101.420765,9806,5,9,0,9750,348769,0,505100,358519,14.8,11,9,8956,9041,17637,4,2,1,2006-11-30,3,3,5,1,7,1,3,6
52,2006,31.72326,-101.420765,9843,6,11,0,12750,433981,0,522940,446731,23.14,12,11,6928,7096,133871,4,2,1,2006-12-16,4,3,18,3,7,4,3,11
