EUR_o..Mstb.,Subarea,Operator,County,Completion.Year,Surface.Latitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,Type,Depth.Top,Fluid.Amount,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Type,Additive,Mesh.Size,BEND..KHW.
40.2,5,27,1,2003,31.65753,8550,1,3,3,7,3,6,471330,190946,3,6825,54558,11,136330,3,11,6,10605.62
39.05038257,4,27,1,2003,31.71566,8550,3,3,1,7,3,8,476570,206390,2,6832,1000,1,0,6,11,5.9999999757,10565.34
51.856,4,13,1,2004,31.95401,10500,2,4,1,7,1,1,553020,334900,3,6821,334900,3,553020,3,14.8582119213,5.4206177181,10275.69
22.156,6,13,1,2003,31.70024,8900,4,4,1,7,1,1,265000,247212,3,6155,247212,9,265000,3,12.7299777338,6.2833766299,10056.55
45.276,5,27,1,2003,31.69134,8575,5,3,3,7,3,8,318180,201636,1,6839,500,1,0,6,11,5.9514580607,10590.94
57.8056949,5,27,1,2003,31.66554,8600,1,3,3,7,3,7,471280,212551,3,6816,58044,11,135080,3,13.2532794141,6,10599.31
29.45106486,5,27,1,2003,31.65428,8440,4,3,3,7,3,8,470300,203685,1,6624,500,1,0,6,11,5.9867032047,10455.57
24.156,5,27,1,2003,31.67106,8530,4,3,2,7,2,5,335820,149870,1,7410,1000,1,0,6,16,5.9999999775,10511.71
37.97570526,4,27,1,2003,31.71988,8640,4,2,3,7,3,7,471910,203529,3,6815,53096,11,135990,3,12.9344824097,6,10553.93
42.256,6,27,1,2003,31.65389,8335,4,3,3,7,3,8,472820,203996,1,6504,500,1,0,6,11,5.9999999803,10383.75
55.65707668,4,27,1,2003,31.71259,8635,3,3,1,7,3,6,471030,188309,3,6826,50358,11,124630,3,12.8472937344,6,10560.65
40.04565233,4,27,1,2003,31.71139,8605,1,2,1,7,3,8,471100,194252,1,6806,500,1,0,6,11,5.9447653485,10544.29
54.56512178,4,27,1,2003,31.70902,8650,3,3,1,7,3,8,471570,200787,1,6816,500,1,0,6,11,5.9999999739,10560.28
38.49591628,6,13,1,2004,31.7163,10550,1,2,3,7,1,1,384990,317478,3,6155,317478,11,384990,3,18,6.1455504332,10032.39
51.73461391,5,27,1,2004,31.65926,8560,1,3,3,7,3,6,472190,188918,3,6748,54138,11,131493,3,13.8763479805,6,10553.94
28.60094527,6,27,1,2005,31.67149,8240,4,2,3,7,4,8,488570,280797,3,6386,53970,11,133448,3,16.1903049141,6,10269.29
39.1412402,4,13,1,2005,31.77613,10255,4,4,1,7,1,1,521740,398454,3,5802,398454,3,521740,3,17,6,10216.97
42.264,6,2,1,2006,31.65334,8064,3,3,1,7,2,2,100450,383200,3,7641,131800,9,49250,3,17,6,10127.76
12.48,6,2,1,2006,31.70647,8243,1,3,1,7,2,2,100450,383200,3,6311,251400,9,51200,3,14.1151231852,6,10205.13
18.55149194,6,2,1,2006,31.71755,8255,4,3,3,7,2,2,155650,497600,3,7411,252900,9,99750,3,15.5515467517,6,10160.27
39.468,6,2,1,2006,31.70983,8223,4,3,3,7,2,2,155650,497600,3,7356,252900,9,99750,3,17,6,10112.72
12.164,6,2,1,2006,31.70857,8205,1,4,1,7,2,2,101720,383600,3,6275,251600,9,51350,3,17,4,10177.76
10.876,6,2,1,2006,31.69948,8283,1,4,1,7,2,2,100975,374500,3,7453,167700,9,58975,3,14.4345307682,6,10208.98
30.20941884,4,2,1,2006,31.75812,9843,4,3,3,7,6,12,523700,440534,3,8913,73425,6,18182,3,16.3375576907,6,10545.02
31.73182787,3,2,1,2006,31.76793,9902,3,3,3,7,5,11,507200,374212,1,6923,1000,1,0,6,14.2410290185,5.6526582508,10532.01
29.40701198,3,2,1,2006,31.77755,9882,4,3,3,7,7,14,553160,493325,3,9252,78753,6,16847,3,15.9484118951,6,10520.65
19.20842649,4,2,1,2007,31.74807,9775,3,3,1,7,5,9,702360,326653,3,6857,55157,11,128358,3,15.5430014747,6,10562.89
14.8,4,2,1,2006,31.74469,9806,3,3,1,7,5,9,505100,358519,3,8956,66985,6,17637,3,16.3320490302,6,10555.15
23.14,4,2,1,2006,31.72326,9843,4,3,3,7,6,11,522940,446731,3,6928,51612,11,133871,3,15.6795460749,6,10611.98
