Completion.Year,Surface.Latitude,Surface.Longitude,Fluid.Water..Gals.,Acid..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
2003,31.65753,-101.420765,0,3500,0,471330,190946,40.2,3,5,6825,5,27,1,1,3,18,7,2,3,11
2003,31.71566,-101.420765,0,5000,0,476570,206390,39.05038257,3,3,6832,4,27,1,3,3,5,7,2,2,1
2004,31.95401,-101.420765,334900,0,0,553020,334900,51.856,2,1,6821,4,13,1,2,4,5,7,4,3,3
2003,31.70024,-101.420765,247212,0,0,265000,247212,22.156,4,1,6155,6,13,1,4,4,5,7,2,3,9
2003,31.69134,-101.420765,0,5000,0,318180,201636,45.276,4,8,6839,5,27,1,5,3,18,7,2,1,1
2003,31.66554,-101.420765,0,5000,0,471280,212551,57.8056949,4,7,6816,5,27,1,1,3,18,7,2,3,11
2003,31.65428,-101.420765,0,5000,0,470300,203685,29.45106486,7,8,6624,5,27,1,4,3,18,7,3,1,1
2003,31.67106,-101.420765,0,3500,0,335820,149870,24.156,7,5,7410,5,27,1,4,3,11,7,3,1,1
2003,31.71988,-101.420765,0,5000,0,471910,203529,37.97570526,8,7,6815,4,27,1,4,2,18,7,3,3,11
2003,31.65389,-101.420765,0,5000,0,472820,203996,42.256,7,8,6504,6,27,1,4,3,18,7,3,1,1
2003,31.71259,-101.420765,0,5000,0,471030,188309,55.65707668,8,6,6826,4,27,1,3,3,5,7,3,3,11
2003,31.71139,-101.420765,0,5000,0,471100,194252,40.04565233,10,8,6806,4,27,1,1,2,5,7,1,1,1
2003,31.70902,-101.420765,0,5000,0,471570,200787,54.56512178,10,8,6816,4,27,1,3,3,5,7,1,1,1
2004,31.7163,-101.420765,0,0,0,384990,317478,38.49591628,1,1,6155,6,13,1,1,2,18,7,4,3,11
2004,31.65926,-101.420765,0,5000,0,472190,188918,51.73461391,11,6,6748,5,27,1,1,3,18,7,1,3,11
2005,31.67149,-101.420765,0,10500,0,488570,280797,28.60094527,2,8,6386,6,27,1,4,2,18,7,4,3,11
2005,31.77613,-101.420765,398454,0,0,521740,398454,39.1412402,5,1,5802,4,13,1,4,4,5,7,2,3,3
2006,31.65334,-101.420765,383200,0,0,100450,383200,42.264,2,2,7641,6,2,1,3,3,5,7,4,3,9
2006,31.70647,-101.420765,383200,0,0,100450,383200,12.48,2,2,6311,6,2,1,1,3,5,7,4,3,9
2006,31.71755,-101.420765,497600,0,0,155650,497600,18.55149194,4,2,7411,6,2,1,4,3,18,7,2,3,9
2006,31.70983,-101.420765,497600,0,0,155650,497600,39.468,4,2,7356,6,2,1,4,3,18,7,2,3,9
2006,31.70857,-101.420765,383600,0,0,101720,383600,12.164,4,2,6275,6,2,1,1,4,5,7,2,3,9
2006,31.69948,-101.420765,374500,0,0,100975,374500,10.876,5,2,7453,6,2,1,1,4,5,7,2,3,9
2006,31.75812,-101.420765,0,15750,0,523700,440534,30.20941884,10,12,8913,4,2,1,4,3,18,7,1,3,6
2006,31.76793,-101.420765,0,14250,0,507200,374212,31.73182787,10,11,6923,3,2,1,3,3,18,7,1,1,1
2006,31.77755,-101.420765,0,17250,0,553160,493325,29.40701198,9,14,9252,3,2,1,4,3,18,7,1,3,6
2007,31.74807,-101.420765,0,9750,0,702360,326653,19.20842649,2,9,6857,4,2,1,3,3,5,7,4,3,11
2006,31.74469,-101.420765,0,9750,0,505100,358519,14.8,11,9,8956,4,2,1,3,3,5,7,1,3,6
2006,31.72326,-101.420765,0,12750,0,522940,446731,23.14,12,11,6928,4,2,1,4,3,18,7,4,3,11
2007,31.72145,-101.420765,0,10750,0,207880,279747,18.328,2,8,8424,3,2,1,NA,NA,26,7,4,3,11
2007,31.71903,-101.420765,0,3000,0,506200,3000,13.684,2,6,9556,3,2,1,4,3,5,7,4,3,NA
