Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Base,Fluid.Type,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Treated.Stage.Height,Total.Height,Geology.Score
0,3500,187446,471330,190946,54558,136330,304.793296089385,761.620111731844,2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.65753,-101.72135,8550,160,40,3,3,6,0,40.2,2,4,5,FRAC,7004,X-LINKGEL,SAND,NA,24,HCL,20/40,179,1598,5239.72
0,5000,201390,476570,206390,1000,0,5.58659217877095,0,3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.71566,-101.71787,8550,40,40,4,3,8,0,39.05038257,1,4,3,FLSH,7011,A,undefined,NA,29,HCL,NA,179,2466.73,6086.89
334900,0,0,553020,334900,334900,553020,129.255113855654,213.438826707835,5,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38022,2004,31.95401,-101.74911,10500,20,80,4,1,1,0,51.856,1,4,1,FRAC,9412,FLUD,SAND,NA,NA,NA,NA,2591,2632,6256
247212,0,0,265000,247212,247212,265000,97.5195266272189,104.536489151874,7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37714,2003,31.70024,-101.52357,8900,80,80,4,1,1,0,22.156,1,4,1,FRAC,8690,W,SAND,NA,NA,NA,NA,2535,2492.41,6919.83
0,5000,196636,318180,201636,500,0,2.65957446808511,0,10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.69134,-101.72307,8575,Over 160,40,3,3,8,0,45.276,2,4,8,ACID,7027,A,undefined,NA,28,HCL,NA,188,1561,5210.76
0,5000,207551,471280,212551,58044,135080,376.909090909091,877.142857142857,11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.66554,-101.71945,8600,160,40,3,3,7,0,57.8056949,2,4,7,FRAC,6970,X-LINKGEL,SAND,NA,NA,NA,20/40,154,1546,5269.96
0,5000,198685,470300,203685,500,0,3.03030303030303,0,13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65428,-101.6588,8440,80,40,3,3,8,0,29.45106486,2,4,8,ACID,6789,A,undefined,NA,34,HCL,NA,165,1580,5326.44
0,3500,146370,335820,149870,1000,0,3.08641975308642,0,14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.67106,-101.68159,8530,80,40,2,2,5,0,24.156,3,4,5,ACID,7734,A,undefined,NA,NA,SCIN,NA,324,1022,4096.8
0,5000,198529,471910,203529,53096,135990,299.977401129944,768.305084745763,16,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37852,2003,31.71988,-101.71456,8640,80,20,3,3,7,0,37.97570526,2,4,7,FRAC,6992,X-LINKGEL,SAND,NA,NA,NA,20/40,177,1574,5223.52
0,5000,198996,472820,203996,500,0,1.47492625368732,0,17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65389,-101.62808,8335,80,40,3,3,8,0,42.256,2,4,8,ACID,6843,A,undefined,NA,NA,HCL,NA,339,1585,5391.12
0,5000,183309,471030,188309,50358,124630,134.288,332.346666666667,22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37851,2003,31.71259,-101.71632,8635,40,40,4,3,6,0,55.65707668,1,4,6,FRAC,7201,X-LINKGEL,SAND,NA,NA,NA,20/40,375,2617,6223.04
0,5000,189252,471100,194252,500,0,1.36307193188076,0,23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.71139,-101.70645,8605,160,20,4,3,8,0,40.04565233,1,4,8,ACID,7178,A,undefined,NA,NA,HCL,NA,372,2583,6139.96
0,5000,195787,471570,200787,500,0,1.36307193188076,0,25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.70902,-101.71715,8650,40,40,4,3,8,0,54.56512178,1,4,8,ACID,7184,A,undefined,NA,30,HCL,NA,368,2607,6204.72
0,0,317478,384990,317478,317478,384990,118.994752623688,144.299100449775,26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38010,2004,31.7163,-101.52017,10550,160,20,3,1,1,0,38.49591628,2,4,1,FRAC,8823,X-LINKGEL,SAND,NA,NA,WGEL,NA,2668,1640,5825
0,5000,183918,472190,188918,54138,131493,300.766666666667,730.516666666667,31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38315,2004,31.65926,-101.69933,8560,160,40,3,3,6,0,51.73461391,2,4,6,FRAC,6928,X-LINKGEL,SAND,NA,30,NA,20/40,180,1606,5234.32
0,10500,270297,488570,280797,53970,133448,402.761194029851,995.880597014925,32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38383,2005,31.67149,-101.5849,8240,80,20,3,4,8,0,28.60094527,2,4,8,FRAC,6520,X-LINKGEL,SAND,NA,33,NA,20/40,134,1609,5360.04
398454,0,0,521740,398454,398454,521740,113.941664283672,149.196454103517,33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38487,2005,31.77613,-101.59246,10255,80,80,4,1,1,0,39.1412402,1,4,1,FRAC,9299,FLUD,SAND,NA,NA,SFAC,20/40,3497,2715,6566
