Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Additive,Mesh.Size,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,Class
0,3500,187446,471330,190946,54558,136330,2,31.4327307694649,47.2149192475855,45.0003683905377,37698,2003,31.65753,-101.72135,8550,44.4812271666837,39.9132468291517,40.7605692326044,3,6,0,40.2,45.6894734043355,41.0841740484749,5,46.2993373360375,6825,7004,45.6145114608116,46.5028002169063,46.4885978294857,44.2500420302041,35.3283279841421,5930.49,6804,7377,8402,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13,1
0,5000,201390,476570,206390,23277.5,0,3,48.2678540898953,47.2149192475855,45.0003683905377,37698,2003,31.71566,-101.71787,8550,48.5997313820817,39.9132468291517,36.3453506504094,3,8,0,39.05038257,39.4022307057895,41.0841740484749,3,49.8269617466667,6832,7011,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5929.27,6835,7373,8396,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15,1
334900,0,0,553020,334900,334900,553020,5,48.2678540898953,48.1210657990625,45.0003683905377,38022,2004,31.95401,-101.74911,10500,39.3953253532759,47.6641071277034,36.3453506504094,1,1,0,51.856,39.4022307057895,41.0841740484749,1,46.2993373360375,6821,9412,57.459789077293,46.5028002169063,46.4885978294857,NA,NA,5716,6778,7378,8348,8619,8981,9811,10222,10268.8,10275.69,10297,10622.81,10815.38,10866.76,1
247212,0,0,265000,247212,247212,265000,7,37.4785431919082,48.1210657990625,45.0003683905377,37714,2003,31.70024,-101.52357,8900,44.1646661294716,47.6641071277034,36.3453506504094,1,1,0,22.156,39.4022307057895,41.0841740484749,1,46.2993373360375,6155,8690,35.81895018376,46.5028002169063,46.4885978294857,NA,NA,5266,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28,1
0,5000,196636,318180,201636,23277.5,0,10,31.4327307694649,47.2149192475855,45.0003683905377,37733,2003,31.69134,-101.72307,8575,43.4336303913043,39.9132468291517,40.7605692326044,3,8,0,45.276,45.6894734043355,41.0841740484749,8,41.8548677471605,6839,7027,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5792,6829,7366,8390,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25,1
0,5000,207551,471280,212551,58044,135080,11,31.4327307694649,47.2149192475855,45.0003683905377,37733,2003,31.66554,-101.71945,8600,44.4812271666837,39.9132468291517,40.7605692326044,3,7,0,57.8056949,45.6894734043355,41.0841740484749,7,46.2993373360375,6816,6970,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5809,6805,7355,8351,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48,1
0,5000,198685,470300,203685,23277.5,0,13,31.4327307694649,47.2149192475855,45.0003683905377,37810,2003,31.65428,-101.6588,8440,44.1646661294716,39.9132468291517,40.7605692326044,3,8,0,29.45106486,45.6894734043355,41.0841740484749,8,41.8548677471605,6624,6789,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5544,6604,7163,8184,8470.36,8917.12,9907.24,10241.4,10365.25,10455.57,10577.12,10771.5,10926.3,10975.57,1
0,3500,146370,335820,153212,23277.5,0,14,31.4327307694649,47.2149192475855,45.0003683905377,37810,2003,31.67106,-101.68159,8530,44.1646661294716,39.9132468291517,45.572731767735,2,5,0,24.156,49.8051695977933,41.0841740484749,5,41.8548677471605,7410,7734,43.0317844528804,43.0362471476923,43.0362471476923,37.446070756,NA,5691,6686,7245,8267,8524.7,8980.57,9956.08,10289.24,10413.24,10511.71,10691.05,10836.67,10993.99,11046.85,1
0,5000,198529,471910,203529,53096,135990,16,48.2678540898953,47.2149192475855,45.0003683905377,37852,2003,31.71988,-101.71456,8640,44.1646661294716,41.1683860955319,40.7605692326044,3,7,0,37.97570526,45.6894734043355,41.0841740484749,7,46.2993373360375,6815,6992,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5792,6806,7363,8380,8644.63,9024.64,10003.75,10319.78,10464.22,10553.93,10695.7,10931.85,11070.67,11140.54,1
0,5000,198996,472820,203996,23277.5,0,17,37.4785431919082,47.2149192475855,45.0003683905377,37810,2003,31.65389,-101.62808,8335,44.1646661294716,39.9132468291517,40.7605692326044,3,8,0,42.256,45.6894734043355,41.0841740484749,8,41.8548677471605,6504,6843,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5404,6507,7064,8092,8390.28,8813.81,9836.58,10157.58,10288.63,10383.75,10442.59,10677.06,10826.65,10877.01,1
