WellID,EUR_o..Mstb.,Fluid.Water..Gals.,Acid..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Subarea,Operator,Completion.Date,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Treatment.Records,Deepest_Zone,Depth.Top,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Additive,BEND..KHW.
209,182.758,0,13500,1175163,1115891,836252,48.2678540898953,47.2149192475855,40634,31.94875,-101.68634,10191,43.4336303913043,53.6855631306289,59.9755520332727,6,56.5692692866102,8346,46.9919495209192,46.5028002169063,46.4885978294857,50.075857325368,10149.81
254,129.9206302,0,0,1391744,1369538,23277.5,48.2678540898953,47.2149192475855,40731,31.98098,-101.67887,10198,44.4812271666837,53.6855631306289,59.9755520332727,4,56.5692692866102,6507,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,10151.24
259,152.468,0,15500,1167000,1408201.2,420000,37.4785431919082,96.670966665,40665,31.67198,-101.49734,10373,44.1646661294716,59.7140833134848,107.375798014,9,100.836732671333,9816,48.0662535151724,46.5028002169063,46.4885978294857,36.9588168142941,10035.5
265,257.668,0,10120.2647910597,984129.837596167,808446.556229366,122528.31480206,37.4785431919082,42.0641074122059,40881,31.66448,-101.45051,10346,44.1646661294716,59.7140833134848,80.4217992966667,12,68.9704655163636,9948,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,10442.5046019741
286,109.128,927948,12096,866438,940044,927948,37.4785431919082,48.1210657990625,40771,31.72321,-101.52211,10533,48.5997313820817,47.6641071277034,79.7546562371429,2,68.9704655163636,7050,57.459789077293,46.5028002169063,46.4885978294857,50.075857325368,10030.15
288,153.18,0,10,866588,650545,23277.5,48.2678540898953,35.0804697180488,40793,31.92965,-101.70684,10913,44.1646661294716,59.7140833134848,107.375798014,11,100.836732671333,10584,43.0317844528804,43.0362471476923,43.0362471476923,63.0173333333333,10204.71
296,107.0470321,0,16500,1398355.9,1317458,989269,48.2678540898953,47.2149192475855,40829,31.95678,-101.70281,10232,48.5997313820817,53.6855631306289,64.6750664149306,6,59.5113455050573,8300,45.6145114608116,46.5028002169063,46.4885978294857,50.075857325368,10157.72
298,124.084,1028748,0,955869,1028748,1028748,48.2678540898953,80.4769158391667,40726,31.82485,-101.58966,10539,48.5997313820817,53.6855631306289,52.7388571428571,1,100.836732671333,7510,57.459789077293,46.5028002169063,46.4885978294857,49.0883759262039,10192.25
314,113.708,753929.411414002,5543.71980811887,968269.004954506,862420.150004413,832022.982887943,37.4785431919082,42.0641074122059,40883,31.65719,-101.43094,10277,44.1646661294716,53.6855631306289,202.166666666667,1,100.836732671333,5964,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,10332.7207106655
349,185.44,735000,0,623671,735000,735000,48.2678540898953,69.0628571428571,40813,31.86062,-101.7288,10880,48.5997313820817,39.9132468291517,47.8980746184318,1,59.5113455050573,8600,57.459789077293,46.5028002169063,46.4885978294857,51.1515639634195,10373.12
368,218.792,1074780,0,944021,1074780,1074780,48.2678540898953,80.4769158391667,41122,31.80385,-101.58227,10669,48.5997313820817,53.6855631306289,79.7546562371429,1,68.9704655163636,7338,57.459789077293,46.5028002169063,46.4885978294857,41.9676327576647,10168.72
393,113.672,0,16500,1398355.9,1408201.2,168084,48.2678540898953,47.2149192475855,40907,31.83816,-101.59794,10152,48.5997313820817,53.6855631306289,66.4732684092977,8,57.2754397558778,9924,45.6145114608116,46.5028002169063,46.4885978294857,41.9156553657143,10219.68
454,231.404,0,0,635152,808500,42000,48.2678540898953,32.2985667405982,41042,31.82608,-101.54967,10887,48.5997313820817,39.9132468291517,61.3417020506667,8,68.9704655163636,10150,45.6145114608116,46.5028002169063,68.6977972815385,48.7225007616148,10042.26
461,107.336,295008,0,1398355.9,295008,295008,48.2678540898953,64.8186666666667,41134,31.92888,-101.7731,10655,44.4812271666837,39.9132468291517,67.5302083073333,1,56.5692692866102,7452,35.81895018376,46.5028002169063,46.4885978294857,39.5887451325587,10312.19
462,333.52,0,0,1398355.9,1408201.2,1231011.6,48.2678540898953,101.899864313182,41120,31.74934,-101.59212,10634,46.1045933759166,47.6896993046646,69.0212798084557,1,59.1568108608458,8346,46.9919495209192,46.5028002169063,46.4885978294857,36.9588168142941,10369.1646080462
665,158.02,0,10000,163000,268005,67655,57.1815579561387,48.1210657990625,38070,31.6916,-101.9886,10515,44.4812271666837,47.6641071277034,45.572731767735,8,41.0841740484749,10155,46.9919495209192,46.5028002169063,46.4885978294857,46.0033149334494,11148.04
1025,108.724,0,15750,560060,418546,67004,57.1815579561387,47.2149192475855,39239,31.65738,-102.00221,10488,44.1646661294716,39.9132468291517,45.572731767735,12,41.0841740484749,8486,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,11068.09
1203,112.904,0,15000,1007299,981497,722117,50.9104396193166,47.2149192475855,40633,31.82675,-101.92212,10590,48.5997313820817,39.9132468291517,67.5302083073333,8,56.5692692866102,8899,46.9919495209192,46.5028002169063,46.4885978294857,50.075857325368,10589.64
1222,162.696,1021000,7770,895000,1028770,105000,50.9170981511221,80.4622673311111,40504,31.74272,-102.19934,10618,48.5997313820817,59.7140833134848,40.7605692326044,8,41.0841740484749,9844,35.81895018376,46.5028002169063,46.4885978294857,50.075857325368,10444.01
1255,195.747454,0,22512,1125600,153212,604370.055102121,50.9170981511221,72.5015994800833,40572,31.81065,-102.12352,11105,44.1646661294716,41.1683860955319,64.6750664149306,2,59.5113455050573,7980,47.5343864631376,46.5028002169063,46.4885978294857,49.473580373624,10501.62
