WellID,Class,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid.Amount,Subarea,Operator,Completion.Date,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Between_Zone,Number,Depth.Top,BEND..KHW.
2,1,0,3500,187446,471330,54558,31.4327307694649,47.2149192475855,37698,31.65753,-101.72135,8550,40.7605692326044,5,6825,10605.62
3,1,0,5000,201390,476570,23277.5,48.2678540898953,47.2149192475855,37698,31.71566,-101.71787,8550,36.3453506504094,3,6832,10565.34
5,2,334900,0,0,553020,334900,48.2678540898953,48.1210657990625,38022,31.95401,-101.74911,10500,36.3453506504094,1,6821,10275.69
7,1,247212,0,0,265000,247212,37.4785431919082,48.1210657990625,37714,31.70024,-101.52357,8900,36.3453506504094,1,6155,10056.55
10,2,0,5000,196636,318180,23277.5,31.4327307694649,47.2149192475855,37733,31.69134,-101.72307,8575,40.7605692326044,8,6839,10590.94
11,2,0,5000,207551,471280,58044,31.4327307694649,47.2149192475855,37733,31.66554,-101.71945,8600,40.7605692326044,7,6816,10599.31
13,1,0,5000,198685,470300,23277.5,31.4327307694649,47.2149192475855,37810,31.65428,-101.6588,8440,40.7605692326044,8,6624,10455.57
14,1,0,3500,146370,335820,23277.5,31.4327307694649,47.2149192475855,37810,31.67106,-101.68159,8530,45.572731767735,5,7410,10511.71
16,1,0,5000,198529,471910,53096,48.2678540898953,47.2149192475855,37852,31.71988,-101.71456,8640,40.7605692326044,7,6815,10553.93
17,2,0,5000,198996,472820,23277.5,37.4785431919082,47.2149192475855,37810,31.65389,-101.62808,8335,40.7605692326044,8,6504,10383.75
22,2,0,5000,183309,471030,50358,48.2678540898953,47.2149192475855,37851,31.71259,-101.71632,8635,36.3453506504094,6,6826,10560.65
23,1,0,5000,189252,471100,23277.5,48.2678540898953,47.2149192475855,37893,31.71139,-101.70645,8605,36.3453506504094,8,6806,10544.29
25,2,0,5000,195787,471570,23277.5,48.2678540898953,47.2149192475855,37893,31.70902,-101.71715,8650,36.3453506504094,8,6816,10560.28
26,1,0,0,317478,384990,317478,37.4785431919082,48.1210657990625,38010,31.7163,-101.52017,10550,40.7605692326044,1,6155,10032.39
31,2,0,5000,183918,472190,54138,31.4327307694649,47.2149192475855,38315,31.65926,-101.69933,8560,40.7605692326044,6,6748,10553.94
32,1,0,10500,270297,488570,53970,37.4785431919082,47.2149192475855,38383,31.67149,-101.5849,8240,40.7605692326044,8,6386,10269.29
33,1,398454,0,0,521740,398454,48.2678540898953,48.1210657990625,38487,31.77613,-101.59246,10255,36.3453506504094,1,5802,10216.97
35,2,383200,0,0,110277.1,131800,37.4785431919082,32.2985667405982,38755,31.65334,-101.53122,8064,36.3453506504094,2,7641,10127.76
36,1,383200,0,0,110277.1,251400,37.4785431919082,32.2985667405982,38770,31.70647,-101.5785,8243,36.3453506504094,2,6311,10205.13
37,1,497600,0,0,155650,252900,37.4785431919082,32.2985667405982,38824,31.71755,-101.56402,8255,40.7605692326044,2,7411,10160.27
38,1,497600,0,0,155650,252900,37.4785431919082,32.2985667405982,38818,31.70983,-101.54853,8223,40.7605692326044,2,7356,10112.72
40,1,383600,0,0,110277.1,251600,37.4785431919082,32.2985667405982,38827,31.70857,-101.57012,8205,36.3453506504094,2,6275,10177.76
42,1,374500,0,0,110277.1,167700,37.4785431919082,32.2985667405982,38842,31.69948,-101.57606,8283,36.3453506504094,2,7453,10208.98
44,1,0,15750,424784,523700,73425,48.2678540898953,32.2985667405982,39009,31.75812,-101.75965,9843,40.7605692326044,12,8913,10545.02
45,1,0,14250,359962,507200,23277.5,50.9104396193166,32.2985667405982,38998,31.76793,-101.7662,9902,40.7605692326044,11,6923,10532.01
46,1,0,17250,476075,553160,78753,50.9104396193166,32.2985667405982,38964,31.77755,-101.77365,9882,40.7605692326044,14,9252,10520.65
48,1,0,9750,316903,702360,55157,48.2678540898953,32.2985667405982,39131,31.74807,-101.72345,9775,36.3453506504094,9,6857,10562.89
49,1,0,9750,348769,505100,66985,48.2678540898953,32.2985667405982,39049,31.74469,-101.72234,9806,36.3453506504094,9,8956,10555.15
52,1,0,12750,433981,522940,51612,48.2678540898953,32.2985667405982,39065,31.72326,-101.74759,9843,40.7605692326044,11,6928,10611.98
53,1,0,10750,268997,207880,58616,50.9104396193166,32.2985667405982,39128,31.72145,-101.75576,9844,40.4855503116667,8,8424,10641.31
54,1,0,3000,0,506200,NA,50.9104396193166,32.2985667405982,39133,31.71903,-101.75111,9853,36.3453506504094,6,9556,10620.47
55,2,241752,0,0,110277.1,241752,37.4785431919082,32.2985667405982,39052,31.65737,-101.56293,8177,36.3453506504094,1,6272,10211.43
