Class,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid.Amount,Subarea,Operator,Completion.Date,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Top_Zone,Number,Depth.Top,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Additive,Mesh.Size,CLFK..KHW.,WFMP_ATB..KH,BEND..KHW.,ATOKA_L..KHW,DVNN..KHW.
1,0,3500,187446,471330,54558,31.4327307694649,47.2149192475855,37698,31.65753,-101.72135,8550,44.4812271666837,39.9132468291517,40.7605692326044,45.6894734043355,5,6825,45.6145114608116,46.5028002169063,46.4885978294857,44.2500420302041,35.3283279841421,5930.49,9117.13,10605.62,10753.48,11218.13
1,0,5000,201390,476570,23277.5,48.2678540898953,47.2149192475855,37698,31.71566,-101.71787,8550,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,3,6832,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5929.27,9065.5,10565.34,10709.51,11161.15
2,334900,0,0,553020,334900,48.2678540898953,48.1210657990625,38022,31.95401,-101.74911,10500,39.3953253532759,47.6641071277034,36.3453506504094,39.4022307057895,1,6821,57.459789077293,46.5028002169063,46.4885978294857,NA,NA,5716,8981,10275.69,10297,10866.76
1,247212,0,0,265000,247212,37.4785431919082,48.1210657990625,37714,31.70024,-101.52357,8900,44.1646661294716,47.6641071277034,36.3453506504094,39.4022307057895,1,6155,35.81895018376,46.5028002169063,46.4885978294857,NA,NA,5266,8394.65,10056.55,10103.16,10426.28
2,0,5000,196636,318180,23277.5,31.4327307694649,47.2149192475855,37733,31.69134,-101.72307,8575,43.4336303913043,39.9132468291517,40.7605692326044,45.6894734043355,8,6839,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5792,9133.99,10590.94,10729.45,11201.25
2,0,5000,207551,471280,58044,31.4327307694649,47.2149192475855,37733,31.66554,-101.71945,8600,44.4812271666837,39.9132468291517,40.7605692326044,45.6894734043355,7,6816,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5809,9116.74,10599.31,10749.94,11206.48
1,0,5000,198685,470300,23277.5,31.4327307694649,47.2149192475855,37810,31.65428,-101.6588,8440,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,8,6624,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5544,8917.12,10455.57,10577.12,10975.57
1,0,3500,146370,335820,23277.5,31.4327307694649,47.2149192475855,37810,31.67106,-101.68159,8530,44.1646661294716,39.9132468291517,45.572731767735,49.8051695977933,5,7410,43.0317844528804,43.0362471476923,43.0362471476923,37.446070756,NA,5691,8980.57,10511.71,10691.05,11046.85
1,0,5000,198529,471910,53096,48.2678540898953,47.2149192475855,37852,31.71988,-101.71456,8640,44.1646661294716,41.1683860955319,40.7605692326044,45.6894734043355,7,6815,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5792,9024.64,10553.93,10695.7,11140.54
2,0,5000,198996,472820,23277.5,37.4785431919082,47.2149192475855,37810,31.65389,-101.62808,8335,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,8,6504,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5404,8813.81,10383.75,10442.59,10877.01
2,0,5000,183309,471030,50358,48.2678540898953,47.2149192475855,37851,31.71259,-101.71632,8635,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,6,6826,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5767,9069.25,10560.65,10708.1,11153.86
1,0,5000,189252,471100,23277.5,48.2678540898953,47.2149192475855,37893,31.71139,-101.70645,8605,44.4812271666837,41.1683860955319,36.3453506504094,39.4022307057895,8,6806,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5785,9041.67,10544.29,10700.25,11115.65
2,0,5000,195787,471570,23277.5,48.2678540898953,47.2149192475855,37893,31.70902,-101.71715,8650,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,8,6816,43.0317844528804,43.0362471476923,43.0362471476923,44.2500420302041,NA,5780,9080.87,10560.28,10709.59,11156.23
1,0,0,317478,384990,317478,37.4785431919082,48.1210657990625,38010,31.7163,-101.52017,10550,44.4812271666837,41.1683860955319,40.7605692326044,45.6894734043355,1,6155,45.6145114608116,46.5028002169063,46.4885978294857,56.36743087,NA,5186.98,8355.75,10032.39,10090,10368
2,0,5000,183918,472190,54138,31.4327307694649,47.2149192475855,38315,31.65926,-101.69933,8560,44.4812271666837,39.9132468291517,40.7605692326044,45.6894734043355,6,6748,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5800,9037.3,10553.94,10745.01,11127.92
1,0,10500,270297,488570,53970,37.4785431919082,47.2149192475855,38383,31.67149,-101.5849,8240,44.1646661294716,41.1683860955319,40.7605692326044,45.6894734043355,8,6386,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5306,8625.25,10269.29,10299.03,10703.38
1,398454,0,0,521740,398454,48.2678540898953,48.1210657990625,38487,31.77613,-101.59246,10255,44.1646661294716,47.6641071277034,36.3453506504094,39.4022307057895,1,5802,57.459789077293,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5257,8763,10216.97,10292.59,10598.53
2,383200,0,0,110277.1,131800,37.4785431919082,32.2985667405982,38755,31.65334,-101.53122,8064,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,2,7641,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5249,8445.07,10127.76,10120.4,10517.45
1,383200,0,0,110277.1,251400,37.4785431919082,32.2985667405982,38770,31.70647,-101.5785,8243,44.4812271666837,39.9132468291517,36.3453506504094,39.4022307057895,2,6311,35.81895018376,46.5028002169063,46.4885978294857,NA,35.3283279841421,5363,8516.96,10205.13,10258.11,10592.5
1,497600,0,0,155650,252900,37.4785431919082,32.2985667405982,38824,31.71755,-101.56402,8255,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,2,7411,35.81895018376,46.5028002169063,46.4885978294857,NA,35.3283279841421,5293,8525.57,10160.27,10292.17,10598
1,497600,0,0,155650,252900,37.4785431919082,32.2985667405982,38818,31.70983,-101.54853,8223,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,2,7356,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5390,8424.93,10112.72,10199.44,10513.94
1,383600,0,0,110277.1,251600,37.4785431919082,32.2985667405982,38827,31.70857,-101.57012,8205,44.4812271666837,47.6641071277034,36.3453506504094,39.4022307057895,2,6275,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,12.164,5316,8510.99,10177.76,10257.68,10582.79
1,374500,0,0,110277.1,167700,37.4785431919082,32.2985667405982,38842,31.69948,-101.57606,8283,44.4812271666837,47.6641071277034,36.3453506504094,39.4022307057895,2,7453,35.81895018376,46.5028002169063,46.4885978294857,NA,35.3283279841421,5506,8522.56,10208.98,10255.09,10605.49
1,0,15750,424784,523700,73425,48.2678540898953,32.2985667405982,39009,31.75812,-101.75965,9843,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,12,8913,46.9919495209192,46.5028002169063,46.4885978294857,NA,35.3283279841421,5897,9132.71,10545.02,10670.79,11230.85
1,0,14250,359962,507200,23277.5,50.9104396193166,32.2985667405982,38998,31.76793,-101.7662,9902,48.5997313820817,39.9132468291517,40.7605692326044,45.6894734043355,11,6923,43.0317844528804,43.0362471476923,43.0362471476923,NA,NA,5886,9146,10532.01,10653.58,11230.29
1,0,17250,476075,553160,78753,50.9104396193166,32.2985667405982,38964,31.77755,-101.77365,9882,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,14,9252,46.9919495209192,46.5028002169063,46.4885978294857,NA,35.3283279841421,5930,9124,10520.65,10640.78,11234.36
1,0,9750,316903,702360,55157,48.2678540898953,32.2985667405982,39131,31.74807,-101.72345,9775,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,9,6857,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,6067,9111,10562.89,10683.26,11155.13
1,0,9750,348769,505100,66985,48.2678540898953,32.2985667405982,39049,31.74469,-101.72234,9806,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,9,8956,46.9919495209192,46.5028002169063,46.4885978294857,NA,35.3283279841421,6065,9087,10555.15,10677.49,11146.48
1,0,12750,433981,522940,51612,48.2678540898953,32.2985667405982,39065,31.72326,-101.74759,9843,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,11,6928,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5985,9259,10611.98,10750.54,11270.73
1,0,10750,268997,207880,58616,50.9104396193166,32.2985667405982,39128,31.72145,-101.75576,9844,NA,NA,40.4855503116667,47.142803834728,8,8424,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,6014,9180,10641.31,10782.21,11323.32
1,0,3000,0,506200,NA,50.9104396193166,32.2985667405982,39133,31.71903,-101.75111,9853,44.1646661294716,39.9132468291517,36.3453506504094,39.4022307057895,6,9556,NA,46.5028002169063,46.4885978294857,NA,35.3283279841421,5994,9259,10620.47,10758.97,11286.93
2,241752,0,0,110277.1,241752,37.4785431919082,32.2985667405982,39052,31.65737,-101.56293,8177,44.1646661294716,39.9132468291517,36.3453506504094,39.4022307057895,1,6272,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5412,8541.46,10211.43,10225.08,10634.23
1,273756,0,0,449160,74004,37.4785431919082,47.2149192475855,39139,31.70227,-101.6474,8851,44.4812271666837,41.1683860955319,40.7605692326044,45.6894734043355,4,8400,57.459789077293,46.5028002169063,46.4885978294857,NA,NA,5747,8904.1,10412.86,10595.73,10915.06
2,244692,0,0,350761,98658,37.4785431919082,47.2149192475855,38937,31.69705,-101.63656,8835,44.4812271666837,39.9132468291517,40.7605692326044,45.6894734043355,3,8190,57.459789077293,46.5028002169063,46.4885978294857,NA,NA,5786.42,8868.57,10369.86,10583.37,10939.18
1,0,14250,412047,523253,45604,48.2678540898953,32.2985667405982,39106,31.73249,-101.74037,9792,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,12,6876,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5941,9081,10570.53,10705.54,11211.43
1,0,14250,385924,535260,51540,48.2678540898953,32.2985667405982,39094,31.74408,-101.73978,9850,44.4812271666837,39.9132468291517,36.3453506504094,39.4022307057895,12,6864,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,5902,9106,10541.32,10669.89,11177.32
1,353400,0,0,123000,128000,37.4785431919082,32.2985667405982,38908,31.65592,-101.53639,8103,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,2,7659,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5265,8458.62,10132.91,10131.66,10528.5
1,0,11250,350595,505220,47343,48.2678540898953,32.2985667405982,39159,31.72402,-101.72892,9782,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,10,6869,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,5960,9029,10575.36,10712.27,11192.72
1,0,12000,261394,267520,140345,48.2678540898953,47.2149192475855,39196,31.73191,-101.59911,9496,48.5997313820817,47.6641071277034,45.572731767735,49.8051695977933,7,7525,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5593.75,8917,10276.44,10361.86,10685.01
2,649698,0,0,802700,649698,48.2678540898953,48.1210657990625,39204,31.96402,-101.7528,10840,48.5997313820817,47.6641071277034,64.6750664149306,45.6894734043355,1,6862,57.459789077293,46.5028002169063,46.4885978294857,NA,NA,5731,8977,10290.82,10313.39,10922.64
2,546126,0,0,799108,NA,48.2678540898953,48.1210657990625,39203,31.95298,-101.75386,10510,44.1646661294716,47.6641071277034,64.6750664149306,45.6894734043355,4,6878,NA,46.5028002169063,46.4885978294857,NA,57.173005918,5741,9019,10287.07,10306.83,10888.38
1,0,13750,315647,225120,52237,48.2678540898953,47.2149192475855,39196,31.73285,-101.59494,9487,48.5997313820817,47.6641071277034,40.4855503116667,47.142803834728,10,7973,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,5419,8923,10264.08,10346.84,10666.74
2,0,21000,747058,406120,146666,48.2678540898953,47.2149192475855,39314,31.97911,-101.6871,9808,44.4812271666837,53.6855631306289,40.4855503116667,47.142803834728,13,8277,46.9919495209192,46.5028002169063,46.4885978294857,NA,35.3283279841421,5606,8706,10145.22,10161.74,10627.13
1,366450,0,0,123000,124698,37.4785431919082,32.2985667405982,39091,31.66779,-101.55234,8181,44.4812271666837,47.6641071277034,36.3453506504094,39.4022307057895,2,7689,57.459789077293,46.5028002169063,46.4885978294857,NA,35.3283279841421,5366,8515.29,10164.06,10178.92,10567.32
1,365484,0,0,123000,123732,48.2678540898953,32.2985667405982,39119,31.77384,-101.71001,8492,43.4336303913043,39.9132468291517,36.3453506504094,39.4022307057895,2,8193,57.459789077293,46.5028002169063,46.4885978294857,NA,35.3283279841421,5848,9006.28,10506.85,10608.77,11048.69
1,0,9520,592788,603100,89690,48.2678540898953,36.0978431057576,39253,31.74921,-101.60913,8750,48.5997313820817,59.7140833134848,40.7605692326044,45.6894734043355,7,8142,46.9919495209192,46.5028002169063,46.4885978294857,48.7225007616148,35.3283279841421,5444,8926.06,10290.86,10372.7,10663.26
1,0,0,633108,584800,189756,48.2678540898953,36.0978431057576,39263,31.74169,-101.6067,8547,44.1646661294716,59.7140833134848,40.7605692326044,45.6894734043355,4,6477,46.9919495209192,46.5028002169063,46.4885978294857,20.072,20.072,5472,8938.47,10283.24,10370.27,10684.12
1,0,10750,245788,234101,57767,37.4785431919082,47.2149192475855,39232,31.72677,-101.58867,9510,44.4812271666837,39.9132468291517,40.4855503116667,47.142803834728,8,7943,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,5388,8802.01,10248.51,10321.62,10648.98
1,536943,4000,0,610000,341928,48.2678540898953,36.0978431057576,39255,31.75205,-101.6277,8750,44.1646661294716,59.7140833134848,40.7605692326044,45.6894734043355,4,8288,57.459789077293,46.5028002169063,46.4885978294857,NA,35.3283279841421,5563,8918.05,10317.45,10393.27,10757.71
1,0,14250,403229,600723,47393,48.2678540898953,32.2985667405982,39534,31.76536,-101.76084,9894,44.1646661294716,39.9132468291517,36.3453506504094,39.4022307057895,12,6911,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5907,9142,10552.91,10674.67,11238.88
1,0,8250,486631,591188,46429,50.9104396193166,32.2985667405982,39324,31.71962,-101.76398,9840,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,10,6990,45.6145114608116,46.5028002169063,46.4885978294857,37.446070756,35.3283279841421,6019,9222,10650.8,10795.03,11342.44
1,258392,0,0,466275,174688,37.4785431919082,32.2985667405982,39558,31.65722,-101.54181,8252,44.1646661294716,47.6641071277034,40.7605692326044,45.6894734043355,2,7672,35.81895018376,46.5028002169063,46.4885978294857,36.9588168142941,35.3283279841421,5301,8493.1,10163.42,10165.78,10563.72
1,0,16500,451507,561280,72210,48.2678540898953,32.2985667405982,39404,31.72807,-101.74337,9900,44.1646661294716,39.9132468291517,36.3453506504094,39.4022307057895,10,6900,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5961,9137,10588.7,10725.9,11237.4
1,616476,0,0,799820,616476,48.2678540898953,48.1210657990625,39413,31.85385,-101.66055,10499,44.4812271666837,53.6855631306289,61.6758257891667,39.4022307057895,1,6606,57.459789077293,46.5028002169063,46.4885978294857,44.2500420302041,NA,5842.67,9026,10346.13,10404.98,10780.47
1,0,14250,369411,474363,52601,50.9104396193166,32.2985667405982,39568,31.72585,-101.75281,9886,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,12,6982,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5991,9305,10626.84,10767.01,11295.89
1,0,14250,384132,522900,48792,48.2678540898953,32.2985667405982,39545,31.71945,-101.73191,9878,44.1646661294716,39.9132468291517,40.7605692326044,45.6894734043355,12,6920,45.6145114608116,46.5028002169063,46.4885978294857,NA,35.3283279841421,5977,9173,10588.53,10726.23,11212.98
1,0,17000,484369,539400,44767,50.9104396193166,32.2985667405982,39560,31.76379,-101.76925,9880,48.5997313820817,39.9132468291517,36.3453506504094,39.4022307057895,12,6934,45.6145114608116,46.5028002169063,46.4885978294857,NA,24.40562809,5919,9161,10556.48,10680.99,11265.85
