EUR_o..Mstb.,Subarea,Operator,County,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Top_Zone,Deepest_Zone,Number,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Additive,Mesh.Size,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.
40.2,31.4327307694649,47.2149192475855,45.0003683905377,2003,31.65753,-101.72135,8550,44.4812271666837,39.9132468291517,40.7605692326044,3,6,0,3500,187446,471330,190946,45.6894734043355,41.0841740484749,5,6825,7004,54558,45.6145114608116,136330,46.5028002169063,46.4885978294857,44.2500420302041,35.3283279841421,5930.49,6804,7377,8402,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13
39.05038257,48.2678540898953,47.2149192475855,45.0003683905377,2003,31.71566,-101.71787,8550,48.5997313820817,39.9132468291517,36.3453506504094,3,8,0,5000,201390,476570,206390,39.4022307057895,41.0841740484749,3,6832,7011,1000,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.6714947792622,5929.27,6835,7373,8396,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15
51.856,48.2678540898953,48.1210657990625,45.0003683905377,2004,31.95401,-101.74911,10500,39.3953253532759,47.6641071277034,36.3453506504094,1,1,334900,0,0,553020,334900,39.4022307057895,41.0841740484749,1,6821,9412,334900,57.459789077293,553020,46.5028002169063,46.4885978294857,42.7671930285632,40.3358409680222,5716,6778,7378,8348,8619,8981,9811,10222,10268.8,10275.69,10297,10622.81,10815.38,10866.76
22.156,37.4785431919082,48.1210657990625,45.0003683905377,2003,31.70024,-101.52357,8900,44.1646661294716,47.6641071277034,36.3453506504094,1,1,247212,0,0,265000,247212,39.4022307057895,41.0841740484749,1,6155,8690,247212,35.81895018376,265000,46.5028002169063,46.4885978294857,44.7338596132282,34.5583022519798,5266,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28
45.276,31.4327307694649,47.2149192475855,45.0003683905377,2003,31.69134,-101.72307,8575,43.4336303913043,39.9132468291517,40.7605692326044,3,8,0,5000,196636,318180,201636,45.6894734043355,41.0841740484749,8,6839,7027,500,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.3283278483332,5792,6829,7366,8390,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25
57.8056949,31.4327307694649,47.2149192475855,45.0003683905377,2003,31.66554,-101.71945,8600,44.4812271666837,39.9132468291517,40.7605692326044,3,7,0,5000,207551,471280,212551,45.6894734043355,41.0841740484749,7,6816,6970,58044,45.6145114608116,135080,46.5028002169063,46.4885978294857,45.7554108798484,35.3283279841421,5809,6805,7355,8351,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48
29.45106486,31.4327307694649,47.2149192475855,45.0003683905377,2003,31.65428,-101.6588,8440,44.1646661294716,39.9132468291517,40.7605692326044,3,8,0,5000,198685,470300,203685,45.6894734043355,41.0841740484749,8,6624,6789,500,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.3283278430497,5544,6604,7163,8184,8470.36,8917.12,9907.24,10241.4,10365.25,10455.57,10577.12,10771.5,10926.3,10975.57
24.156,31.4327307694649,47.2149192475855,45.0003683905377,2003,31.67106,-101.68159,8530,44.1646661294716,39.9132468291517,45.572731767735,2,5,0,3500,146370,335820,149870,49.8051695977933,41.0841740484749,5,7410,7734,1000,43.0317844528804,0,43.0362471476923,43.0362471476923,37.446070756,35.5664839085432,5691,6686,7245,8267,8524.7,8980.57,9956.08,10289.24,10413.24,10511.71,10691.05,10836.67,10993.99,11046.85
37.97570526,48.2678540898953,47.2149192475855,45.0003683905377,2003,31.71988,-101.71456,8640,44.1646661294716,41.1683860955319,40.7605692326044,3,7,0,5000,198529,471910,203529,45.6894734043355,41.0841740484749,7,6815,6992,53096,45.6145114608116,135990,46.5028002169063,46.4885978294857,44.7296908492348,35.3283279841421,5792,6806,7363,8380,8644.63,9024.64,10003.75,10319.78,10464.22,10553.93,10695.7,10931.85,11070.67,11140.54
42.256,37.4785431919082,47.2149192475855,45.0003683905377,2003,31.65389,-101.62808,8335,44.1646661294716,39.9132468291517,40.7605692326044,3,8,0,5000,198996,472820,203996,45.6894734043355,41.0841740484749,8,6504,6843,500,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.67480302648,5404,6507,7064,8092,8390.28,8813.81,9836.58,10157.58,10288.63,10383.75,10442.59,10677.06,10826.65,10877.01
55.65707668,48.2678540898953,47.2149192475855,45.0003683905377,2003,31.71259,-101.71632,8635,48.5997313820817,39.9132468291517,36.3453506504094,3,6,0,5000,183309,471030,188309,39.4022307057895,41.0841740484749,6,6826,7201,50358,45.6145114608116,124630,46.5028002169063,46.4885978294857,44.0982523627392,35.3283279841421,5767,6824,7383,8384,8645.26,9069.25,10012.76,10329.78,10474.25,10560.65,10708.1,10946.22,11084.91,11153.86
40.04565233,48.2678540898953,47.2149192475855,45.0003683905377,2003,31.71139,-101.70645,8605,44.4812271666837,41.1683860955319,36.3453506504094,3,8,0,5000,189252,471100,194252,39.4022307057895,41.0841740484749,8,6806,7178,500,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.8410524934743,5785,6801,7362,8368,8613.99,9041.67,9992.98,10310.65,10450.67,10544.29,10700.25,10905.7,11049.25,11115.65
54.56512178,48.2678540898953,47.2149192475855,45.0003683905377,2003,31.70902,-101.71715,8650,48.5997313820817,39.9132468291517,36.3453506504094,3,8,0,5000,195787,471570,200787,39.4022307057895,41.0841740484749,8,6816,7184,500,43.0317844528804,0,43.0362471476923,43.0362471476923,44.2500420302041,35.3283277249911,5780,6827,7365,8387,8640.93,9080.87,10013.49,10331.66,10475.74,10560.28,10709.59,10949.6,11088.11,11156.23
