WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Remark,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,CLEARFORK..MAP.,SPRABERRY_U..MAP.,SPRABERRY_L..MAP.,WOLFCAMP..MA,WOLFCAMP_L..,WFMP_ATB..MA,CLINE..MAP.,STRAWN..MAP.,ATOKA..MAP.,BEND..MAP.,ATOKA_L..MAP,MISSISSIPPIA,WOODFORD..MA,DEVINOAN_UNC
1879,E,APACHE CORPORATION,REAGAN,39181.0,2007.0,31.41706,-101.71748,8516.0,160,20,WFMP,SPBR_U --> WFMP,2.0,2.0,479976.0,0.0,0.0,0.0,169430.0,479976.0,18.87945795,2.0,FRAC,7874.0,8363.0,240492.0,GAL,W,107000.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR BRADY SD,,,,8030.03,8390.54,,,,,,,,,,5557.82,6461.96,7037.32,8027.54,8378.64,8612.13,9924.55,10252.3,10377.6,10363.61,10505.85,10890.44,11019.48,11064.63
983,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,39105.0,2007.0,31.87597,-101.96966,9986.0,20,Sub 20,WFMP,SPBR_U --> WFMP,5.0,10.0,0.0,11250.0,325675.0,0.0,522660.0,336925.0,33.036,10.0,FRAC,7690.0,7766.0,54004.0,GAL,X-LINKGEL,148302.0,LB,SAND,,35.0,SCIN,20/40,20# BORATE,6641.0,7532.0,8076.0,9094.0,9378.0,,,,,,,,,,6653.34,7521.86,8094.17,9112.83,9425.14,9826.97,10347.42,10628.18,10816.51,10851.24,10948.5,11351.0,11594.16,11706.0
2193,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40486.0,2010.0,31.60771,-101.47152,8776.0,40,40,WFMP,SPBR_U --> WFMP,7.0,7.0,,,,,,,26.68,7.0,FRAC,8330.0,8524.0,,,A,0.0,,,,,HCL,,W/ PROP,,6011.59,6542.12,7625.78,7942.21,,,,,,,,,,4954.59,5997.2,6537.3,7626.39,7938.78,8295.3,9342.69,9760.43,9859.57,,9917.01,10168.71,10260.22,10297.66
327,F,ENERGEN RESOURCES CORPORATION,GLASSCOCK,40945.0,2012.0,31.72681,-101.54065,10902.0,80,Over 160,STRAWN,SPBR_U --> STRAWN,8.0,16.0,125000.0,33000.0,500500.0,0.0,886000.0,658500.0,25.476,16.0,FRAC,9688.0,9941.0,125000.0,GAL,FLUD,75000.0,LB,SAND,,,BIOC,20/40,DETAILS: 30000 GAL SLK WTR 95000 GAL YF120 ST XL BORATE GEL NORTHERN WHITE SD,,,,,,,,,,,,,,,5244.41,6173.12,6689.29,7798.69,8141.42,8346.1,9532.51,9836.1,9962.87,10045.45,10169.38,10285.05,10355.51,10453.56
2291,B,PIONEER NATURAL RESOURCES USA INC,UPTON,38797.0,2006.0,31.59182,-102.008,9289.0,160,40,WFMP,SPBR_U --> WFMP,3.0,6.0,0.0,5500.0,192604.0,0.0,470580.0,198104.0,30.184,6.0,FRAC,7533.0,7730.0,52338.0,GAL,X-LINKGEL,133314.0,LB,SAND,,33.0,,20/40,20# BORATE,6659.0,,,,,,,,,,,,,,6661.61,7525.21,8109.85,9071.56,9429.31,9473.78,10431.02,10731.23,10838.07,10936.34,11327.16,11720.23,11841.54,11949.37
48,D,APACHE CORPORATION,GLASSCOCK,39131.0,2007.0,31.74807,-101.72345,9775.0,40,40,WFMP,CLFK --> WFMP,5.0,9.0,0.0,9750.0,316903.0,0.0,702360.0,326653.0,19.20842649,9.0,FRAC,6857.0,7025.0,55157.0,GAL,X-LINKGEL,128358.0,LB,SAND,,35.0,,20/40,,6067.0,6854.0,7418.0,8411.0,8677.0,9111.0,,,,,,,,,5924.58,6857.92,7423.37,8415.74,8684.23,9111.89,10016.85,10324.86,10474.26,10562.89,10683.26,10951.72,11080.46,11155.13
2440,B,PIONEER NATURAL RESOURCES USA INC,UPTON,40224.0,2010.0,31.61251,-102.01877,10904.0,40,40,WFMP,SPBR_L --> WFMP,8.0,16.0,0.0,13500.0,1000758.0,0.0,819760.0,1014258.0,60.556,16.0,FRAC,8250.0,8399.0,55104.0,GAL,X-LINKGEL,133361.0,LB,SAND,,,XLNK,20/40,15# BORATE TEXAS GOLD SD,6763.0,7655.0,,,,,10535.6,,,,,,,,6752.86,7632.86,8229.06,9185.27,9533.15,9799.86,10536.27,10831.97,10922.9,10996.29,11331.12,11783.83,11909.86,12019.49
713,A,MIDLAND ENERGY INCORPORATED,MIDLAND,38250.0,2004.0,31.76622,-101.98814,11000.0,40,80,WFMP,SPBR_L --> WFMP,1.0,2.0,0.0,9000.0,85900.0,0.0,329600.0,94900.0,36.16,2.0,FRAC,8186.0,10459.0,85900.0,GAL,X-LINKGEL,329600.0,LB,SAND,,,GELA,,DETAILS: 294000 GAL SLICK WATER 80900 GAL AMBOR 1025 5000 GAL AMGEL 1010 279600# 20/40 BRADY SD 50000# 16/30 BRADY SD,6748.0,7567.0,8129.0,9134.0,9494.0,9814.0,10463.33,10776.0,,,,,,,6660.29,7568.96,8136.76,9135.84,9494.7,9814.88,10464.48,10771.2,10924.18,11021.01,11258.92,11669.22,11881.24,11956.2
1848,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,39108.0,2007.0,31.57805,-101.63961,8307.0,160,40,WFMP,SPBR_U --> WFMP,3.0,6.0,0.0,5250.0,179256.0,0.0,486860.0,184506.0,23.532,6.0,FRAC,6543.0,6695.0,42798.0,GAL,X-LINKGEL,126860.0,LB,SAND,,35.0,,20/40,20# BORATE,5621.0,,,,,,,,,,,,,,5621.08,6515.16,7075.63,8095.63,8367.03,8694.85,9833.66,10211.83,10298.22,10410.54,10504.58,10668.15,10805.36,10849.87
2016,F,APACHE CORPORATION,REAGAN,39820.0,2009.0,31.62538,-101.53113,8500.0,40,80,WFMP,SPBR_U --> WFMP,2.0,2.0,502250.0,0.0,0.0,0.0,64750.0,502250.0,20.56059578,2.0,FRAC,7297.0,8412.0,325500.0,GAL,W,43600.0,LB,SAND,,,SFAC,,DETAILS: SLK WTR 18000# 20/40 WS 25600# LP,,,,,,,,,,,,,,,5092.49,6173.45,6724.79,7793.06,8098.65,8421.63,9588.1,9943.37,10051.97,10152.8,10103.82,10441.08,10512.3,10547.44
1135,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,39731.0,2008.0,31.91074,-101.94972,9418.0,Over 160,Over 160,WFMP,SPBR_L --> WFMP,6.0,12.0,0.0,10500.0,363372.0,0.0,878020.0,373872.0,35.70501952,12.0,FRAC,8040.0,8077.0,41244.0,GAL,X-LINKGEL,103400.0,LB,SAND,,,XLNK,20/40,15# BORATE,6614.0,7450.0,8018.0,9047.0,9340.0,,,,,,,,,,6612.13,7451.93,8020.98,9046.46,9341.25,9689.05,10114.37,10504.2,10579.5,10610.98,10789.46,11202.96,11460.7,11569.76
