counter,WellID,meanError,minError,maxError,#samples,delta
1,1897,0.6538,0.0839,1.5638,18,0.0363222222
2,1862,0.6627,0.0296,1.7868,16,0.04141875
4,1803,1.0264,0.0139,2.3767,20,0.05132
3,237,0.9241,0.0739,1.6548,13,0.0710846154
7,2201,1.1702,0.0299,5.0789,15,0.0780133333
21,1053,1.5441,0.0329,4.9312,19,0.0812684211
6,1932,1.1683,0.2292,1.8661,14,0.08345
5,1762,1.044,0.0838,2.535,12,0.087
46,235,1.9286,0.0805,4.6922,22,0.0876636364
10,2197,1.3191,0.3724,2.5615,15,0.08794
18,1903,1.5005,0.1378,3.5468,17,0.0882647059
16,261,1.442,0.2142,6.4137,16,0.090125
11,1575,1.3667,0.0012,3.7169,15,0.0911133333
39,846,1.8567,0.0267,4.3385,20,0.092835
40,1639,1.8582,0.3973,6.3921,20,0.09291
25,1792,1.6837,0.1954,3.1623,18,0.0935388889
32,315,1.7807,0.0386,4.9749,19,0.0937210526
9,2180,1.316,0.1535,3.0279,14,0.094
15,1726,1.4165,0.03,4.0755,15,0.0944333333
58,948,2.0879,0.0966,5.3776,21,0.0994238095
17,2029,1.4981,0.3372,3.3231,15,0.0998733333
45,1568,1.8991,0.2295,7.7335,18,0.1055055556
13,1955,1.3726,0.2739,3.4223,13,0.1055846154
14,930,1.3789,0.5042,2.9478,13,0.1060692308
19,1835,1.5051,0.164,2.9149,14,0.1075071429
53,993,2.0605,0.053,4.8203,19,0.1084473684
78,26,2.3186,0.1383,7.8768,21,0.1104095238
49,1881,1.9891,0.3599,4.2514,18,0.1105055556
50,1127,1.9947,0.127,7.1671,18,0.1108166667
44,1958,1.8921,0.1356,4.9566,17,0.1113
64,1645,2.1247,0.2909,5.2765,19,0.1118263158
34,291,1.8141,0.4918,7.7659,16,0.11338125
83,1250,2.387,0.0938,8.4789,21,0.1136666667
28,701,1.7087,0.1309,5.4943,15,0.1139133333
12,2161,1.3719,0.2235,2.7263,12,0.114325
47,1671,1.9474,0.2721,3.8137,17,0.1145529412
54,343,2.0657,0.0643,6.9817,18,0.1147611111
38,234,1.8408,0.0423,4.7786,16,0.11505
20,3,1.5061,0.1251,4.0583,13,0.1158538462
23,1800,1.6355,0.0894,3.4688,14,0.1168214286
43,1793,1.8788,0.5595,3.5657,16,0.117425
71,889,2.2576,0.0717,5.0395,19,0.1188210526
87,1546,2.4198,0.0892,8.0051,20,0.12099
35,1641,1.8204,0.0093,5.2202,15,0.12136
36,2615,1.8293,0.2019,5.4922,15,0.1219533333
66,1124,2.1976,0.2327,4.7227,18,0.1220888889
67,2561,2.204,0.3813,5.7159,18,0.1224444444
48,2005,1.9839,0.2484,4.8094,16,0.12399375
97,194,2.5266,0.0709,6.4713,20,0.12633
114,1855,2.698,0.0089,6.5181,21,0.1284761905
57,892,2.0861,0.6127,5.9688,16,0.13038125
37,275,1.83,0.0898,4.9736,14,0.1307142857
27,1571,1.7014,0.1337,3.2208,13,0.1308769231
69,2216,2.2337,0.4694,5.0764,17,0.1313941176
61,1576,2.1047,0.6233,4.5664,16,0.13154375
110,1840,2.6341,0.3037,5.7797,20,0.131705
22,52,1.6043,0.0827,5.3918,12,0.1336916667
30,2577,1.7535,0.1584,4.7893,13,0.1348846154
24,1847,1.6455,0.1062,4.6287,12,0.137125
8,819,1.2356,0.1666,2.4768,9,0.1372888889
55,505,2.0725,0.0783,4.5499,15,0.1381666667
59,1743,2.0881,1.0758,3.151,15,0.1392066667
70,765,2.243,0.0362,7.4732,16,0.1401875
60,32,2.1046,0.1309,5.156,15,0.1403066667
63,2086,2.1141,0.098,7.2945,15,0.14094
73,566,2.2626,0.3137,5.581,16,0.1414125
86,782,2.4069,0.6102,5.5997,17,0.1415823529
88,67,2.4257,0.4892,10.51,17,0.1426882353
102,1992,2.5703,0.3951,5.3667,18,0.1427944444
41,739,1.8672,0.06,5.8804,13,0.1436307692
42,1915,1.8765,0.0402,5.8758,13,0.1443461538
90,1616,2.4581,0.2636,7.2314,17,0.1445941176
93,338,2.4669,0.0444,11.686,17,0.1451117647
29,2392,1.7469,0.0769,6.2988,12,0.145575
65,1959,2.1889,0.0326,5.1819,15,0.1459266667
31,680,1.7638,0.468,6.013,12,0.1469833333
82,469,2.3672,0.0655,5.1161,16,0.14795
56,922,2.0858,0.0226,5.0986,14,0.1489857143
192,68,3.4656,0.4611,8.4732,23,0.1506782609
104,764,2.5783,0.0035,8.8387,17,0.1516647059
74,1564,2.2774,0.0151,5.5159,15,0.1518266667
121,2342,2.7743,0.2237,6.3825,18,0.1541277778
26,2187,1.697,0.1611,2.8193,11,0.1542727273
226,612,3.8928,0.0343,9.4789,25,0.155712
52,1713,2.0371,0.3214,4.3183,13,0.1567
80,1705,2.351,0.3001,4.6954,15,0.1567333333
191,2054,3.4654,0.5747,7.7058,22,0.1575181818
173,2381,3.3354,0.1483,8.9418,21,0.1588285714
140,823,3.0244,0.1778,6.9545,19,0.1591789474
99,317,2.5493,0.7207,6.6962,16,0.15933125
127,2199,2.8712,0.039,12.9087,18,0.1595111111
117,2355,2.7162,0.4297,6.2318,17,0.1597764706
144,1799,3.0471,1.0072,5.9414,19,0.1603736842
145,61,3.0579,0.7813,7.6322,19,0.1609421053
120,33,2.7413,0.6446,5.8544,17,0.1612529412
147,478,3.0697,0.0918,8.7483,19,0.1615631579
149,1697,3.0835,0.1576,6.3908,19,0.1622894737
89,2109,2.4497,0.0029,6.6227,15,0.1633133333
33,1610,1.7971,0.0483,5.9472,11,0.1633727273
91,1521,2.4606,0.1634,5.3479,15,0.16404
79,1836,2.323,0.1934,6.2547,14,0.1659285714
199,483,3.4995,0.0909,9.062,21,0.1666428571
126,1834,2.8652,0.3336,5.6728,17,0.1685411765
176,1027,3.3721,0.1711,8.3604,20,0.168605
143,1994,3.0446,0.4139,6.7883,18,0.1691444444
159,1145,3.2152,0.4226,5.9903,19,0.1692210526
148,1999,3.0734,1.5264,5.389,18,0.1707444444
185,1126,3.4361,0.2616,8.6907,20,0.171805
130,946,2.9301,0.0479,9.7656,17,0.1723588235
153,118,3.1282,0.0422,9.9151,18,0.1737888889
134,474,2.9676,0.6972,7.206,17,0.1745647059
197,2375,3.4947,0.2105,8.3161,20,0.174735
75,16,2.2832,0.4427,5.8728,13,0.1756307692
112,1543,2.6519,0.0647,8.9018,15,0.1767933333
77,991,2.3124,0.9499,4.9221,13,0.1778769231
115,1207,2.7011,0.2657,5.6009,15,0.1800733333
81,772,2.3575,0.3435,4.4037,13,0.1813461538
100,2146,2.5532,0.0175,7.131,14,0.1823714286
103,934,2.5721,0.0705,5.6944,14,0.1837214286
171,670,3.312,0.2432,10.25,18,0.184
198,2186,3.4982,0.2385,13.3498,19,0.1841157895
133,1228,2.9618,0.261,7.7297,16,0.1851125
123,2367,2.8216,0.3299,6.0281,15,0.1881066667
179,1164,3.3896,0.3374,7.0562,18,0.1883111111
92,1000,2.4633,1.0524,4.8912,13,0.1894846154
113,46,2.6602,0.6024,9.5753,14,0.1900142857
165,1954,3.2491,0.8636,5.4747,17,0.1911235294
187,1900,3.4512,1.401,7.9588,18,0.1917333333
166,561,3.2614,0.3064,7.0769,17,0.1918470588
167,1029,3.2662,0.1662,12.9532,17,0.1921294118
98,1253,2.5356,0.2642,5.3236,13,0.1950461538
119,600,2.739,0.1946,5.0411,14,0.1956428571
201,1759,3.5272,0.7372,7.5822,18,0.1959555556
203,1054,3.5347,0.9499,7.8259,18,0.1963722222
233,1026,3.9474,0.32,8.701,20,0.19737
217,1810,3.76,0.1661,7.5336,19,0.1978947368
154,2282,3.172,0.1531,6.7494,16,0.19825
136,1861,2.9816,0.0618,7.1733,15,0.1987733333
221,943,3.7911,0.265,10.7414,19,0.1995315789
180,1044,3.3975,0.0399,7.8914,17,0.1998529412
157,1858,3.2008,0.1952,5.4696,16,0.20005
122,923,2.8034,0.294,11.8274,14,0.2002428571
85,316,2.4039,0.33,5.3174,12,0.200325
223,844,3.8122,0.6732,5.9642,19,0.2006421053
124,1842,2.8332,0.3419,5.2912,14,0.2023714286
51,232,2.0252,0.1348,4.046,10,0.20252
163,1586,3.244,0.0865,10.2519,16,0.20275
168,292,3.282,0.9597,6.4647,16,0.205125
196,1872,3.4946,1.8298,5.2819,17,0.2055647059
72,2256,2.2622,0.0446,4.585,11,0.2056545455
95,2042,2.4868,0.0361,6.7471,12,0.2072333333
206,386,3.5776,0.1524,11.0612,17,0.2104470588
62,236,2.1067,0.114,5.3898,10,0.21067
255,901,4.2405,0.8599,10.6374,20,0.212025
181,2087,3.4046,0.3697,6.6939,16,0.2127875
101,1960,2.5555,0.4718,4.7216,12,0.2129583333
284,2517,4.5178,0.6188,10.404,21,0.2151333333
161,113,3.2309,0.1356,6.4496,15,0.2153933333
225,2101,3.8798,0.6177,7.9553,18,0.2155444444
139,1625,3.0185,1.1785,4.7854,14,0.2156071429
162,2190,3.2359,1.2189,5.3609,15,0.2157266667
125,2020,2.837,0.1229,6.7977,13,0.2182307692
109,1833,2.62,0.635,5.2979,12,0.2183333333
268,2200,4.3718,1.4003,6.8719,20,0.21859
146,776,3.062,0.1165,8.6771,14,0.2187142857
111,1056,2.6395,0.0571,4.4715,12,0.2199583333
