EUR_o..Mstb.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Operator,Surface.Latitude,Between_Zone,Depth.Top,Mesh.Size,BEND..KHW.
40.2,3500,190946,54558,136330,47.2149192475855,31.65753,40.7605692326044,6825,35.3283279841421,10605.62
39.05038257,5000,206390,23277.5,0,47.2149192475855,31.71566,36.3453506504094,6832,35.5855665015049,10565.34
51.856,0,334900,334900,553020,48.1210657990625,31.95401,36.3453506504094,6821,41.8412133915474,10275.69
22.156,0,247212,247212,265000,48.1210657990625,31.70024,36.3453506504094,6155,34.5640113572015,10056.55
45.276,5000,201636,23277.5,0,47.2149192475855,31.69134,40.7605692326044,6839,35.3283278032526,10590.94
57.8056949,5000,212551,58044,135080,47.2149192475855,31.66554,40.7605692326044,6816,35.3283279841421,10599.31
29.45106486,5000,203685,23277.5,0,47.2149192475855,31.65428,40.7605692326044,6624,35.4810884646129,10455.57
24.156,3500,153212,23277.5,0,47.2149192475855,31.67106,45.572731767735,7410,36.035171459707,10511.71
37.97570526,5000,203529,53096,135990,47.2149192475855,31.71988,40.7605692326044,6815,35.3283279841421,10553.93
42.256,5000,203996,23277.5,0,47.2149192475855,31.65389,40.7605692326044,6504,35.4929144738676,10383.75
55.65707668,5000,188309,50358,124630,47.2149192475855,31.71259,36.3453506504094,6826,35.3283279841421,10560.65
40.04565233,5000,194252,23277.5,0,47.2149192475855,31.71139,36.3453506504094,6806,35.4788753782077,10544.29
54.56512178,5000,200787,23277.5,0,47.2149192475855,31.70902,36.3453506504094,6816,35.5499572986887,10560.28
38.49591628,0,317478,317478,384990,48.1210657990625,31.7163,40.7605692326044,6155,36.1178908411167,10032.39
51.73461391,5000,188918,54138,131493,47.2149192475855,31.65926,40.7605692326044,6748,35.3283279841421,10553.94
28.60094527,10500,280797,53970,133448,47.2149192475855,31.67149,40.7605692326044,6386,35.3283279841421,10269.29
39.1412402,0,398454,398454,521740,48.1210657990625,31.77613,36.3453506504094,5802,35.3283279841421,10216.97
42.264,0,383200,131800,49250,32.2985667405982,31.65334,36.3453506504094,7641,35.3283279841421,10127.76
12.48,0,383200,251400,51200,32.2985667405982,31.70647,36.3453506504094,6311,35.3283279841421,10205.13
18.55149194,0,497600,252900,99750,32.2985667405982,31.71755,40.7605692326044,7411,35.3283279841421,10160.27
39.468,0,497600,252900,99750,32.2985667405982,31.70983,40.7605692326044,7356,35.3283279841421,10112.72
12.164,0,383600,251600,51350,32.2985667405982,31.70857,36.3453506504094,6275,12.164,10177.76
10.876,0,374500,167700,58975,32.2985667405982,31.69948,36.3453506504094,7453,35.3283279841421,10208.98
30.20941884,15750,440534,73425,18182,32.2985667405982,31.75812,40.7605692326044,8913,35.3283279841421,10545.02
31.73182787,14250,374212,23277.5,0,32.2985667405982,31.76793,40.7605692326044,6923,34.6045364736118,10532.01
29.40701198,17250,493325,78753,16847,32.2985667405982,31.77755,40.7605692326044,9252,35.3283279841421,10520.65
19.20842649,9750,326653,55157,128358,32.2985667405982,31.74807,36.3453506504094,6857,35.3283279841421,10562.89
14.8,9750,358519,66985,17637,32.2985667405982,31.74469,36.3453506504094,8956,35.3283279841421,10555.15
23.14,12750,446731,51612,133871,32.2985667405982,31.72326,40.7605692326044,6928,35.3283279841421,10611.98
18.328,10750,279747,58616,158996,32.2985667405982,31.72145,40.4855503116667,8424,35.3283279841421,10641.31
13.684,3000,153212,101991.650799585,18170,32.2985667405982,31.71903,36.3453506504094,9556,35.3283279841421,10620.47
55.3862174,0,241752,241752,61500,32.2985667405982,31.65737,36.3453506504094,6272,35.3283279841421,10211.43
31.07150317,0,273756,74004,108332,47.2149192475855,31.70227,40.7605692326044,8400,36.1137107667828,10412.86
46.04231632,0,244692,98658,135248,47.2149192475855,31.69705,40.7605692326044,8190,36.0958544037548,10369.86
13.624,14250,426297,45604,134736,32.2985667405982,31.73249,40.7605692326044,6876,35.3283279841421,10570.53
20.67705873,14250,400174,51540,146540,32.2985667405982,31.74408,36.3453506504094,6864,35.3283279841421,10541.32
30.18,0,353400,128000,61500,32.2985667405982,31.65592,36.3453506504094,7659,35.3283279841421,10132.91
12.671,11250,361845,47343,125270,32.2985667405982,31.72402,36.3453506504094,6869,35.3283279841421,10575.36
6.904,12000,273394,140345,84000,47.2149192475855,31.73191,45.572731767735,7525,35.3283279841421,10276.44
45.27229149,0,649698,649698,802700,48.1210657990625,31.96402,64.6750664149306,6862,39.627589621443,10290.82
44.02376458,0,546126,309098.565992516,50000,48.1210657990625,31.95298,64.6750664149306,6878,57.173005918,10287.07
25.31341516,13750,329397,52237,155100,47.2149192475855,31.73285,40.4855503116667,7973,35.3283279841421,10264.08
42.268,21000,768058,146666,117244,47.2149192475855,31.97911,40.4855503116667,8277,35.3283279841421,10145.22
15.424,0,366450,124698,61500,32.2985667405982,31.66779,36.3453506504094,7689,35.3283279841421,10164.06
34.88893209,0,365484,123732,61500,32.2985667405982,31.77384,36.3453506504094,8193,35.3283279841421,10506.85
20.11541731,9520,602308,89690,141700,36.0978431057576,31.74921,40.7605692326044,8142,35.3283279841421,10290.86
20.072,0,633108,189756,199000,36.0978431057576,31.74169,40.7605692326044,6477,20.072,10283.24
12.64935437,10750,256538,57767,165641,47.2149192475855,31.72677,40.4855503116667,7943,35.3283279841421,10248.51
20.7,4000,540943,341928,4e+05,36.0978431057576,31.75205,40.7605692326044,8288,35.3283279841421,10317.45
17.63959573,14250,417479,47393,138461,32.2985667405982,31.76536,36.3453506504094,6911,35.3283279841421,10552.91
28.09232775,8250,494881,46429,182011,32.2985667405982,31.71962,40.7605692326044,6990,35.3283279841421,10650.8
22.11157295,0,258392,174688,214875,32.2985667405982,31.65722,40.7605692326044,7672,35.3283279841421,10163.42
10.56,16500,468007,72210,183837,32.2985667405982,31.72807,36.3453506504094,6900,35.3283279841421,10588.7
40.092,0,616476,616476,799820,48.1210657990625,31.85385,61.6758257891667,6606,44.431919711767,10346.13
8.086191594,14250,383661,52601,140817,32.2985667405982,31.72585,40.7605692326044,6982,35.3283279841421,10626.84
8.808,14250,398382,48792,140167,32.2985667405982,31.71945,40.7605692326044,6920,35.3283279841421,10588.53
24.40562809,17000,501369,44767,130834,32.2985667405982,31.76379,36.3453506504094,6934,24.40562809,10556.48
42.25256061,15100,483344,53706,133719,32.2985667405982,31.76703,36.3453506504094,6931,35.3283279841421,10542.75
21.94799122,19000,571036,46609,130467,47.2149192475855,31.97212,36.3453506504094,6427,35.3283279841421,10120.27
9.735,14250,417946,53626,133680,32.2985667405982,31.71701,40.7605692326044,6974,35.3283279841421,10649.17
11.934,14250,466207,48842,142580,32.2985667405982,31.7278,40.7605692326044,6875,35.3283279841421,10568.3
49.36,0,153212,23277.5,902460,48.1210657990625,31.96851,40.7605692326044,6875,41.9329921059634,10282.61
25.04,17250,374326,46629,136241,47.2149192475855,31.71347,40.7605692326044,6451,35.3283279841421,10282.93
48.844,5250,178166,47820,135304,47.2149192475855,31.81536,40.7605692326044,6914,35.3283279841421,10468.94
25.376,7500,229228,49643,137039,47.2149192475855,31.79785,36.3453506504094,6525,35.3283279841421,10334.67
24.14,13500,445228,53621,137543,47.2149192475855,31.79072,36.3453506504094,6523,57.173005918,10339.12
66.2739258,26000,547689,23277.5,88660.6793559255,34.1348240084615,31.9583,50.6046402510526,10024,39.337908150051,10162.78
32.076,6000,217068,44167,139450,47.2149192475855,31.68924,31.1287314240741,6540,35.3283279841421,10357.14
22.828,6000,223988,51788,140070,47.2149192475855,31.68763,31.1287314240741,6506,35.3283279841421,10339.52
15.55114674,6000,238412,54204,135287,47.2149192475855,31.69162,35.8080535057143,6481,35.3283279841421,10328.66
11.188,12000,559628,42873,130934,32.2985667405982,31.72171,40.7605692326044,7082,35.3283279841421,10639.7
25.4251233,20000,696928,52794,134130,32.2985667405982,31.71538,40.7605692326044,6990,35.3283279841421,10640.77
16.768,19000,589219,48079,141147,32.2985667405982,31.71336,40.7605692326044,6997,35.3283279841421,10655.03
